Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
2.5,34,310,31,662,9090,16,1.5,68982,11838,146,5902,18242
2.5,30,278,66,742,8442,7,9.1,58999,11508,169,5853,20425
1.5,3,153,30,472,5100,6,5,38759,6974,123,3310,11599
4,29,319,4,1069,14717,20,3.5,98872,18823,290,8878,32655
1.5,21,126,17,414,5646,15,6.3,39480,7019,83,3574,12024
2,11,193,27,571,6385,12,4.6,47705,9327,162,4577,15860
0.5,8,48,11,131,1837,13,0.8,11506,2416,36,1067,4156
4.5,42,480,76,1155,16467,9,13,112643,21048,313,10429,37893
2.5,19,245,35,594,7700,4,11.5,60122,11581,131,5819,21569
2.5,30,305,6,766,9010,10,2.5,60834,11954,191,5968,22089
2.5,7,276,10,790,8013,5,4,63301,11188,188,5343,18776
2.5,11,305,63,657,8568,10,3.3,69136,11322,144,5794,20056
1.5,25,140,43,352,5928,6,3.7,36892,6706,89,3385,11742
2.5,30,305,22,758,7909,20,4.6,62841,11171,181,5947,21134
2,23,223,48,523,6378,7,6.8,48472,9384,139,4348,16103
1,13,114,7,320,3037,6,4.1,26565,4950,84,2196,8379
2,5,201,3,618,6723,10,3.7,46429,8561,172,4657,17606
1.5,22,140,0,484,5306,13,6.7,41583,7343,111,3525,11654
1.5,21,188,34,420,5864,10,1,38084,7246,114,3478,12488
2.5,10,262,34,712,8740,5,12.1,61894,10903,172,5778,19820
3,4,373,68,694,9635,8,4.8,81794,14841,232,7080,21357
1.5,12,148,39,348,4944,16,7,41271,6589,81,3563,10666
1,4,89,0,292,3489,6,1.4,27373,4423,70,2297,7715
4,6,312,31,1125,13015,18,6.6,97205,19151,296,9566,31023
2,10,208,57,547,6372,5,1.9,47875,9919,171,4224,15156
1.5,4,140,35,356,4902,12,4.7,40557,6411,103,3583,10591
4,67,429,31,1094,12089,13,12.5,97726,18177,324,8670,34191
1,10,81,17,245,3978,15,1.7,27321,4453,74,2183,7526
2,19,168,1,581,7710,8,8.9,53133,8665,135,4397,17970
2,33,180,34,542,7282,19,6.1,53647,9004,163,4530,16404
1,16,95,22,307,3301,10,4.5,25981,4581,86,2166,8515
4.5,27,512,94,1101,14060,8,8.3,111830,20232,314,10399,38587
3,28,325,17,734,9540,5,6.7,78125,13635,181,6386,26289
1,2,81,25,256,3817,20,1.5,26543,4805,88,2166,7400
3,47,282,48,934,11195,7,5.9,74240,13258,165,7079,21770
3.5,6,349,41,1045,11139,19,13.4,85155,15914,225,8072,28866
2.5,36,216,29,778,7875,11,8,69712,11122,154,5938,21519
1,6,120,18,239,3115,20,4.6,27592,4435,68,2148,7436
1.5,21,184,28,421,5663,10,6.7,41457,6305,115,3578,12718
1,15,93,0,282,3251,14,3,27930,4596,73,2228,8412
4,29,501,34,1201,12240,18,2.8,92403,19912,218,8582,32762
1,11,104,24,310,3836,7,3.2,24519,4679,88,2141,8298
2.5,42,291,54,633,7827,6,8.6,58963,10596,137,5309,21205
2,11,199,31,465,6335,18,7.2,48689,8440,144,4796,14063
3.5,6,283,83,894,10513,15,3.9,92487,16576,258,7406,27517
3,28,331,40,731,10399,16,4.5,74853,14411,222,7192,26984
3,45,233,85,740,9048,12,3.5,73132,14459,238,6559,24335
3,44,256,77,898,10985,17,11.9,72519,14402,170,6480,22981
2,8,250,46,587,6824,9,5.3,46854,8959,107,4548,16886
2,11,217,46,552,6909,14,8.4,48512,8524,123,4388,17853
3.5,9,385,24,934,11156,5,9.5,94493,15089,196,8171,26428
3.5,59,363,4,955,10925,18,4.9,97952,16202,285,7555,25049
2.5,41,208,63,687,8809,9,8.4,63005,11159,200,5572,17860
1,9,88,20,304,3628,18,1.2,25111,4220,62,2228,8415
2,7,250,42,535,7900,19,8.9,50248,8443,147,4797,15182
2,23,184,13,628,7733,6,1.3,46751,9414,152,4433,16023
2.5,16,229,1,629,9438,4,1.4,68832,12119,180,5397,17517
1.5,16,138,5,360,5657,10,1,36331,7165,131,3360,11563
2,14,193,28,648,7664,16,7.7,53062,8968,156,4360,14827
3,31,245,36,881,9031,10,13.1,75905,13677,151,6321,22416
2.5,12,200,24,712,9705,6,3.5,62520,11309,175,5812,21159
2,11,201,23,637,6362,11,9.4,55171,8819,135,4707,14475
3.5,38,274,97,888,13402,15,4,96257,14956,304,7788,28755
2,28,242,13,504,6083,6,2.6,47710,9965,146,4312,14013
2,27,197,12,528,6830,20,5.9,54066,9436,177,4772,16301
2.5,37,272,43,654,8728,18,7,67432,10825,220,5316,18065
3,49,251,74,753,9130,15,2.4,77481,14378,201,6757,23371
2.5,37,287,51,796,8084,20,7.1,60476,11182,216,5564,18962
3,51,274,72,742,9709,18,1.5,79409,13965,172,7172,24972
0.5,2,50,4,135,1531,10,1.4,13929,2319,34,1183,3518
1,17,83,26,300,3770,12,3.8,27438,4738,74,2274,8714
3.5,9,295,72,903,12033,19,6.5,97520,17139,260,7971,24543
2,26,165,43,541,7148,7,3.9,47780,8954,135,4422,16820
2,9,206,49,549,6871,14,9.3,54577,8820,179,4705,16737
3,38,257,78,704,9542,4,3.3,78882,14136,205,6323,21049
2.5,36,229,43,580,8402,12,11.1,63239,12457,129,5531,20264
1.5,22,142,26,448,5916,12,0.8,41241,7200,117,3167,12871
2.5,26,195,23,778,8519,10,9.1,60045,10557,196,5787,22052
2,30,168,2,505,6407,20,2.3,55937,8520,137,4685,14847
1.5,25,134,11,409,5270,13,3.7,38745,6747,97,3594,13036
2,30,223,31,575,7969,14,1.1,48451,9418,119,4495,16877
1,13,87,23,282,3110,5,3.3,26878,4839,72,2255,8953
2,32,203,32,594,7271,5,2.7,51322,9858,148,4267,17773
3.5,27,429,49,858,13244,14,11.4,82894,17157,267,7451,29645
2.5,23,206,35,767,8376,5,7.3,58980,11432,163,5768,19138
3,41,331,24,703,11400,10,3.3,71454,14564,227,6494,25195
3,41,271,8,786,10002,18,12.7,82092,12814,202,6959,22717
1,6,117,22,254,3295,13,0.9,24411,4508,81,2118,7224
1.5,14,133,30,409,5787,6,1.5,35621,7338,85,3365,12749
1.5,16,160,7,371,5272,15,5,36370,7161,101,3316,10781
1,11,124,25,247,3021,6,4,24679,4357,87,2252,7485
3.5,53,289,65,1091,11740,15,4.1,94745,17174,180,7919,30509
0.5,2,55,3,143,1895,20,1,12330,2243,38,1186,3812
1.5,3,152,2,440,5621,7,3.5,38644,6741,113,3468,12546
2.5,21,271,67,769,7668,10,7.9,68645,10847,208,5267,19692
1.5,25,186,42,472,5331,4,4,37702,6359,93,3530,10695
1.5,2,151,12,360,5750,9,5,36653,7332,125,3275,13056
4,22,484,59,1305,13555,14,15.3,101962,17399,288,9069,31982
1,1,78,18,314,3559,10,1.9,24995,4839,61,2390,8839
2.5,13,284,24,673,9945,5,9.5,65962,11007,141,5689,18335
2.5,15,291,31,761,7891,5,7.3,61639,11701,214,5839,19947
3.5,49,391,2,842,11278,17,3.2,89912,14961,292,7483,25903
1.5,13,171,5,355,5334,14,3.7,40726,7322,130,3176,12037
1,11,126,11,269,3495,5,2.7,27039,4317,62,2104,8062
1,4,120,4,294,3078,15,0.5,24634,4660,87,2130,7590
3.5,44,333,7,1087,13781,4,11.3,84686,16342,246,8151,27123
2,3,184,39,629,6373,13,9.8,46872,8914,169,4732,15783
2,17,243,29,513,6869,10,2.2,52641,8857,157,4598,14909
1.5,10,128,36,359,5290,20,3.4,39717,6814,110,3271,11960
1.5,17,174,0,435,5289,17,7.1,39524,6522,131,3568,13288
0.5,4,55,7,139,1552,11,1.4,12454,2342,44,1089,4480
3,45,357,72,724,11930,12,4.3,75370,14807,202,6671,23456
1,10,99,4,314,3651,18,4.3,24028,4412,66,2282,8944
1.5,23,117,22,411,5151,19,5.2,36337,7193,120,3203,12250
3,9,350,75,846,10149,15,14.4,83887,12609,156,6586,23994
1.5,4,182,34,441,5843,4,3.3,38820,7035,92,3481,11226
1,8,115,8,230,3610,9,3.3,27075,4569,75,2112,7823
1,2,94,23,259,3188,5,3,27116,4648,69,2186,8617
2.5,23,316,32,755,8575,16,6.5,64710,12431,219,5563,18993
1.5,10,166,23,425,4634,11,3,37338,6638,81,3289,11794
3,12,292,37,715,9023,11,3.1,77359,14302,178,6727,21144
1,4,102,14,295,3209,19,0.5,27431,4216,81,2221,7416
1.5,3,136,15,437,5973,11,3.8,37784,6374,80,3454,13288
2.5,16,226,44,686,8238,9,5.2,63424,11957,141,5471,20184
1,14,99,20,250,3493,13,2.1,24584,4458,69,2195,7229
1,12,79,26,285,3342,18,2.4,23281,4418,52,2153,7937
4,9,379,76,1163,12471,10,18.8,95515,19140,322,8467,33568
3.5,13,273,46,1152,13326,7,15,97532,17170,240,8190,25897
2,10,195,57,643,7643,12,9.3,51197,8897,114,4785,14462
1,2,88,17,308,3307,10,3.4,27547,4729,66,2209,7549
3,17,253,38,829,10137,18,15,83953,14636,235,6549,21082
1,17,86,10,316,3372,8,1.4,24667,4374,79,2103,8276
3,8,324,2,858,11966,10,12.4,83677,12804,264,7141,25504
3,13,285,13,918,10051,17,4,70333,14818,218,6903,21976
2,29,182,30,546,7078,11,2.3,55489,9984,138,4338,15759
3,27,262,27,979,9887,7,6.1,79782,12913,190,6492,26271
2.5,37,222,46,823,8636,4,8.9,69205,11919,215,5469,18535
1.5,14,166,32,399,5280,12,1.9,41127,7315,86,3187,13265
2.5,4,270,59,787,8667,6,6.5,59169,10885,202,5961,18767
2,32,157,56,640,6601,4,9.2,53677,9799,155,4282,15290
1,15,79,21,247,3070,18,3.9,24325,4389,70,2353,7467
0.5,8,42,14,156,1877,19,0.5,13612,2169,26,1111,3840
1,10,125,0,231,3184,10,3.4,26768,4755,61,2282,8474
2.5,27,272,4,578,8655,7,10.9,58984,11780,170,5715,21941
1,8,100,19,309,3856,14,1.3,26282,4780,70,2206,8207
1,17,101,3,245,3445,16,3.2,25702,4920,62,2167,7685
1,7,122,12,317,3179,5,1.9,26446,4780,88,2105,8039
1.5,5,125,33,441,4891,19,7.1,39597,6483,79,3598,12996
1.5,18,135,29,459,5245,6,1,38798,7460,133,3421,11416
3,20,327,32,827,9100,10,12.6,74787,13815,157,7003,23807
4,60,344,41,1067,14308,7,12.3,98304,17868,237,9295,31162
1.5,21,181,36,376,4790,7,5.1,38034,6679,127,3510,13500
2.5,3,279,64,790,9865,10,7.5,69308,11017,223,5833,18736
1.5,12,157,43,449,5686,19,7,40369,6829,130,3408,10856
2,3,228,32,585,6670,9,3.3,53150,8755,167,4351,16281
3.5,27,427,68,820,11112,16,6,91147,16550,249,7815,31080
2,25,248,16,628,7381,16,7.5,53678,9768,148,4267,15417
2,31,233,6,505,6960,13,1.6,47287,8411,171,4493,17963
1.5,9,163,24,478,5292,20,3.9,37983,6887,88,3456,12096
3,6,357,43,718,9413,7,9.9,71285,13382,221,6532,25171
2,4,245,2,485,7935,6,2.5,49456,8752,127,4260,17514
3,16,277,18,968,11664,8,1.9,76662,12902,159,6398,23203
3.5,45,361,45,1114,10718,5,11.8,81514,15303,232,7850,28039
3.5,56,281,23,868,11616,8,2.2,81373,16955,240,7446,30632
2,33,217,54,541,6529,15,5.9,52390,8905,131,4673,17340
2,16,207,5,528,6820,17,7,52930,8608,117,4791,14219
1.5,25,154,30,376,5779,6,5.3,40437,6992,103,3569,11254
1,5,80,4,268,3630,10,4.5,25823,4992,88,2200,7110
2.5,21,251,31,711,8415,11,7.7,58096,11083,213,5961,19631
2.5,6,233,55,652,7612,13,1.6,65623,11515,223,5618,19571
3,36,326,18,937,11266,6,10.4,80044,13870,216,6603,25642
2,10,165,12,623,6049,6,9.7,48431,9181,145,4713,16399
1,8,115,27,292,3592,11,3.7,25025,4798,79,2242,8065
2.5,32,257,25,623,8977,12,5.6,63485,12009,215,5752,19842
3,13,251,69,741,9062,7,3.3,74048,13059,177,6408,26046
1,15,96,20,285,3503,5,1,26699,4982,59,2105,8778
1.5,13,157,29,346,5497,13,6.2,40094,6606,124,3592,11976
2.5,10,227,59,597,8911,17,1.3,64488,10995,211,5569,22404
2,29,251,55,495,6371,10,8.5,53393,9104,102,4570,16620
1.5,9,180,19,421,5450,5,3.4,36226,6710,102,3371,11319
2,11,247,36,491,7850,12,4.6,49524,9824,139,4250,17854
1.5,9,184,0,457,5379,8,2.6,35175,7316,114,3550,10685
2,24,246,31,652,7543,16,9.6,51847,9636,132,4638,15066
2.5,26,214,38,660,8944,19,8.8,69377,12344,138,5302,20181
2.5,23,223,36,729,8222,19,7.5,61747,12287,131,5375,20374
2.5,9,218,34,689,9911,15,2.3,66124,11802,131,5554,21082
1.5,13,170,12,432,4868,13,5.3,38539,6804,100,3537,13394
3.5,15,314,7,913,11525,7,7.1,89837,16173,288,7699,29613
1,3,120,28,308,3479,20,1.5,26827,4573,53,2238,8255
3.5,32,434,37,935,10952,19,4.6,87476,15628,247,7417,24681
2,30,208,52,507,6088,20,5.9,46426,9859,118,4323,14258
1,12,110,12,267,3628,10,2.9,25715,4411,74,2308,7467
4.5,39,515,110,1107,16329,16,12.3,108905,20571,235,10590,34615
2,20,232,14,506,6257,20,6,46933,8882,160,4615,15016
1.5,15,179,27,348,5746,8,4.7,39252,6377,81,3535,11419
2,8,211,29,599,7967,18,3.6,52913,8454,170,4245,15967
4,48,377,31,996,13081,20,15,97255,18001,208,8816,28149
2.5,31,317,22,804,8990,4,10.9,61976,12056,148,5422,22021
2,20,236,35,520,6609,20,3.9,55445,9274,143,4520,16953
2.5,4,317,23,756,7517,18,12.4,68911,11820,195,5273,18083
1,2,80,9,313,3243,10,2.1,25572,4641,53,2118,8892
1.5,19,162,20,454,5897,11,2.9,36090,7470,122,3277,13175
1.5,22,129,4,471,4770,19,5.9,40390,6591,76,3455,13317
1.5,8,133,8,384,4853,14,1.3,37420,6724,132,3520,13112
3,3,368,51,978,10670,8,2.6,78935,13575,168,6980,23176
2.5,26,246,35,714,9873,5,4.5,69752,12052,206,5868,21547
1,15,112,1,256,3922,14,3.7,24888,4599,58,2169,8915
2,24,172,33,660,7493,5,3.7,53062,9938,125,4276,14236
2.5,4,252,40,795,7633,6,5,67200,10680,129,5871,21692
1,4,100,12,285,3457,20,5,26368,4826,69,2275,7840
0.5,8,39,5,123,1949,20,0.3,12436,2386,30,1066,3739
2,10,238,56,509,7969,12,5.3,53825,9678,175,4499,14676
2,19,235,44,606,6326,19,8.7,49237,9475,137,4686,17519
2,7,217,15,522,7924,10,6,46713,9555,136,4676,14995
1,5,85,10,316,3232,19,4.7,25597,4443,58,2319,7390
2,7,245,14,463,7851,9,7,50547,9761,112,4300,14095
0.5,4,60,7,159,1683,9,1.4,13753,2361,31,1199,4146
2.5,17,272,49,639,8054,6,10.1,65554,12400,217,5997,19306
2.5,7,310,22,657,8855,9,8,67794,11617,215,5430,17875
3.5,34,371,38,830,11092,7,7.3,86062,16827,224,8183,29449
1.5,10,183,22,360,5720,14,5,37687,7431,98,3286,10874
2,28,180,13,622,6873,4,4.7,51558,8514,110,4251,14042
2,23,185,43,489,7153,19,5,49445,9275,109,4684,17734
4,6,414,33,930,13685,15,5.3,96722,18950,208,8798,30482
1,2,102,1,308,3722,14,4.8,27118,4272,51,2134,7679
1.5,14,178,23,392,5251,18,4.2,36658,7335,92,3237,13398
1.5,20,171,9,351,5247,16,6.5,37620,7287,83,3555,13358
1.5,13,163,0,431,4504,9,6.9,39186,6453,121,3561,13258
1,6,123,1,322,3742,7,3.1,23572,4544,62,2353,8744
1.5,4,155,20,422,4704,12,1.2,36660,6796,135,3161,12828
1,4,99,28,248,3728,13,2.9,23303,4583,80,2185,8440
2,3,165,16,527,7996,17,6,51491,8514,156,4337,16871
2,16,197,43,549,7652,10,9.2,49201,9829,145,4569,17299
2.5,29,209,31,605,8917,7,11.2,61613,11523,142,5806,21353
2.5,22,225,51,746,8066,9,8.3,64560,12054,155,5272,17756
2,11,254,38,590,6167,18,6.6,53275,9297,112,4671,17568
2,25,248,51,512,6760,17,3.4,50850,8407,158,4347,17353
2.5,15,303,18,693,9816,16,7.6,66704,11364,153,5955,18987
3,40,261,21,811,9048,7,5,71577,14491,214,7085,26756
1,11,108,13,293,3684,16,1.7,26940,4515,54,2252,8777
3,18,360,45,794,10465,4,5.7,81801,12712,240,6916,25914
2.5,8,203,5,647,7730,13,10.8,59852,11235,150,5484,17884
1.5,25,179,1,474,5516,16,1.7,40411,6883,107,3597,12996
2,27,159,13,490,7227,19,2.5,51065,9117,144,4304,14779
2,27,186,40,642,7864,15,3.1,46290,9745,135,4368,15346
1.5,18,169,37,466,4669,4,2.6,39415,6373,129,3470,13367
2,32,188,47,526,6936,12,5.4,55031,8856,129,4413,14150
2,4,161,54,562,7178,9,2.8,52157,9947,101,4405,14800
4,67,367,32,1157,13006,16,7.8,99199,17914,203,9327,32986
4,39,387,86,1285,15309,12,3.3,100061,17515,326,9034,35460
1.5,19,152,21,377,5611,15,4.6,40016,7388,127,3282,11974
3.5,48,323,41,886,13675,7,8.2,97566,17114,301,7748,29214
1,11,106,9,276,3911,20,2.9,25266,4602,60,2226,8941
2,19,214,4,622,6652,17,1.2,46462,9901,128,4468,16273
1,2,83,11,276,3948,13,1,27612,4274,54,2122,8507
2,3,212,2,621,7697,4,2.7,55777,9865,147,4507,14237
3,38,233,67,888,9982,8,8.3,76579,14795,162,6730,21798
3,22,375,70,984,9791,11,12.5,74097,14293,244,7058,26244
0.5,3,63,10,130,1804,13,1.7,13378,2149,28,1130,4451
3,30,271,6,968,11875,15,10.1,72311,14798,173,6635,23808
2,12,252,38,555,6337,13,2.4,51228,9873,107,4483,16757
4,51,389,72,1250,15059,4,16.5,93375,17580,332,8990,30202
2.5,21,291,9,684,7649,10,7.4,68664,12379,146,5803,18900
1,6,121,13,290,3868,5,1.9,23370,4796,71,2239,7097
2,29,232,38,460,7070,10,9.7,51857,8852,174,4351,16304
3,18,336,62,816,11185,7,11.1,79237,12600,213,6362,26102
2,17,246,53,483,6528,5,7.3,46546,9911,149,4299,16455
1.5,10,149,15,400,4637,19,3.7,41595,7110,99,3222,10856
3.5,17,363,75,888,11957,5,5.5,85025,16653,314,8272,27640
1.5,25,117,0,477,5104,15,7,39898,6607,124,3444,11778
2.5,6,195,26,752,7932,15,1.6,63190,11080,146,5896,20706
4,65,369,91,1259,12659,10,4.9,105075,17332,210,8687,34006
2.5,27,238,33,730,8079,18,4.2,63357,11683,208,5622,18327
1.5,23,120,42,457,5847,4,3.2,39511,6406,109,3269,12402
1.5,12,172,42,348,5249,13,0.9,36506,7205,101,3448,12382
3.5,47,376,96,956,12338,15,14.9,92852,17032,206,7607,25525
0.5,3,59,14,149,1884,11,0.5,12784,2195,28,1199,3717
2,22,231,44,617,6026,8,4.8,55081,9791,134,4603,16334
3,10,322,29,708,11393,19,3.1,78347,12628,268,6720,26582
1.5,25,182,25,427,4866,14,3,40359,6421,104,3424,11626
1,10,111,25,262,3800,13,3,25044,4473,73,2352,8397
2.5,16,257,35,598,8793,10,9,62115,11033,172,5523,22239
3,25,248,78,944,9538,11,12.5,72192,14784,237,6592,24733
2,28,239,51,539,6957,6,5.5,52061,8731,175,4328,14922
1,8,95,5,272,3810,20,1,23002,4583,82,2265,7801
0.5,1,43,13,154,1652,11,2.2,12940,2394,35,1178,4370
2.5,25,260,59,770,8930,20,12.3,67758,10607,186,5628,21399
3,6,287,15,870,10876,8,12.4,74039,13995,215,6544,22597
2,13,168,41,489,7426,16,5.7,47456,9512,110,4571,17194
3,8,367,42,755,10214,20,8.9,70092,14434,188,6631,23928
2,15,240,39,658,6102,13,6.9,47441,8460,105,4339,17992
1,16,119,3,287,3750,11,2.6,26119,4771,63,2301,8206
3.5,43,383,55,937,13841,17,4.8,82665,17110,278,7647,25577
2,17,240,32,585,6877,5,9.2,51240,9880,169,4447,15127
2,8,201,25,581,6941,11,5.2,50972,9076,119,4652,16789
3,34,302,10,745,10960,5,7.4,74421,14614,154,7002,24541
0.5,7,44,7,158,1988,17,1.5,11639,2166,38,1161,3526
3,13,251,68,957,10528,20,10,69243,14012,159,6957,21058
0.5,3,52,7,133,1619,18,1,13213,2341,26,1082,4290
2,26,248,50,570,6728,13,4.3,55523,9337,162,4502,15599
2,31,222,9,619,7171,11,5.8,52836,9275,130,4271,14684
2.5,8,278,34,810,9313,9,12.3,58236,10982,199,5899,18557
3,49,319,55,902,10364,18,6.1,70598,13333,180,6948,24543
2,8,159,10,553,6857,14,6.1,47516,9358,149,4371,17191
2,34,175,31,491,6441,4,3,50715,9198,175,4651,17726
2,28,164,18,549,6109,17,3.3,49939,8865,125,4477,17523
3.5,23,294,4,853,11545,13,12.2,93879,16165,198,7616,30102
2.5,25,262,54,625,8718,7,9.1,67568,12448,214,5489,20096
2,5,203,45,621,6036,16,1.8,49810,9836,116,4428,15741
2,32,248,5,478,7431,9,6.4,52091,9367,127,4718,17163
1.5,9,171,43,412,5129,5,2.5,35846,6444,81,3479,12333
1.5,25,133,27,392,4604,9,7.5,40361,6576,89,3330,11192
1.5,3,173,22,473,5760,15,1.2,36716,7144,130,3492,10942
3,50,285,15,932,11683,6,14.1,82895,13194,223,6690,23924
2.5,27,284,63,740,8769,10,3.3,68046,11371,133,5736,18832
2.5,23,239,24,812,9295,10,3.2,63246,11034,162,5501,17894
2,13,196,10,553,6116,14,4,50019,8487,101,4741,17849
3,41,264,17,818,9277,10,13.6,78279,14403,168,7161,21460
1.5,16,144,41,441,5309,20,4.1,39417,7229,110,3506,13426
2,13,185,32,527,6150,9,6.4,49399,9408,141,4352,17794
1,10,84,11,245,3035,8,4.3,27404,4486,58,2114,8989
3,15,257,75,985,11230,9,11.8,74978,13038,164,6824,26216
3,40,333,13,834,11362,13,11,81034,14695,244,6345,23025
3,41,340,82,794,9708,5,9.4,73294,13990,246,6676,21992
2.5,33,231,1,739,9515,18,5.3,60459,10887,135,5268,21759
1,5,88,23,286,3765,9,2.9,24607,4344,69,2324,7133
0.5,5,39,2,116,1974,16,1.7,11631,2102,33,1124,4071
3.5,49,377,98,978,13040,12,9.3,90699,16397,299,7589,25063
1.5,10,144,0,484,5078,11,3.6,39121,6814,82,3558,13108
1.5,10,190,33,440,5908,9,7.2,40630,6544,126,3197,13353
1.5,25,132,32,376,5036,12,1.3,40346,6954,118,3223,10506
1.5,24,165,22,481,4936,6,4.1,38674,6377,100,3322,11786
2,19,226,3,536,6303,20,9.9,54563,9696,108,4530,15532
0.5,7,56,13,154,1600,10,2,11788,2275,36,1089,4372
1.5,17,175,35,369,4541,20,2.7,35197,6976,120,3250,13030
1,13,83,25,276,3201,15,2.1,25716,4803,85,2246,7939
2,28,227,5,621,7011,20,2.4,54054,8565,132,4435,16802
1.5,25,185,38,373,4598,13,1.9,39030,6555,115,3350,13404
1.5,5,172,18,348,5777,11,3.1,40985,7175,97,3334,11716
3.5,20,368,65,1076,12060,20,15.5,90737,16581,197,8025,31115
2.5,34,193,69,735,8573,7,9.5,59048,12219,171,5749,18729
1.5,9,181,29,491,4521,20,1.2,34907,6837,80,3487,12603
2,21,159,2,650,6095,20,7.6,47656,8867,146,4375,15833
1.5,15,178,11,475,4928,7,2.3,39335,6608,85,3299,12480
0.5,6,55,5,141,1883,18,1.2,12511,2499,42,1132,3925
2.5,23,260,67,757,8025,8,10.1,60337,11544,219,5421,18042
0.5,1,54,4,153,1657,12,0.4,13029,2211,28,1164,4048
1.5,15,155,26,360,4610,8,5.3,36523,6335,105,3370,12303
3,25,296,47,723,9972,4,2.9,79899,14782,230,6849,23725
1.5,15,178,12,362,5689,4,4.1,37293,7193,103,3280,13376
4,29,473,97,983,12864,17,18.3,99800,18231,267,9144,30115
1.5,14,136,11,482,4762,12,4.4,34761,6807,119,3503,13150
3.5,25,361,41,820,12152,6,8.6,86753,14810,309,7377,26396
1.5,9,141,18,391,5320,16,2.8,36169,7101,85,3416,11101
2.5,17,311,51,708,8866,11,3.9,58238,11161,140,5500,22464
1.5,24,176,36,396,5463,9,4.5,36018,7060,131,3154,12798
3,42,250,20,973,9016,8,14,72751,14023,221,7012,26401
3,37,346,75,775,11590,15,3.2,83277,12854,267,6666,22426
4,13,505,91,1305,12487,14,2,107565,18238,355,9374,33885
3.5,18,440,35,1054,13347,5,14.4,96941,15337,257,8153,28181
1,8,100,5,292,3845,4,1.4,27175,4312,75,2315,7937
1,4,119,9,296,3306,16,1.9,27453,4357,76,2265,7011
1.5,6,145,35,450,4509,8,3.5,35396,7172,122,3320,11655
2,2,241,15,475,7916,16,9.8,55665,8847,107,4440,14941
0.5,6,48,6,143,1919,18,0.5,13913,2213,38,1091,3516
2,17,195,9,478,6803,8,3.8,54841,9433,117,4788,17364
0.5,8,44,13,126,1520,5,1.3,12464,2148,36,1122,4061
4,5,415,17,995,13992,18,6.6,96920,17149,225,9158,33974
1,7,97,27,302,3833,10,1.6,24394,4622,81,2376,7397
3.5,54,417,26,1108,12568,16,11.9,88512,16554,223,7851,27394
3,15,338,24,698,11256,5,11,82544,13395,191,6492,26779
2,18,209,54,557,6301,14,8.8,51173,8685,151,4203,15948
