,Cultivated area (hectares),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
66,1.5,1148.0,587.0,243.0,158.0,9049.0,11.0,12418.0,2.0,89754.0,17.0,14534.0,2967.0
67,1.25,1249.0,528.0,157.0,144.0,8374.0,9.0,10091.0,6.0,74127.0,14.0,11729.0,2592.0
68,1.5,1412.0,549.0,208.0,142.0,10325.0,11.0,12088.0,2.0,90801.0,24.0,14816.0,2907.0
69,1.75,1885.0,624.0,313.0,191.0,10909.0,12.0,16630.0,2.0,112674.0,22.0,16312.0,3618.0
70,2.5,2457.0,1040.0,320.0,218.0,15113.0,20.0,20983.0,6.0,163569.0,44.0,23851.0,5151.0
71,1.25,1025.0,483.0,176.0,111.0,8198.0,10.0,10051.0,3.0,78164.0,15.0,12207.0,2665.0
72,1.5,1319.0,612.0,211.0,156.0,8667.0,12.0,13558.0,5.0,87996.0,19.0,14691.0,2997.0
73,2.0,1769.0,892.0,270.0,218.0,13374.0,16.0,17053.0,3.0,121228.0,26.0,19152.0,4048.0
74,3.0,3027.0,1238.0,400.0,229.0,17812.0,24.0,27570.0,2.0,177713.0,50.0,27612.0,6570.0
75,0.5,357.0,183.0,78.0,42.0,3156.0,4.0,4923.0,2.0,29978.0,7.0,4921.0,987.0
76,0.75,751.0,265.0,126.0,85.0,5125.0,6.0,6736.0,4.0,47706.0,11.0,7099.0,1580.0
77,1.5,1762.0,643.0,243.0,119.0,9541.0,12.0,12100.0,6.0,94026.0,22.0,14100.0,3125.0
78,2.0,2038.0,836.0,329.0,168.0,13688.0,16.0,19822.0,4.0,117260.0,24.0,18944.0,4353.0
79,2.0,2163.0,733.0,252.0,188.0,14599.0,14.0,18564.0,3.0,123896.0,23.0,19026.0,3863.0
80,1.5,1441.0,570.0,224.0,121.0,9261.0,11.0,14800.0,5.0,92652.0,23.0,14811.0,2962.0
81,2.0,1848.0,779.0,316.0,219.0,13690.0,16.0,19992.0,3.0,118393.0,27.0,18425.0,3909.0
82,2.0,1807.0,867.0,349.0,165.0,14462.0,16.0,18761.0,6.0,127751.0,35.0,19377.0,3797.0
83,2.0,1440.0,869.0,353.0,226.0,13749.0,15.0,19710.0,5.0,129208.0,30.0,18729.0,4131.0
84,1.0,848.0,370.0,160.0,111.0,5918.0,7.0,9296.0,6.0,62186.0,13.0,9425.0,1961.0
85,2.5,1892.0,1016.0,358.0,215.0,15157.0,19.0,22688.0,3.0,163024.0,30.0,23109.0,5446.0
86,1.0,1021.0,424.0,168.0,116.0,6019.0,8.0,8991.0,6.0,58593.0,17.0,9629.0,1881.0
87,1.25,1295.0,444.0,217.0,154.0,7730.0,10.0,11004.0,4.0,75119.0,16.0,11880.0,2701.0
88,2.0,1452.0,723.0,275.0,247.0,14196.0,15.0,18092.0,5.0,117538.0,27.0,18970.0,4376.0
89,0.75,710.0,290.0,103.0,59.0,5009.0,5.0,6425.0,5.0,46531.0,10.0,7142.0,1581.0
90,1.75,1709.0,621.0,211.0,179.0,12010.0,13.0,14491.0,3.0,101474.0,27.0,16375.0,3360.0
91,3.0,2517.0,1298.0,529.0,254.0,19233.0,24.0,28241.0,4.0,183698.0,45.0,29488.0,6396.0
92,3.0,2351.0,1174.0,412.0,245.0,19714.0,23.0,26935.0,4.0,171652.0,39.0,28514.0,6247.0
93,1.5,1701.0,669.0,251.0,115.0,10811.0,12.0,14377.0,4.0,85581.0,21.0,14048.0,2941.0
94,2.5,2907.0,959.0,406.0,206.0,14913.0,20.0,23254.0,4.0,150843.0,39.0,23592.0,5096.0
95,3.0,3417.0,1292.0,386.0,242.0,20820.0,23.0,29672.0,5.0,187646.0,38.0,28245.0,5731.0
96,1.25,892.0,516.0,189.0,99.0,9020.0,10.0,10391.0,2.0,76425.0,22.0,11549.0,2436.0
97,3.0,2806.0,1055.0,396.0,377.0,19152.0,22.0,25938.0,5.0,190652.0,46.0,28358.0,5934.0
98,1.25,1227.0,497.0,162.0,102.0,8128.0,9.0,12213.0,2.0,76263.0,18.0,12204.0,2377.0
99,0.5,370.0,193.0,70.0,58.0,3540.0,4.0,4958.0,5.0,30819.0,9.0,4872.0,1096.0
100,1.5,1725.0,674.0,259.0,128.0,9714.0,12.0,12518.0,3.0,84163.0,20.0,14147.0,3143.0
101,2.0,2061.0,830.0,245.0,232.0,14590.0,15.0,17722.0,3.0,124155.0,32.0,18963.0,4154.0
102,1.5,1466.0,667.0,263.0,153.0,10141.0,12.0,12753.0,4.0,92450.0,23.0,14175.0,2928.0
103,0.75,551.0,263.0,102.0,78.0,4463.0,6.0,7196.0,2.0,49485.0,11.0,7133.0,1469.0
104,2.5,2558.0,916.0,328.0,304.0,16926.0,18.0,22194.0,5.0,152985.0,41.0,23728.0,4774.0
105,1.5,1326.0,629.0,234.0,117.0,10129.0,11.0,14978.0,5.0,91262.0,27.0,14481.0,2946.0
106,0.5,361.0,191.0,86.0,55.0,3521.0,4.0,4799.0,6.0,30446.0,6.0,4657.0,1063.0
107,1.25,954.0,522.0,220.0,133.0,7898.0,9.0,10007.0,3.0,71448.0,22.0,12090.0,2460.0
108,2.5,1912.0,945.0,336.0,256.0,14250.0,18.0,23781.0,3.0,142790.0,40.0,23527.0,5038.0
109,1.75,1583.0,687.0,263.0,208.0,10395.0,13.0,14879.0,4.0,103394.0,28.0,17053.0,3744.0
110,1.0,743.0,426.0,139.0,103.0,7194.0,7.0,9140.0,4.0,60237.0,14.0,9660.0,2034.0
111,1.0,855.0,399.0,163.0,96.0,6552.0,8.0,8026.0,4.0,60869.0,17.0,9782.0,1964.0
112,0.5,379.0,186.0,76.0,48.0,3630.0,4.0,4584.0,3.0,32323.0,8.0,4922.0,1002.0
113,0.75,711.0,303.0,116.0,93.0,4446.0,6.0,7275.0,3.0,45585.0,10.0,7258.0,1424.0
114,0.5,513.0,189.0,78.0,60.0,3191.0,4.0,4580.0,4.0,32297.0,8.0,4892.0,944.0
115,1.5,1124.0,579.0,206.0,114.0,9216.0,11.0,14174.0,3.0,97893.0,24.0,14703.0,2837.0
116,1.75,1918.0,617.0,290.0,158.0,10836.0,13.0,16356.0,5.0,104478.0,31.0,16722.0,3679.0
117,0.5,409.0,177.0,65.0,40.0,2807.0,4.0,4844.0,3.0,31243.0,7.0,4912.0,1065.0
118,2.0,1575.0,746.0,274.0,213.0,11825.0,15.0,19837.0,4.0,124581.0,28.0,18867.0,3860.0
119,1.25,935.0,440.0,209.0,144.0,8364.0,9.0,10221.0,6.0,70139.0,18.0,12296.0,2638.0
120,2.5,2062.0,1124.0,401.0,223.0,18025.0,19.0,20319.0,6.0,163914.0,38.0,24294.0,4778.0
121,1.5,1781.0,642.0,204.0,156.0,8878.0,12.0,13283.0,4.0,91362.0,17.0,14271.0,3272.0
122,1.0,855.0,395.0,145.0,120.0,7034.0,8.0,9649.0,6.0,58638.0,18.0,9755.0,1886.0
123,1.5,1461.0,538.0,183.0,174.0,8706.0,11.0,12565.0,3.0,97622.0,17.0,14340.0,2908.0
124,3.0,2572.0,1156.0,407.0,292.0,17554.0,21.0,29161.0,5.0,175904.0,50.0,29030.0,6073.0
125,0.75,643.0,281.0,121.0,58.0,5412.0,6.0,6614.0,2.0,48448.0,11.0,7341.0,1582.0
126,1.5,1331.0,618.0,255.0,188.0,10906.0,11.0,13427.0,5.0,97276.0,19.0,14815.0,2929.0
127,2.5,2256.0,1113.0,406.0,243.0,14226.0,20.0,21562.0,6.0,156553.0,42.0,23067.0,5387.0
128,1.25,1331.0,553.0,151.0,106.0,8513.0,10.0,12460.0,4.0,75295.0,17.0,11708.0,2502.0
129,0.5,362.0,190.0,70.0,43.0,3077.0,4.0,4206.0,6.0,30916.0,6.0,4610.0,1038.0
130,3.0,2324.0,1335.0,393.0,274.0,20807.0,23.0,26724.0,5.0,182439.0,51.0,28478.0,6364.0
131,1.0,905.0,360.0,154.0,104.0,5957.0,8.0,9683.0,3.0,58835.0,12.0,9360.0,2189.0
132,2.0,2108.0,878.0,288.0,187.0,13458.0,15.0,19745.0,2.0,125800.0,35.0,19499.0,3853.0
133,2.0,1938.0,777.0,256.0,184.0,13702.0,15.0,16571.0,3.0,125670.0,28.0,19427.0,4360.0
134,1.75,1457.0,725.0,275.0,187.0,12086.0,13.0,14661.0,6.0,107965.0,20.0,16889.0,3437.0
135,1.5,1394.0,561.0,221.0,121.0,8873.0,11.0,12665.0,3.0,98298.0,26.0,14218.0,2912.0
136,1.25,1333.0,526.0,175.0,111.0,7712.0,10.0,12100.0,3.0,80068.0,14.0,11901.0,2489.0
137,0.5,446.0,192.0,62.0,62.0,3567.0,4.0,4147.0,6.0,31388.0,9.0,4738.0,1077.0
138,1.75,1300.0,720.0,306.0,174.0,12273.0,13.0,15397.0,5.0,103256.0,29.0,17023.0,3746.0
139,1.0,701.0,381.0,124.0,77.0,6641.0,7.0,9739.0,2.0,64695.0,13.0,9381.0,2050.0
140,2.0,2207.0,875.0,319.0,206.0,13180.0,15.0,17049.0,4.0,130114.0,26.0,19297.0,4141.0
141,1.0,713.0,370.0,149.0,101.0,5793.0,7.0,9421.0,4.0,61634.0,11.0,9787.0,1929.0
142,3.0,3109.0,1242.0,485.0,229.0,16876.0,22.0,28210.0,3.0,190402.0,50.0,27742.0,5803.0
143,2.5,2710.0,931.0,389.0,218.0,17300.0,18.0,24295.0,4.0,158121.0,31.0,23180.0,5017.0
144,1.5,1229.0,570.0,221.0,176.0,9036.0,12.0,14174.0,5.0,86209.0,27.0,14353.0,3244.0
145,1.5,1550.0,606.0,195.0,133.0,8605.0,12.0,14858.0,6.0,84996.0,24.0,14396.0,3001.0
146,1.75,1259.0,674.0,216.0,207.0,12372.0,12.0,17345.0,3.0,104086.0,28.0,16954.0,3671.0
147,0.75,724.0,332.0,125.0,73.0,4250.0,6.0,7315.0,2.0,49174.0,10.0,7234.0,1637.0
148,1.0,796.0,368.0,169.0,100.0,7119.0,8.0,9981.0,6.0,64546.0,15.0,9637.0,2177.0
149,1.75,1999.0,742.0,274.0,146.0,10255.0,14.0,16686.0,2.0,107955.0,23.0,16975.0,3534.0
150,1.0,702.0,355.0,172.0,77.0,6225.0,7.0,8618.0,4.0,65723.0,11.0,9282.0,1919.0
151,2.0,2276.0,871.0,347.0,206.0,14245.0,16.0,18457.0,2.0,127530.0,28.0,19620.0,3934.0
152,1.5,1680.0,633.0,222.0,115.0,10006.0,11.0,12759.0,5.0,98287.0,20.0,14379.0,3017.0
153,1.0,756.0,383.0,156.0,98.0,6738.0,8.0,8887.0,4.0,57882.0,17.0,9353.0,2171.0
154,0.5,466.0,188.0,61.0,58.0,3480.0,4.0,4210.0,5.0,31217.0,8.0,4616.0,1003.0
155,1.75,1753.0,625.0,216.0,199.0,9871.0,13.0,15132.0,6.0,106399.0,25.0,17289.0,3804.0
156,0.5,485.0,213.0,78.0,55.0,3315.0,4.0,4917.0,6.0,28594.0,7.0,4650.0,1082.0
157,1.0,1014.0,423.0,138.0,82.0,5749.0,7.0,8689.0,4.0,62647.0,17.0,9557.0,2057.0
158,1.0,1125.0,395.0,120.0,121.0,6299.0,8.0,9073.0,2.0,61001.0,17.0,9713.0,1943.0
159,1.75,1934.0,762.0,296.0,138.0,11396.0,13.0,16021.0,6.0,102058.0,24.0,16322.0,3694.0
160,0.5,413.0,194.0,81.0,61.0,2892.0,4.0,4020.0,3.0,29928.0,7.0,4635.0,995.0
161,1.75,1325.0,613.0,280.0,177.0,10761.0,14.0,15921.0,4.0,109358.0,27.0,16794.0,3703.0
162,2.5,2262.0,925.0,332.0,252.0,16373.0,18.0,23121.0,3.0,155025.0,31.0,24318.0,5136.0
163,2.0,2318.0,802.0,297.0,221.0,14519.0,16.0,19446.0,4.0,131371.0,27.0,18422.0,4395.0
164,1.5,1262.0,595.0,205.0,170.0,8986.0,11.0,12043.0,2.0,97368.0,21.0,14816.0,3083.0
165,0.5,562.0,222.0,67.0,45.0,3143.0,4.0,4256.0,3.0,29816.0,6.0,4894.0,1041.0
166,1.0,947.0,417.0,152.0,108.0,6563.0,8.0,8359.0,6.0,65660.0,12.0,9552.0,2076.0
167,1.5,1399.0,630.0,265.0,131.0,9436.0,12.0,12957.0,5.0,86481.0,25.0,14647.0,3048.0
168,2.0,1473.0,817.0,278.0,173.0,13766.0,16.0,19605.0,4.0,112213.0,25.0,19678.0,4183.0
169,2.0,1435.0,822.0,309.0,205.0,14078.0,15.0,17428.0,5.0,112380.0,26.0,19047.0,3886.0
170,1.75,1441.0,666.0,220.0,135.0,12487.0,13.0,16329.0,3.0,115205.0,22.0,17217.0,3718.0
171,2.5,2963.0,883.0,338.0,206.0,17430.0,19.0,20487.0,5.0,144542.0,39.0,23811.0,4901.0
172,1.75,2053.0,760.0,233.0,157.0,12419.0,13.0,14642.0,6.0,106282.0,26.0,16729.0,3538.0
173,0.75,892.0,268.0,123.0,76.0,4602.0,6.0,7058.0,2.0,47921.0,9.0,6908.0,1584.0
174,2.0,2315.0,751.0,294.0,184.0,11832.0,15.0,16870.0,3.0,120259.0,25.0,19271.0,4146.0
175,1.75,1889.0,686.0,216.0,179.0,10617.0,14.0,14880.0,2.0,112276.0,24.0,16992.0,3576.0
176,1.0,1020.0,360.0,141.0,88.0,7026.0,7.0,8891.0,4.0,58828.0,13.0,9255.0,1886.0
177,1.5,1359.0,551.0,255.0,117.0,10841.0,12.0,14266.0,2.0,91190.0,26.0,14244.0,2965.0
178,3.0,3010.0,1121.0,503.0,274.0,18018.0,22.0,29083.0,6.0,181995.0,44.0,28348.0,5689.0
179,3.0,2374.0,1101.0,443.0,253.0,19218.0,23.0,25892.0,5.0,184808.0,39.0,28745.0,5798.0
180,0.5,376.0,195.0,78.0,42.0,2894.0,4.0,4200.0,2.0,29533.0,6.0,4714.0,1094.0
181,3.0,3360.0,1237.0,505.0,373.0,18629.0,22.0,27272.0,5.0,192572.0,46.0,29414.0,5966.0
182,0.5,443.0,183.0,71.0,53.0,3110.0,4.0,4012.0,5.0,31360.0,8.0,4793.0,1012.0
183,1.5,1589.0,619.0,226.0,130.0,8434.0,12.0,13002.0,2.0,87792.0,25.0,14609.0,2893.0
184,0.5,497.0,188.0,67.0,42.0,3446.0,4.0,4483.0,5.0,29577.0,8.0,4698.0,986.0
185,2.0,1606.0,752.0,340.0,236.0,12849.0,15.0,19140.0,4.0,131856.0,33.0,19356.0,3782.0
186,1.5,1527.0,595.0,190.0,141.0,10089.0,11.0,12402.0,3.0,97865.0,26.0,14575.0,3080.0
187,1.25,1105.0,502.0,171.0,113.0,8117.0,9.0,10985.0,3.0,75128.0,21.0,11635.0,2739.0
188,2.5,1897.0,1106.0,363.0,193.0,16320.0,20.0,21554.0,5.0,144457.0,33.0,23575.0,5109.0
189,1.0,851.0,392.0,124.0,108.0,6228.0,8.0,9286.0,5.0,60570.0,18.0,9811.0,1931.0
190,3.0,3302.0,1068.0,450.0,230.0,16936.0,22.0,29233.0,5.0,176054.0,41.0,28532.0,6342.0
191,0.5,413.0,187.0,90.0,56.0,2826.0,4.0,4773.0,2.0,30228.0,8.0,4856.0,999.0
192,3.0,2272.0,1288.0,366.0,232.0,17553.0,22.0,25821.0,2.0,184649.0,48.0,28777.0,6359.0
193,1.25,1244.0,459.0,204.0,148.0,7152.0,10.0,10809.0,5.0,76916.0,14.0,11871.0,2468.0
194,3.0,3178.0,1167.0,410.0,343.0,17626.0,21.0,25532.0,3.0,197206.0,42.0,28535.0,5934.0
195,1.25,1451.0,439.0,151.0,150.0,7563.0,10.0,11864.0,5.0,72309.0,17.0,11689.0,2647.0
196,1.75,1623.0,756.0,271.0,145.0,10088.0,13.0,14425.0,3.0,99661.0,21.0,16845.0,3390.0
197,2.0,1921.0,845.0,306.0,201.0,11490.0,15.0,16516.0,2.0,112078.0,26.0,18807.0,4390.0
198,0.5,538.0,180.0,72.0,60.0,2924.0,4.0,4964.0,2.0,32405.0,7.0,4760.0,996.0
199,0.75,738.0,271.0,108.0,92.0,5155.0,6.0,6161.0,4.0,46297.0,9.0,7122.0,1447.0
200,1.5,1074.0,560.0,223.0,132.0,9655.0,11.0,14133.0,4.0,92221.0,17.0,14843.0,3273.0
201,0.5,416.0,216.0,67.0,59.0,3474.0,4.0,4392.0,4.0,31770.0,8.0,4884.0,1082.0
202,1.75,1361.0,777.0,293.0,184.0,10410.0,13.0,17237.0,4.0,98208.0,31.0,17286.0,3711.0
203,1.75,1365.0,726.0,213.0,203.0,10289.0,14.0,16954.0,2.0,115023.0,28.0,16629.0,3462.0
204,1.25,1274.0,522.0,158.0,99.0,7513.0,9.0,11274.0,5.0,82030.0,20.0,11834.0,2581.0
205,1.0,1051.0,359.0,162.0,109.0,5962.0,7.0,8985.0,2.0,57239.0,18.0,9658.0,1883.0
206,1.0,909.0,404.0,167.0,96.0,6398.0,8.0,8730.0,5.0,63834.0,15.0,9489.0,1955.0
207,1.75,1443.0,651.0,269.0,148.0,10739.0,13.0,16800.0,6.0,114184.0,25.0,16459.0,3324.0
208,1.0,788.0,397.0,180.0,97.0,6675.0,7.0,8306.0,6.0,64614.0,15.0,9335.0,2144.0
209,1.5,1574.0,566.0,237.0,147.0,9701.0,12.0,14104.0,4.0,98117.0,17.0,14386.0,3249.0
210,1.25,1144.0,461.0,221.0,97.0,7905.0,9.0,11691.0,5.0,74773.0,16.0,11990.0,2432.0
211,1.25,1237.0,550.0,219.0,142.0,8571.0,9.0,11502.0,2.0,72288.0,19.0,12190.0,2714.0
212,0.75,719.0,316.0,105.0,58.0,4333.0,6.0,6578.0,5.0,43927.0,10.0,7203.0,1561.0
213,1.75,1417.0,781.0,233.0,179.0,12313.0,13.0,17054.0,2.0,110623.0,29.0,16802.0,3828.0
214,1.5,1340.0,674.0,262.0,154.0,8805.0,11.0,14926.0,2.0,90699.0,23.0,14381.0,3063.0
215,1.5,1278.0,597.0,192.0,121.0,10791.0,12.0,14088.0,3.0,85641.0,20.0,14625.0,2927.0
216,1.5,1688.0,557.0,256.0,133.0,8778.0,12.0,14555.0,4.0,85425.0,25.0,13807.0,2905.0
217,2.5,2736.0,1062.0,381.0,218.0,14236.0,19.0,22422.0,4.0,143470.0,42.0,23066.0,5270.0
218,1.25,954.0,488.0,180.0,120.0,7503.0,10.0,12316.0,6.0,76258.0,21.0,12240.0,2527.0
219,0.5,600.0,204.0,71.0,40.0,3135.0,4.0,4437.0,4.0,32716.0,6.0,4781.0,1013.0
220,1.25,952.0,468.0,174.0,115.0,7593.0,10.0,10109.0,2.0,75797.0,18.0,11967.0,2670.0
221,2.5,2704.0,883.0,387.0,297.0,17253.0,20.0,22055.0,5.0,145347.0,34.0,24271.0,4920.0
222,3.0,2748.0,1137.0,387.0,316.0,20888.0,22.0,29717.0,5.0,196265.0,47.0,29440.0,6532.0
223,0.75,660.0,288.0,91.0,69.0,4350.0,6.0,6194.0,5.0,42044.0,9.0,6972.0,1591.0
224,2.5,1880.0,959.0,394.0,307.0,15229.0,20.0,24870.0,5.0,150378.0,42.0,23139.0,4791.0
225,2.5,1930.0,1069.0,380.0,213.0,17227.0,19.0,22693.0,3.0,144534.0,40.0,23219.0,5052.0
226,1.0,832.0,393.0,150.0,107.0,6157.0,8.0,8488.0,2.0,58222.0,16.0,9433.0,2018.0
227,2.0,2072.0,790.0,287.0,246.0,13489.0,16.0,18322.0,4.0,115617.0,26.0,19539.0,3914.0
228,2.0,1596.0,879.0,339.0,169.0,13910.0,15.0,16788.0,4.0,130467.0,23.0,19273.0,4002.0
229,0.75,825.0,291.0,112.0,84.0,4821.0,5.0,6856.0,5.0,46793.0,10.0,7199.0,1427.0
