Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1.5,2,2,463,3,372,301,105,9,1289,2,0.3,4.8,2,2,8372,7,3,5447,5447,78,3171,2957,3866.0594
0.5,1,1,137,1,174,107,38,4,448,3,0.3,1.6,3,3,2793,8,2,1749,1749,27,1143,907,1590.6126
2.5,1,1,826,2,596,576,182,16,2212,2,1.5,6.3,2,2,13788,10,3,8994,8994,123,5639,5065,6502.8836
2,2,1,659,2,633,353,181,10,1707,2,1.4,6.5,4,2,9614,10,1,7528,7528,87,4210,4127,5783.9358
1.25,2,2,359,2,426,245,101,10,1108,1,0.5,3.7,2,3,6207,10,4,4648,4648,56,2650,2387,3742.0144
2.5,2,2,666,2,601,540,179,11,2163,2,1.1,8.2,2,1,11193,7,3,9497,9497,114,5452,4710,6402.1256
1.5,1,2,457,3,462,359,130,9,1215,1,0.9,3.1,4,0,8174,11,3,5629,5629,76,3401,3102,4436.4448
1.5,2,2,464,2,505,286,120,12,1230,2,0.5,3.3,2,3,8348,11,3,5316,5316,73,3336,2752,4548.0096
3,1,1,932,1,886,584,273,23,2532,3,1.6,5.5,2,2,12698,8,2,10266,10266,145,6431,5853,8425.5286
2.5,2,1,691,1,849,526,190,19,2042,1,1.4,7.5,4,1,11265,7,3,8635,8635,144,5301,4838,7562.403
2,1,1,581,1,531,429,160,9,1816,2,1,3.9,3,0,8363,7,1,6839,6839,100,4273,3527,5339.4126
0.75,1,1,243,1,262,155,54,5,656,2,0.3,2.5,3,3,4254,11,1,2684,2684,30,1598,1455,2276.9928
3,1,1,1009,1,846,525,281,24,2661,2,1.1,8.1,4,0,14480,7,2,10587,10587,175,6886,5971,8625.729
1,2,1,261,1,284,239,78,6,905,1,0.2,2.5,3,3,4983,10,3,3535,3535,41,2133,1760,2737.5106
0.75,2,2,230,2,258,170,56,4,623,3,0.6,2.3,2,2,3892,11,2,2901,2901,32,1694,1460,2313.4864
1.25,2,1,326,1,349,228,118,8,1064,1,0.3,2.4,4,2,6066,8,1,4434,4434,60,2708,2449,3462.3472
2,2,2,583,3,531,420,155,8,1810,2,0.7,5.1,2,3,8976,10,3,7025,7025,93,4508,4129,5436.5102
2.5,2,2,766,2,778,455,191,11,2215,3,0.5,8.1,4,1,12511,11,1,9084,9084,116,5390,4905,7194.4852
1.5,1,2,403,2,430,291,120,8,1334,3,0.8,2.8,4,0,7921,10,2,5347,5347,84,3350,2843,4266.7042
1,1,1,310,1,296,205,67,8,908,1,0.3,3.4,2,0,4521,8,1,3718,3718,49,2173,1802,2821.4352
1.75,2,2,528,1,552,346,138,14,1458,2,0.8,3.3,2,2,7259,7,2,6339,6339,71,3924,3050,5103.3058
1.5,1,2,505,1,495,346,139,8,1247,1,0.6,3.1,2,0,7146,8,1,5321,5321,77,3210,2768,4476.3362
1.25,2,2,399,1,424,298,117,7,1135,2,0.8,3.1,2,1,6852,7,4,4658,4658,55,2699,2562,3779.6114
2.5,1,2,659,3,630,558,206,12,2166,2,0.8,5.7,4,3,11550,7,1,9615,9615,151,5449,4292,6676.028
2,1,2,540,1,580,454,185,18,1776,2,0.6,6.3,3,2,10321,8,1,7229,7229,126,4261,3460,5688.8492
2.5,2,2,853,2,594,448,163,14,2058,3,1,6.4,3,1,12554,11,4,9369,9369,140,5527,4978,6454.9898
1.75,2,1,555,1,479,364,164,10,1453,2,1,4.4,4,3,9198,11,3,6481,6481,106,3960,3657,4967.3716
2,1,2,578,3,564,388,166,13,1808,3,0.8,5.9,4,1,10158,8,1,7028,7028,111,4349,3804,5593.5096
2,1,1,556,1,537,346,146,11,1633,1,1.5,4.9,2,2,10858,7,2,6856,6856,80,4217,3915,5254.5896
1,1,2,269,3,256,178,80,5,836,3,0.3,2.6,2,0,4154,11,4,3498,3498,59,2177,1951,2681.8908
3,2,2,1006,1,768,690,280,19,2499,2,1.5,6.1,3,2,14188,11,1,10746,10746,170,6810,5127,8205.8376
1.5,2,1,391,3,402,311,122,6,1344,3,1.1,2.8,3,1,7365,7,4,5393,5393,86,3344,2599,4141.799
1,1,1,264,2,251,208,71,7,896,2,0.5,2.9,3,2,4720,7,1,3674,3674,51,2253,1833,2679.087
1.75,2,2,590,2,534,413,165,15,1462,3,1.3,5.6,4,2,8406,7,4,6519,6519,87,3953,3162,5171.8062
1.75,2,2,580,3,572,412,137,10,1512,2,0.4,5.9,2,0,9266,11,1,6080,6080,87,3812,3093,5206.8942
1,2,2,275,3,268,216,78,9,877,3,0.4,1.9,2,2,5694,7,3,3413,3413,52,2274,1804,2762.0528
2.5,1,1,684,1,763,516,201,11,2069,3,1.7,5.7,3,2,10694,11,4,8879,8879,148,5491,4815,7280.8118
1,2,1,285,3,331,202,65,6,845,3,0.5,3.2,2,2,4469,7,1,3564,3564,56,2295,2076,3064.6388
2,1,1,627,1,604,440,173,13,1816,2,1.5,5.2,3,0,9932,7,1,6983,6983,85,4214,4055,5625.9354
3,1,1,928,2,954,585,200,16,2720,3,1.6,9.7,4,0,13931,11,3,11567,11567,138,6702,6066,8815.2062
2.5,2,2,804,3,819,514,232,16,2195,1,1.7,5.5,3,1,12577,11,2,8520,8520,116,5345,5178,7394.9914
2.5,2,1,821,3,834,488,172,10,2140,2,1,5.6,2,1,13709,8,1,9566,9566,113,5342,4944,7355.3778
1.25,2,1,375,3,417,236,90,10,1052,2,0.9,2.4,3,0,5211,10,2,4794,4794,62,2801,2167,3786.8122
3,1,2,899,2,776,561,264,23,2450,1,0.7,7.4,4,2,17375,10,1,10761,10761,144,6525,5890,7988.167
1.75,2,1,554,2,550,312,131,8,1548,2,1.2,4,4,1,8371,7,3,6236,6236,100,3783,2997,5124.0772
1,1,1,304,2,288,236,86,7,836,3,0.6,2.2,2,1,5789,7,4,3717,3717,58,2227,1958,2862.7758
0.5,1,1,140,3,163,119,44,4,430,3,0.2,0.9,2,1,2583,8,1,1726,1726,27,1109,1033,1515.6486
2,1,1,639,3,647,361,176,9,1766,3,1.3,4.7,2,1,10261,8,1,7125,7125,80,4557,3573,5972.6602
1.75,1,2,484,2,514,304,132,9,1430,3,0.9,5.7,2,2,7283,10,3,6113,6113,89,3934,2996,5004.3526
3,1,1,858,2,945,539,226,22,2694,2,2.3,8.3,2,0,16537,7,3,10827,10827,161,6573,5805,8785.5254
2,2,2,639,3,588,383,146,12,1796,2,0.5,6.3,2,3,10313,8,3,6842,6842,85,4229,3796,5512.6406
0.5,1,2,170,1,173,100,38,4,408,2,0.3,0.9,4,0,2253,10,4,1812,1812,22,1064,994,1529.3646
1.75,2,1,505,1,490,334,148,14,1476,3,0.8,3.3,4,3,8716,10,4,6701,6701,93,3705,3183,4803.1072
1.25,2,1,397,1,422,231,83,10,1110,2,0.9,4.1,4,0,6491,11,3,4664,4664,62,2689,2266,3763.2572
1.5,1,1,506,1,488,266,113,10,1364,1,0.7,3.2,2,3,8036,7,4,5370,5370,62,3368,2620,4444.2362
3,2,2,1001,1,809,655,211,13,2433,2,1,9,3,2,15148,10,4,10869,10869,124,6863,5918,8202.7726
2.5,1,1,779,3,834,500,170,13,2157,1,1.5,4.9,4,0,13222,7,2,9002,9002,104,5749,4488,7560.9744
2,1,2,544,2,517,370,154,14,1634,1,0.6,4.3,3,3,10808,7,4,6929,6929,85,4470,3775,5323.0836
1.5,1,2,468,1,396,329,98,9,1254,2,1.1,4.2,4,1,7343,10,1,5730,5730,85,3217,2797,4033.5226
1,2,1,320,2,260,171,83,5,862,1,0.3,1.9,3,0,4562,8,3,3613,3613,61,2255,1813,2754.0514
1.5,2,2,500,2,378,358,138,12,1320,2,0.4,4.6,2,1,8318,7,2,5464,5464,65,3290,2616,3964.6176
2,1,1,640,1,584,360,132,12,1706,2,1,4.8,2,1,11589,11,1,7139,7139,99,4325,3955,5561.3338
3,1,1,995,1,703,696,260,17,2487,3,0.7,8.7,3,2,14498,11,4,10314,10314,160,6648,5890,7782.6396
2.5,2,1,800,3,609,468,230,10,2182,2,1.2,6,4,3,11421,7,2,9262,9262,157,5468,4414,6641.5542
0.5,2,2,143,2,127,91,34,3,443,2,0.1,1.4,2,1,2124,8,1,1752,1752,27,1082,892,1326.1868
0.5,2,2,148,2,153,104,44,3,411,1,0.3,1.2,2,1,2107,7,2,1940,1940,27,1098,976,1466.9134
2,2,2,522,3,687,451,138,16,1747,2,1.1,4.9,3,0,9709,8,2,7313,7313,81,4284,3838,5973.8958
3,1,2,894,3,915,575,254,19,2457,3,1.4,10.1,2,0,15774,8,3,10737,10737,162,6885,5368,8868.7768
2.5,1,1,706,1,709,532,186,22,2044,1,1.8,7.2,2,2,13867,11,2,8648,8648,103,5536,4926,6908.5514
1.25,2,2,353,3,304,299,89,10,1118,2,0.3,3.4,4,0,6326,10,4,4716,4716,79,2663,2497,3270.0022
1.75,2,1,486,3,563,301,134,10,1586,2,0.6,5.7,3,2,9349,10,4,6003,6003,86,3702,3497,5099.5318
1.5,1,1,509,1,363,357,128,10,1287,3,0.4,4.8,4,2,7293,7,2,5361,5361,69,3287,2742,3912.8626
2,1,1,584,3,610,356,159,11,1772,3,1.6,6.6,4,3,8374,10,3,7057,7057,125,4219,3988,5776.9618
2,2,2,590,3,582,410,145,17,1655,3,0.8,5.7,3,0,9992,10,2,7276,7276,95,4203,3713,5509.5434
0.5,1,2,131,2,147,109,36,3,432,1,0.4,0.9,2,0,2642,11,3,1770,1770,26,1086,949,1418.3364
3,2,2,870,1,904,554,223,20,2681,3,1.4,8.3,3,3,15778,7,4,10213,10213,188,6380,5665,8576.7746
0.75,2,1,248,1,179,168,51,4,654,2,0.4,1.6,3,3,3861,7,3,2786,2786,38,1629,1570,1933.3952
2,1,1,548,1,539,375,143,17,1801,1,1.4,5.6,2,1,8304,11,4,7611,7611,95,4248,4069,5330.2798
0.75,2,2,241,2,228,140,59,5,639,1,0.3,1.8,4,0,4231,7,3,2912,2912,36,1711,1458,2210.7132
1.5,2,2,480,3,359,321,113,8,1296,3,0.4,4.8,4,3,7249,11,1,5417,5417,82,3417,3054,3982.6588
2.5,2,2,737,1,694,457,168,11,2041,2,1.7,5.2,2,1,12197,11,1,9548,9548,140,5738,5163,7015.9434
1.75,1,2,462,2,566,300,120,15,1572,2,0.5,4.2,4,0,7777,7,3,6047,6047,82,3743,3671,5097.6954
1.5,2,1,480,1,520,338,102,12,1316,2,0.8,3.1,3,1,6311,10,1,5774,5774,90,3194,2915,4581.6282
2.5,1,1,704,1,784,433,197,15,2253,2,1.9,5,4,1,11585,8,1,8778,8778,149,5259,4251,7245.978
1.75,2,2,540,2,600,351,161,8,1499,3,0.9,5.5,4,1,8672,10,3,6392,6392,107,3880,2976,5477.9674
0.5,1,1,165,1,166,112,46,3,455,2,0.1,1.4,3,0,2347,8,1,1712,1712,25,1057,945,1508.9474
0.5,2,2,155,1,145,102,42,3,421,2,0.2,1.2,2,2,2204,7,2,1921,1921,27,1094,1025,1424.7868
0.75,1,2,256,1,247,168,69,6,609,1,0.4,2.2,2,0,3385,11,2,2918,2918,39,1700,1441,2303.014
1,1,1,291,2,303,200,71,5,858,3,0.3,2.4,2,0,5621,8,2,3891,3891,44,2188,1821,2841.7272
2.5,1,1,869,1,832,528,173,11,2127,3,1.9,6.9,3,2,14259,10,1,9230,9230,129,5320,4758,7418.2208
0.5,1,1,140,1,174,103,39,4,428,3,0.3,1,2,3,2188,8,4,1894,1894,21,1083,976,1526.4846
2,1,2,684,1,628,345,157,8,1631,1,0.6,6.4,2,0,9877,8,2,7172,7172,111,4218,4089,5782.0564
3,1,1,801,1,884,619,222,25,2500,2,1.7,7.2,4,2,16429,7,3,10472,10472,179,6638,5536,8603.2118
0.75,1,1,224,1,213,175,62,6,657,1,0.3,1.9,2,2,4037,11,2,2831,2831,39,1684,1378,2128.3534
1.5,2,2,477,3,500,303,124,6,1260,2,0.5,4.2,2,0,8675,10,1,5823,5823,78,3299,3041,4535.887
2,1,2,535,3,565,382,158,13,1679,2,0.8,5,2,2,9790,7,4,7437,7437,104,4522,4001,5633.292
1,1,2,262,1,333,199,68,6,904,1,0.5,2.7,4,0,5145,11,4,3796,3796,64,2128,1892,3024.853
1,2,2,293,1,253,237,92,7,869,2,0.3,2.9,4,1,5449,10,2,3717,3717,63,2290,2093,2782.5058
1.5,2,2,522,3,524,266,117,6,1315,3,0.6,3,2,1,7216,8,1,5487,5487,74,3432,2747,4681.3242
2,1,1,586,3,690,356,142,10,1620,1,0.6,5.9,3,2,11551,10,2,7510,7510,127,4301,3606,6142.2562
1.5,2,2,481,2,365,319,108,8,1353,1,0.7,4.2,3,3,8296,11,4,5302,5302,94,3183,3062,3903.3432
1.5,2,1,424,2,414,334,138,13,1333,2,1.1,4.3,2,1,8698,10,2,5370,5370,82,3274,3097,4174.1936
1.5,2,2,413,2,355,279,122,12,1233,3,1,4.1,2,3,7007,10,4,5621,5621,94,3302,2677,3931.2074
0.75,2,1,254,2,183,134,58,6,639,2,0.5,1.5,2,1,3559,7,4,2737,2737,40,1705,1470,1996.9058
0.5,1,1,140,3,173,101,35,3,409,2,0.1,1.6,4,0,2549,7,2,1872,1872,22,1131,945,1565.9848
0.5,1,1,161,1,116,102,44,3,422,2,0.2,1.2,4,2,2395,7,1,1824,1824,29,1140,860,1344.491
2.5,2,1,844,2,698,481,203,20,2225,1,1.3,7.5,2,0,11437,7,3,8609,8609,113,5658,4713,6971.7064
1.25,2,2,340,3,299,247,101,9,1026,1,0.9,3.9,2,2,6552,11,4,4661,4661,61,2846,2126,3295.4434
0.5,1,2,130,3,128,95,36,4,450,3,0.3,0.9,2,1,2643,11,1,1911,1911,22,1142,933,1348.0966
0.75,1,1,210,3,235,130,56,6,609,2,0.5,2.2,2,1,3698,7,4,2564,2564,36,1622,1373,2177.9876
3,2,2,860,1,779,540,202,25,2471,2,1.5,8.4,2,3,14796,10,4,10288,10288,136,6842,5111,8063.1052
0.5,1,1,169,3,169,101,44,2,425,1,0.4,1.1,3,3,2695,8,1,1909,1909,23,1064,1010,1516.871
1.75,1,2,600,1,437,395,151,8,1486,1,1.2,3.7,3,2,7723,8,4,6357,6357,70,3872,3570,4589.7476
1.25,2,2,393,2,437,240,113,8,1087,1,0.7,3,2,0,5752,8,3,4534,4534,68,2678,2251,3855.4994
2.5,1,1,824,2,694,479,205,12,2063,1,1.8,5.6,3,3,13399,7,3,9582,9582,132,5501,4437,6927.4248
1.25,2,2,342,3,381,271,105,6,1118,3,0.4,3.2,4,0,5538,10,2,4454,4454,54,2781,2513,3621.8926
2,2,2,625,3,608,367,159,16,1781,1,0.6,4.3,4,0,11153,11,3,7519,7519,92,4300,3692,5679.4376
0.5,2,1,158,2,155,100,43,4,454,3,0.3,1.3,2,0,2609,7,1,1950,1950,23,1054,1047,1439.0608
1.25,1,1,328,2,389,298,116,8,1111,2,0.8,4.2,3,2,6834,10,4,4430,4430,73,2698,2414,3694.0948
0.5,2,1,159,2,175,110,41,3,446,1,0.4,1.7,3,0,2512,8,3,1725,1725,26,1114,961,1582.4354
1.75,2,2,533,1,602,341,142,11,1578,1,1.1,4.3,4,0,8853,7,1,6523,6523,111,3994,3026,5526.1566
2,2,2,620,2,515,430,133,12,1621,2,0.9,6.5,4,0,10073,11,2,7038,7038,113,4222,3504,5275.4436
3,2,2,855,3,864,596,234,20,2603,3,1.7,7.9,3,0,15049,8,3,11196,11196,120,6760,5293,8406.2918
3,1,1,860,2,965,556,198,16,2633,2,0.8,7,3,0,12641,7,1,11184,11184,138,6686,6094,8810.2422
2,1,2,697,1,545,417,169,17,1700,2,0.5,6.1,4,0,10253,7,2,7682,7682,110,4318,4076,5492.9076
1.5,1,2,477,3,401,272,99,8,1358,2,1,3.8,3,1,7135,7,4,5162,5162,84,3383,2899,4126.274
1,1,1,270,1,237,176,69,9,823,1,0.7,3,4,1,5355,10,4,3480,3480,48,2290,1710,2632.728
2.5,2,2,851,2,761,439,209,18,2210,3,0.6,6.4,2,2,11349,11,2,9206,9206,101,5271,4304,6997.7668
3,1,1,830,1,1044,611,226,17,2684,1,1.4,9.5,4,3,14075,8,4,10824,10824,189,6370,5247,9234.813
1.5,2,1,468,1,414,307,129,6,1275,3,1.1,4.5,2,3,7908,8,2,5326,5326,78,3416,3028,4225.8786
1,2,1,334,3,240,211,65,8,878,3,0.3,1.8,2,0,4985,7,2,3818,3818,52,2199,2023,2575.222
0.5,1,2,155,1,138,115,37,4,437,2,0.1,1.6,3,1,2121,11,1,1838,1838,21,1146,1004,1407.9652
1,2,2,284,2,246,233,82,6,896,3,0.7,1.9,4,2,5540,7,1,3576,3576,40,2143,1878,2581.094
0.75,1,1,212,2,256,162,54,3,667,3,0.2,2.3,4,1,4079,10,4,2780,2780,33,1710,1352,2325.9378
1.25,2,1,409,1,428,264,103,10,1062,1,0.5,2.3,4,1,6932,11,1,4604,4604,74,2857,2245,3927.7254
2.5,1,2,834,2,766,470,229,20,2095,1,0.5,7.4,4,1,14420,8,3,9193,9193,142,5459,4331,7304.561
1.25,1,1,364,3,336,217,83,10,1122,3,0.3,2.9,2,3,5489,10,4,4267,4267,74,2820,2223,3447.5968
1.5,2,1,410,3,414,335,124,12,1313,2,0.4,4.2,2,1,7995,11,2,5450,5450,64,3373,2682,4144.871
3,1,1,980,3,754,681,276,18,2459,1,1.2,7.3,3,1,13482,10,4,11390,11390,171,6396,5399,7923.7244
1.25,1,2,403,2,416,222,89,11,1052,3,0.3,3.4,2,3,6128,10,3,4713,4713,77,2811,2170,3826.7226
1,2,2,307,2,243,211,84,6,825,2,0.7,3,3,2,5005,8,1,3573,3573,62,2242,1776,2691.833
1,1,1,331,2,267,219,69,7,892,2,0.8,3.1,2,2,4883,8,4,3445,3445,46,2257,1755,2732.5136
2,2,1,592,2,587,359,133,10,1622,2,0.8,4.6,4,2,9914,11,3,7095,7095,119,4308,3468,5642.2318
2,1,2,647,2,568,365,177,10,1625,2,1.5,5.8,2,3,8350,10,2,7296,7296,108,4366,3806,5612.971
1,2,1,308,1,242,176,74,6,853,3,0.4,2.8,4,3,4474,7,1,3441,3441,49,2190,1901,2606.1368
2,1,1,564,1,587,411,137,12,1759,3,1.3,5,2,1,10474,7,4,6923,6923,109,4457,3424,5692.6958
1.75,2,1,584,2,517,408,119,8,1460,3,1,4.4,3,0,7704,8,2,6811,6811,94,3813,3448,4957.0478
0.5,1,1,146,2,125,102,44,4,408,3,0.1,1.3,3,0,2257,11,2,1751,1751,24,1105,1036,1342.0434
0.75,1,1,238,2,175,159,59,4,630,3,0.3,2.1,3,3,3814,11,1,2653,2653,38,1717,1412,1976.2698
1.5,2,1,511,3,412,353,115,13,1235,3,1,4.7,3,0,7283,7,4,5100,5100,65,3241,2983,4075.9716
1.5,1,2,508,1,492,316,129,8,1233,3,0.9,4.7,3,1,8310,11,2,5103,5103,75,3403,2707,4571.159
1.5,1,1,495,2,427,265,112,13,1307,1,0.8,3.1,2,2,6585,10,4,5849,5849,64,3284,2877,4127.793
0.75,2,2,215,2,241,149,56,4,661,3,0.4,2.1,2,3,3796,8,4,2909,2909,42,1673,1405,2251.0072
1.5,2,2,415,3,514,305,137,7,1227,3,0.8,4.9,4,1,7579,8,2,5180,5180,72,3443,2743,4701.7768
1.75,1,2,507,2,534,361,122,8,1483,2,1,3.8,4,2,8017,10,4,6744,6744,103,3816,3116,5066.9894
1.25,2,1,363,1,321,278,106,11,1096,3,0.3,2.6,3,3,6730,11,1,4829,4829,70,2738,2319,3364.624
1.25,1,1,386,1,393,242,88,7,1035,1,0.9,3.9,2,0,6118,8,2,4799,4799,62,2637,2475,3592.7676
0.75,1,1,224,2,191,156,57,4,675,3,0.3,1.5,3,0,3376,10,3,2711,2711,42,1688,1446,2037.0162
0.75,2,2,248,2,208,144,68,3,620,2,0.4,1.4,3,2,4288,7,1,2708,2708,32,1718,1299,2112.8416
1.5,2,1,447,2,370,324,131,9,1271,3,0.5,4.8,2,1,6932,10,1,5847,5847,88,3295,2946,3993.3894
1,1,2,340,3,287,186,94,6,910,1,0.8,3.1,4,2,4565,7,4,3779,3779,58,2250,1868,2904.195
0.75,2,1,224,1,193,152,60,6,645,3,0.2,1.8,2,1,3679,11,2,2877,2877,45,1646,1428,2029.6758
1.75,1,2,572,1,406,325,147,10,1457,3,0.5,3.7,2,3,8259,10,1,6437,6437,74,3881,3423,4440.6428
1.5,2,1,405,1,484,351,115,13,1353,3,0.8,4,4,2,7416,10,4,5231,5231,68,3209,3060,4393.5582
2,2,2,570,2,497,447,146,11,1710,2,1.1,5.1,4,2,8622,10,3,7106,7106,102,4476,3726,5304.7224
1.5,1,2,500,1,355,339,138,9,1224,2,1,5.1,4,2,8317,10,1,5504,5504,62,3164,2671,3809.2374
0.75,1,1,257,1,228,134,60,5,618,2,0.4,1.5,4,2,3525,11,1,2734,2734,35,1580,1465,2135.865
1,1,1,317,2,242,172,91,5,858,2,0.4,2.2,4,2,4815,7,3,3777,3777,45,2243,2056,2639.286
1.75,2,2,608,1,571,360,136,8,1420,2,1.4,4.1,4,1,8063,11,4,6052,6052,75,3976,3454,5258.5606
3,2,2,876,2,923,706,285,13,2547,1,1.7,9.6,4,3,15869,10,1,10975,10975,174,6703,5153,8911.4188
1.75,1,1,606,2,463,375,156,11,1572,3,1.1,3.8,4,0,9920,7,1,6481,6481,72,3829,3169,4704.192
1.5,2,2,518,2,492,274,138,10,1340,2,0.7,3.8,3,0,8483,8,4,5634,5634,73,3336,2687,4527.3106
1.75,1,2,498,3,482,313,141,14,1537,3,1,5.2,2,3,8577,8,3,6555,6555,71,3868,3544,4777.3884
0.5,2,1,146,2,138,85,47,3,417,2,0.1,1.1,4,0,2440,7,3,1883,1883,22,1079,986,1389.899
0.5,1,2,168,3,172,120,37,4,451,1,0.1,1.1,4,3,2207,10,1,1720,1720,21,1088,976,1534.7424
1.75,1,2,583,2,448,397,139,9,1478,2,1.4,3.2,2,3,7608,10,3,5950,5950,92,3806,3265,4645.6086
3,1,2,985,2,702,640,203,23,2676,2,1.8,7.9,4,1,15901,8,2,11122,11122,172,6370,5880,7597.5592
1.25,2,1,378,2,326,266,83,8,1016,2,0.7,2.9,2,1,6741,7,2,4528,4528,54,2675,2324,3269.8672
1,2,2,335,2,344,186,68,9,827,1,0.6,3,2,0,5639,10,4,3800,3800,47,2210,1937,3051.5718
0.5,1,1,163,3,137,88,35,4,439,1,0.3,1,4,3,2835,11,2,1796,1796,26,1058,996,1371.942
1.25,2,2,369,1,420,295,114,11,1046,2,0.6,4,3,2,6274,11,3,4303,4303,58,2727,2261,3796.2568
2.5,1,1,736,1,687,577,173,11,2029,1,0.8,8.3,2,2,13262,7,4,9092,9092,101,5455,4434,6745.1814
0.5,2,2,148,2,127,113,44,4,442,2,0.1,1.1,2,2,2233,11,4,1806,1806,31,1119,871,1371.0586
1.75,1,1,503,1,425,342,160,8,1552,1,0.7,4,2,1,9974,10,4,6047,6047,73,3785,3435,4495.2948
1.5,2,1,518,2,469,315,117,13,1269,1,0.5,2.7,4,1,6841,7,4,5499,5499,91,3402,3039,4486.7092
1.75,2,2,509,3,525,360,115,12,1439,1,0.7,3.3,4,2,7795,11,1,6622,6622,95,3973,3555,5069.174
