Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
2,2,2,321,3,474,347,113,14,1250,3,9,4.8,6,1,15538,6,2,5572,5572,42,514,5780,2778
0.5,2,1,76,1,135,93,28,4,346,3,2,1.2,5,0,4631,3,2,1380,1380,15,117,1043,775
1.5,2,2,232,2,379,274,98,11,940,1,7,2.7,4,2,13142,5,1,3885,3885,33,332,3190,2157
0.5,1,2,81,2,123,85,32,7,303,2,3,1.5,4,0,4270,3,1,1404,1404,14,126,1096,738
1.25,2,1,176,2,324,220,92,17,798,1,6,2.8,6,2,9003,5,3,3411,3411,33,339,3107,1896
2.5,1,2,381,2,685,484,203,22,1668,2,12,4.6,4,1,21124,5,3,5802,5802,53,690,6630,3916
0.5,2,1,76,2,134,88,34,5,312,3,2,1.3,5,2,3916,4,1,1290,1290,14,139,1280,781
1,1,1,163,3,245,200,83,11,607,2,4,2.9,5,1,8875,6,1,2423,2423,21,250,2666,1429
1.75,2,1,262,3,459,333,103,21,1133,2,7,2.6,4,1,15247,5,2,4707,4707,43,372,3535,2575
0.75,2,1,106,2,208,143,48,8,467,1,3,2.2,4,2,6208,3,3,1732,1732,15,180,1774,1173
1,2,2,150,3,256,171,72,12,671,3,4,1.9,4,0,8089,5,3,2758,2758,25,273,2288,1484
2,1,2,283,3,496,386,148,27,1262,1,7,3.1,6,0,15368,5,3,5255,5255,56,473,5011,2855
1,2,2,162,2,274,192,56,13,648,1,4,1.5,5,2,8222,4,2,2346,2346,25,212,2501,1525
3,2,2,489,2,762,593,207,23,1951,2,15,6.4,4,1,21793,5,1,8463,8463,75,869,7854,4502
1.75,1,1,259,2,474,351,126,13,1206,3,8,3.7,4,1,16854,6,2,4053,4053,46,405,5165,2704
3,1,1,425,1,700,525,208,36,2021,3,13,6.5,5,2,22283,5,1,8377,8377,66,852,6379,4158
1,2,2,140,3,272,197,56,13,629,3,5,1.9,4,2,7702,4,2,2401,2401,29,235,2372,1560
0.5,2,1,82,3,118,106,37,5,311,2,2,1.4,6,0,3524,6,3,1398,1398,12,131,1008,701
2.5,2,2,356,2,660,433,159,34,1697,2,10,7.6,6,1,24276,6,1,5908,5908,72,578,5511,3818
2,1,1,320,1,473,353,143,27,1238,3,9,5.5,5,2,19661,5,3,4958,4958,57,439,5730,2796
3,1,2,423,3,767,548,186,24,1945,3,15,3.9,4,2,24116,6,1,7570,7570,70,803,8448,4427
1.5,1,2,221,1,415,293,92,18,902,3,6,4.4,4,2,12764,3,1,3888,3888,38,383,3009,2380
3,2,2,445,1,728,631,215,26,2056,1,13,4.4,4,2,29787,3,1,8224,8224,70,852,6160,4273
0.5,2,2,76,3,126,87,34,4,327,1,2,1,5,1,3542,3,2,1326,1326,12,120,1452,723
0.75,1,2,108,3,190,150,50,10,518,1,3,1.6,5,0,7145,4,2,1780,1780,16,186,1514,1089
2.5,2,2,367,2,697,492,199,23,1738,1,13,3.9,6,0,20196,5,1,7135,7135,53,669,5539,3958
3,1,1,485,3,728,637,235,38,1820,2,16,6.6,4,0,24296,5,2,7421,7421,75,652,7007,4254
0.5,1,2,76,3,116,86,28,5,314,2,3,0.8,6,0,3920,5,1,1375,1375,12,124,1164,688
1.25,1,2,177,1,338,231,72,16,801,1,6,1.8,4,0,10757,3,2,3263,3263,37,350,3633,1960
2,1,1,319,1,468,353,131,16,1375,3,10,5.2,5,0,18629,5,3,5444,5444,41,468,5888,2745
2,2,1,329,3,524,354,169,17,1287,2,10,4.3,5,1,17218,6,1,5604,5604,55,473,5588,3033
0.5,1,1,78,2,135,104,36,5,338,1,2,1.4,5,2,3788,3,2,1318,1318,12,125,1316,775
0.75,2,1,116,3,183,135,59,8,467,1,4,2,4,1,6985,5,1,1846,1846,17,200,1624,1087
2.5,2,1,358,3,699,487,147,28,1552,1,13,7.3,4,2,19170,6,1,7204,7204,74,710,7265,4104
0.75,2,1,118,1,206,146,47,10,495,1,3,1.9,5,1,5281,3,2,1808,1808,17,196,1515,1174
1.25,2,1,186,3,295,215,100,13,767,1,5,2.9,4,2,11860,6,1,2918,2918,35,288,3642,1735
1.75,1,2,257,1,474,349,122,20,1143,2,10,2.9,5,2,12335,3,1,4859,4859,43,404,5053,2703
1.5,2,2,234,1,393,316,85,14,923,1,6,2.5,6,2,11925,5,1,4173,4173,31,327,4005,2198
3,2,1,433,1,710,569,211,23,1824,1,15,4,6,2,29431,6,1,7332,7332,78,711,8270,4152
1,2,1,163,2,277,193,69,13,635,2,5,1.9,6,0,7586,3,3,2839,2839,30,265,2161,1603
1.25,2,1,178,3,310,255,85,17,818,3,7,3.1,6,1,10181,3,1,2930,2930,33,302,3557,1832
0.75,2,2,120,2,177,137,61,10,464,3,4,1.9,4,2,5336,4,2,2170,2170,15,187,1691,1045
2.5,1,2,361,1,587,494,163,24,1612,1,12,4.8,6,1,17567,6,3,6626,6626,68,647,5031,3494
3,1,2,421,1,740,621,173,35,2089,2,13,8.9,4,1,28164,3,1,7935,7935,67,838,8533,4379
1.25,2,2,198,3,329,241,73,10,752,2,6,3.7,4,1,9047,6,1,3495,3495,36,345,2953,1945
1,2,2,154,2,269,200,84,8,623,3,5,1.9,4,1,7426,3,1,2432,2432,28,272,2419,1566
0.5,1,2,75,2,134,104,31,7,306,2,2,0.9,6,2,4836,4,1,1366,1366,11,130,1347,761
1.75,1,2,272,2,438,374,144,12,1220,1,9,3.5,4,2,13912,6,3,4944,4944,48,460,3627,2589
0.5,2,1,72,2,126,107,31,5,340,1,2,0.9,5,0,3738,6,3,1281,1281,13,105,1043,718
1.75,2,2,271,1,463,372,141,22,1075,1,7,2.4,4,2,13909,4,2,4495,4495,42,463,4843,2643
1.5,1,2,231,3,406,279,105,14,1048,3,6,4.4,6,1,12113,5,1,4100,4100,43,408,4149,2368
2,1,2,280,3,516,351,152,26,1220,3,9,3.2,5,0,19302,4,3,5545,5545,47,484,5359,2947
0.5,1,1,72,1,130,101,38,5,339,2,2,0.7,6,1,4845,4,3,1334,1334,13,110,1080,736
1.25,1,1,198,1,290,255,94,16,842,2,7,3.8,5,2,12302,3,2,3429,3429,36,279,2760,1751
1.25,2,2,205,3,328,263,94,9,806,2,5,2.1,5,0,10783,4,2,3021,3021,27,354,3593,1885
0.5,1,1,72,3,130,98,34,5,320,2,2,1.5,4,0,3716,6,1,1225,1225,12,140,1219,761
0.75,1,1,109,3,186,135,59,5,471,3,3,2.2,5,2,5628,6,3,2157,2157,20,197,1689,1099
2.5,1,1,388,1,603,429,196,23,1526,2,11,6.4,4,1,24623,5,3,5812,5812,69,613,6916,3566
2,1,2,320,2,553,370,134,27,1297,2,11,2.9,4,0,19597,6,3,5445,5445,57,432,5950,3135
1.75,1,1,249,3,488,353,148,16,1165,2,8,3.5,5,0,14145,3,1,4295,4295,47,398,3670,2766
1.5,1,1,243,2,349,258,124,14,903,3,7,3.7,6,2,12850,3,2,4334,4334,33,376,3423,2063
2.5,2,2,387,2,668,513,161,19,1648,2,12,7.7,5,1,20374,3,3,5873,5873,69,586,5977,3880
1.75,1,1,247,2,483,316,139,13,1198,1,7,3.1,4,0,16952,5,3,4537,4537,42,375,3663,2694
0.5,2,1,77,2,118,87,39,4,330,3,3,1,4,1,4260,6,1,1403,1403,14,117,1426,704
2.5,1,2,375,3,585,533,146,29,1607,2,12,4.3,4,0,17834,5,1,7075,7075,58,720,5855,3487
2.5,1,2,376,3,641,465,190,29,1568,1,10,3.4,5,1,19048,5,3,7219,7219,72,710,5634,3740
0.5,1,2,71,3,131,104,42,4,325,3,2,0.7,6,1,4236,6,2,1318,1318,14,112,1269,745
0.5,2,2,82,3,137,91,34,6,345,3,3,1.5,6,0,3779,5,3,1431,1431,15,137,1419,811
1.75,1,1,246,1,422,322,133,17,1090,2,7,4.3,6,1,13075,3,2,4461,4461,48,481,5193,2512
3,2,2,433,1,738,578,185,29,2075,2,11,4.1,6,2,26025,6,3,7393,7393,83,776,8911,4281
0.75,2,2,112,1,179,128,43,10,455,1,4,1.1,6,2,6756,6,2,2148,2148,18,211,1876,1060
1.25,2,1,196,1,325,249,89,14,815,3,6,3.7,5,1,9294,6,2,3235,3235,28,274,2729,1867
2,1,1,312,3,497,368,170,24,1289,2,8,5.1,4,1,14412,4,1,5095,5095,49,436,5853,2863
1,2,2,161,1,255,197,62,9,639,1,5,1.4,4,2,7973,6,3,2839,2839,21,218,2448,1441
0.75,1,1,122,2,184,133,43,7,493,3,4,2,5,1,6325,4,3,2150,2150,16,192,2164,1081
1,1,2,154,3,236,206,62,7,619,3,5,1.5,6,2,8485,3,1,2568,2568,27,211,2957,1373
1.5,2,1,247,2,345,305,103,20,946,3,6,2.2,5,1,14721,4,1,3529,3529,45,389,4412,2055
1.25,2,1,186,3,334,238,104,9,795,1,6,3.6,5,1,10229,3,1,3597,3597,27,306,3524,1921
2.5,1,1,393,1,596,518,141,19,1567,3,11,6.6,6,0,23529,4,1,6825,6825,57,533,5539,3458
1.25,1,1,182,1,326,253,90,13,857,2,7,2.9,5,1,10695,5,1,3372,3372,28,327,3443,1899
0.75,1,2,121,1,207,134,56,6,457,2,3,2.1,6,2,7424,6,3,1864,1864,18,185,1924,1180
1.5,2,2,241,3,367,262,106,14,939,1,6,2.2,6,2,12116,3,1,3692,3692,30,358,4278,2087
1.25,1,2,193,1,344,260,84,12,803,3,5,2.4,4,1,10504,4,1,2951,2951,33,272,3162,1935
1.75,2,2,249,1,411,340,123,23,1069,2,9,2.7,6,1,17228,3,2,4160,4160,43,480,3709,2445
2,2,1,305,2,497,368,135,23,1218,1,10,4.3,5,0,15227,3,1,4771,4771,60,515,4067,2946
1,1,2,150,1,244,188,72,12,675,2,4,2.9,5,1,7460,6,1,2636,2636,22,236,2501,1418
0.75,1,1,112,1,174,154,52,8,519,1,3,1.4,5,0,6204,6,3,1921,1921,17,216,1521,1034
1,2,2,152,1,268,178,63,9,694,3,5,1.7,5,2,7273,3,1,2863,2863,22,244,2135,1521
1.25,2,1,198,1,298,234,89,10,820,1,5,2.7,5,0,9061,4,1,3372,3372,35,341,3114,1773
0.5,2,1,78,3,132,106,34,4,318,3,3,0.9,5,1,4785,3,3,1231,1231,11,144,1223,772
2,1,2,306,2,529,418,159,17,1382,3,11,4.7,4,2,15500,4,2,5331,5331,52,442,4496,3052
1.25,1,2,188,3,316,236,80,15,778,3,5,3.7,4,1,11628,5,2,3026,3026,32,360,3196,1872
0.5,2,2,81,3,139,92,32,6,321,3,2,1,5,0,4612,3,3,1216,1216,13,123,1421,787
0.75,2,1,109,3,195,157,47,10,470,3,3,2.1,5,2,6927,5,3,2146,2146,17,179,1650,1120
0.75,2,2,112,3,210,161,60,6,503,2,4,2.1,6,1,5770,4,2,2137,2137,17,174,1605,1198
1.5,1,2,242,1,370,313,84,12,1040,3,8,4.3,4,1,14367,3,3,3595,3595,33,317,3067,2148
1.75,2,1,255,2,467,333,115,23,1063,2,9,3,4,0,12431,4,1,4820,4820,35,385,4156,2624
3,1,1,493,1,817,593,188,24,2088,3,14,6.6,6,2,25866,5,3,7315,7315,74,759,7195,4679
1.5,1,2,232,2,418,305,102,15,956,2,7,3.4,4,0,14947,3,1,4202,4202,37,373,3477,2382
2.5,2,2,398,1,610,492,170,27,1520,1,12,4.2,5,1,22332,3,1,6518,6518,66,694,6620,3609
0.75,1,1,123,2,196,156,53,8,498,2,4,1.2,5,0,5361,4,3,1900,1900,18,216,1753,1144
1.25,1,1,191,1,331,256,100,9,843,3,6,3,6,0,10544,5,1,3066,3066,29,305,3042,1904
1.75,2,1,253,2,425,318,128,15,1051,2,9,4.1,5,1,12796,4,2,4104,4104,43,494,4342,2536
0.75,2,2,117,2,191,160,43,6,450,1,4,1.8,6,2,5492,4,3,1985,1985,19,202,1927,1126
1.75,1,2,258,1,425,327,124,23,1116,1,7,2.3,4,2,17258,5,2,4163,4163,46,459,4313,2475
1,2,2,158,3,240,191,61,10,683,3,4,2.4,6,1,8315,4,3,2614,2614,30,251,2465,1424
3,2,1,437,1,692,634,184,26,2075,1,13,7.5,6,1,29731,4,1,8559,8559,74,734,7907,4107
1.25,2,1,192,3,304,231,90,13,845,2,5,2.6,4,1,8927,6,2,3101,3101,37,310,3282,1788
3,2,2,469,1,728,626,201,39,1802,2,11,6.4,6,0,27159,5,1,7002,7002,62,718,6632,4183
2,2,1,309,1,546,399,147,14,1297,2,9,3.6,4,2,14677,4,1,5095,5095,43,505,4792,3090
2.5,2,1,376,3,631,427,206,31,1718,2,10,5.1,5,1,18615,5,1,7109,7109,57,668,7339,3652
1.25,1,1,206,1,330,225,78,12,812,3,6,2.4,6,1,11333,4,2,3005,3005,35,340,3368,1923
3,2,2,435,1,693,574,194,24,1926,3,13,8.7,6,2,26368,4,3,7490,7490,69,633,6483,4057
2.5,1,1,411,3,655,494,161,18,1683,3,11,5.3,4,2,19402,3,1,6235,6235,52,648,5217,3749
3,1,2,445,3,801,521,210,40,2060,3,14,5,5,2,29731,3,2,7163,7163,69,655,7945,4506
1.75,1,1,278,3,450,375,126,16,1149,1,9,4.6,5,0,16640,4,3,4376,4376,50,413,3640,2641
0.75,2,1,119,1,179,136,55,10,492,3,4,2.3,5,1,6070,5,3,1896,1896,18,212,2072,1082
3,1,2,462,3,698,522,231,34,2025,1,16,5.6,5,0,29673,5,1,7694,7694,87,658,6825,4133
3,1,1,487,3,742,589,207,34,2080,3,15,4,6,0,29974,5,1,7265,7265,79,869,8477,4386
2.5,2,1,388,3,676,489,175,30,1620,1,13,6.8,5,0,21880,5,1,6414,6414,57,720,7478,3949
1.5,1,1,244,3,369,267,87,13,1009,1,7,2.5,6,0,10515,5,2,3591,3591,44,376,4357,2164
0.75,2,1,112,1,182,155,60,6,466,2,4,2.3,5,2,6945,6,1,1861,1861,21,183,1752,1092
1.5,2,2,228,1,396,293,115,11,953,3,7,2.8,4,0,11442,3,2,4285,4285,31,418,4123,2279
1.25,2,1,198,2,290,217,86,16,855,1,6,1.8,5,2,9297,6,3,3443,3443,26,270,3066,1666
1.75,1,2,263,3,462,354,135,20,1107,3,7,4,6,2,12428,4,1,4737,4737,42,461,4732,2662
2.5,2,1,373,3,649,430,202,35,1590,2,13,4.8,6,0,24993,4,3,5959,5959,56,592,7136,3720
2,2,1,326,3,551,418,155,18,1301,3,11,4.4,6,2,15134,4,2,5468,5468,57,436,4151,3158
2,2,1,305,2,518,389,111,14,1266,2,11,3.1,5,0,18243,6,3,5393,5393,50,482,5757,2983
1.5,2,1,221,2,403,289,104,12,1045,1,6,4.5,5,2,12679,5,2,3485,3485,39,330,3227,2303
1,2,2,164,1,239,211,69,10,633,2,4,2.6,6,1,9005,3,2,2580,2580,27,216,2526,1397
0.75,2,2,108,3,205,133,52,10,455,3,4,1.4,5,1,6395,3,1,1859,1859,19,181,1776,1171
1,1,1,151,1,260,198,80,13,652,1,5,2.1,4,2,7545,6,2,2470,2470,26,280,2071,1527
1.25,1,1,199,3,302,218,90,15,755,2,6,2.3,5,0,9581,4,3,3408,3408,29,321,3103,1766
2.5,2,2,391,2,609,448,168,31,1621,3,11,6.3,5,1,18413,4,1,6355,6355,71,662,6375,3621
1.25,1,1,185,3,322,246,96,17,832,3,5,3.4,5,1,10913,3,2,3538,3538,28,304,3518,1854
1.5,2,1,213,3,413,274,93,19,943,1,8,3,6,0,13927,4,2,4124,4124,40,327,4153,2346
1.75,2,2,288,3,412,342,140,13,1174,3,9,5.1,5,0,13487,5,1,4810,4810,36,381,3977,2415
0.5,2,2,82,2,119,100,42,4,345,1,2,1.5,4,2,3512,5,3,1232,1232,11,111,1252,694
2.5,1,2,401,2,672,518,148,23,1688,1,13,6.1,6,0,18982,3,1,7085,7085,73,705,6295,3959
1.75,2,1,253,2,458,316,106,14,1088,1,8,2.8,4,2,15108,4,3,4646,4646,37,492,4531,2631
0.75,2,2,122,1,197,155,42,10,450,3,3,1.1,4,0,6226,4,3,1951,1951,20,179,1644,1121
1.75,2,1,287,3,475,318,125,17,1168,3,9,4.5,4,0,14469,6,2,4295,4295,43,504,3644,2774
2.5,1,1,369,3,610,474,164,22,1647,1,11,4.6,6,0,18022,6,3,6617,6617,69,635,6995,3579
1.25,2,2,183,1,334,248,69,12,758,1,6,2,4,0,12085,4,3,3579,3579,31,312,3477,1907
1.5,2,2,245,3,395,298,107,16,901,1,6,4.5,5,2,13883,3,1,3599,3599,31,415,3063,2289
2,1,2,317,3,504,381,116,15,1241,3,10,5.3,5,0,19794,5,1,4735,4735,55,432,4690,2934
1.5,2,2,219,2,370,271,89,20,934,1,6,3.3,6,1,14999,6,2,4289,4289,36,379,3571,2148
1,1,1,148,1,245,193,59,9,622,2,4,2.1,4,1,7117,3,1,2624,2624,28,249,2506,1434
1.5,1,1,219,1,357,257,87,12,919,1,8,2,5,1,11328,5,2,3764,3764,42,364,3683,2099
2,1,2,283,2,472,407,141,25,1393,1,8,3.5,6,1,16039,5,1,5053,5053,49,557,4804,2789
2.5,2,2,371,3,655,505,180,18,1655,3,12,4,5,0,23459,4,2,5925,5925,56,575,7230,3717
0.75,1,2,123,2,194,138,46,7,502,2,3,1,4,0,5446,6,1,1769,1769,15,191,2124,1095
0.5,1,2,81,3,120,85,30,4,308,2,2,0.9,6,1,4899,4,2,1276,1276,12,127,1160,698
1.25,1,2,178,1,303,256,73,11,844,1,6,3.7,6,1,11418,3,1,3577,3577,33,325,3077,1810
1,2,2,159,1,267,205,80,11,615,1,5,2.5,4,0,9169,6,3,2671,2671,23,269,2743,1550
0.75,1,1,119,2,178,139,46,6,470,3,4,2.2,6,0,6499,6,1,1921,1921,17,171,2120,1050
0.75,1,2,123,2,191,143,46,6,507,2,3,1.7,4,0,5461,3,2,2111,2111,19,195,2035,1108
0.75,2,1,111,2,205,134,52,8,465,1,4,1.3,6,0,5409,5,1,1954,1954,21,193,1878,1182
1.75,1,1,283,2,463,337,105,24,1122,3,9,5.2,5,0,15496,4,3,4142,4142,49,413,4377,2701
1.75,2,1,271,2,487,355,97,17,1105,3,8,5.1,6,0,15605,5,3,4351,4351,48,474,3895,2826
2,2,2,298,1,556,343,167,24,1374,1,10,5.3,6,1,18668,5,2,4903,4903,53,450,5152,3175
1.75,2,1,256,3,440,327,110,15,1144,3,8,5.2,6,0,14911,3,2,4947,4947,47,493,4761,2622
1.75,2,2,246,1,437,344,98,14,1155,3,8,2.3,6,1,13512,3,1,4292,4292,47,481,5006,2553
1.5,2,2,243,1,419,305,89,16,1002,3,8,3.6,4,0,14332,5,2,4101,4101,39,342,3965,2390
0.75,2,2,119,2,194,147,54,7,482,2,3,1.9,6,0,6187,4,2,2096,2096,21,215,2231,1144
0.75,2,1,110,3,207,141,53,6,454,3,4,1.2,5,2,6197,3,1,2016,2016,17,215,2198,1190
1,1,1,161,1,232,204,65,11,681,2,4,1.5,6,1,7292,4,2,2625,2625,23,283,2191,1369
1,1,1,141,2,240,185,76,12,606,1,5,1.4,4,1,8165,5,2,2418,2418,24,212,2889,1380
1,2,2,158,3,251,201,71,11,667,3,5,1.5,5,0,7262,4,1,2791,2791,23,212,2633,1429
3,1,2,420,1,759,608,169,35,1827,2,16,6.3,4,1,23915,5,3,6981,6981,86,822,7251,4504
0.5,2,1,74,1,128,103,34,4,337,2,3,0.8,5,2,3822,6,3,1260,1260,13,124,1100,747
3,1,1,487,2,744,540,192,38,1844,2,16,7.9,6,0,29936,5,3,8287,8287,74,695,7004,4356
3,1,1,424,1,799,603,222,24,1936,3,14,7.1,6,1,27109,4,2,7096,7096,80,769,6531,4635
1,2,2,147,1,267,182,73,11,698,3,5,2.3,6,2,8503,4,3,2514,2514,27,254,2605,1549
1.5,1,1,229,2,414,272,114,12,929,2,6,3.6,4,0,12488,6,1,4065,4065,31,359,3962,2328
2.5,1,2,393,3,596,520,144,33,1538,3,9,6.6,4,2,20499,6,2,6667,6667,51,655,5577,3482
3,1,2,429,1,715,549,172,41,2060,2,16,5.8,5,2,26486,5,2,7496,7496,61,827,7891,4219
2,1,1,328,3,510,369,143,23,1343,2,10,5.6,6,2,18477,3,3,5620,5620,57,574,4640,3051
1.75,1,1,280,1,442,368,126,16,1149,3,8,4.3,6,2,14145,6,2,4873,4873,45,448,5172,2590
2,2,1,289,2,558,413,145,23,1392,3,10,2.9,6,0,15734,5,1,5420,5420,42,526,5219,3154
2.5,2,2,409,3,625,523,165,26,1641,1,10,4.6,4,1,24131,3,3,5998,5998,72,555,6558,3606
3,1,1,490,1,729,638,220,25,2026,2,11,5.4,4,0,24263,6,1,7493,7493,81,730,8326,4239
3,2,2,471,3,692,538,211,27,1809,3,14,7,4,2,28995,6,2,8454,8454,68,692,8484,4064
3,1,2,485,1,711,587,214,23,1937,1,14,6,6,1,22633,5,2,8434,8434,62,731,6830,4139
2,2,1,284,2,467,405,154,16,1384,3,11,3,6,1,16791,5,2,4715,4715,58,571,5720,2830
