Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1.75,1,2,20,2,8,372,0.2,13,336,3,9,4.5,1,1,12735,5,3,22152,22152,119,9422,4284,5755
1.75,2,1,24,2,12,331,2.9,3,356,3,9,3.5,1,2,13399,7,5,22914,22914,136,8472,4581,5266
1.5,1,1,18,1,4,311,5.8,10,322,1,7,3.2,2,2,10771,5,4,17787,17787,87,8494,4738,5088
2,2,1,14,2,14,360,9.5,1,384,1,9,3.7,1,2,15432,5,5,26595,26595,125,9380,6053,5735
1.25,2,1,8,1,11,227,6,4,239,2,5,2.3,2,1,10589,6,5,16483,16483,62,5803,3334,3499
0.5,1,2,7,1,3,107,0.5,3,94,3,2,1.2,2,2,4197,6,3,6678,6678,31,2510,1438,1534
1,1,2,11,1,10,181,0.3,2,202,2,4,2.5,2,1,8328,9,6,13080,13080,59,4696,2673,2862
3,1,1,45,3,26,633,6,20,636,2,16,6.4,2,2,24874,6,5,39897,39897,193,15065,8992,9251
0.5,2,1,6,2,2,107,0,1,100,3,2,0.9,1,1,3712,9,5,5282,5282,38,2823,1401,1718
1.75,1,1,21,3,10,375,3.2,4,370,1,6,3.6,1,2,13598,8,6,21535,21535,116,8158,4777,5050
2,1,2,14,2,9,397,7.9,10,377,1,10,4.4,1,2,14335,9,6,26233,26233,107,10177,5693,6144
1.75,2,2,24,3,14,337,8.5,3,385,3,8,3.2,2,1,12424,9,6,23436,23436,98,8338,4536,5071
0.75,2,2,9,3,2,144,2.4,3,160,3,3,1.7,1,1,5805,6,3,7900,7900,56,3842,2157,2357
1.75,2,1,18,3,16,336,7.6,8,336,1,6,4.1,1,1,14195,9,6,21942,21942,114,10023,4028,5996
1.75,2,2,22,2,16,359,0.7,3,352,1,10,3.2,1,1,12690,5,3,19254,19254,112,8761,4300,5373
2.5,1,2,37,1,8,469,9.2,13,524,1,9,5,2,1,20179,7,4,32176,32176,136,12606,7622,7568
1,1,2,10,3,8,208,2.4,5,193,1,5,1.8,2,1,7906,6,4,11660,11660,58,5273,2548,3188
1.25,2,1,17,1,11,266,0.7,7,272,1,5,2.4,2,1,9009,5,4,15477,15477,69,6247,3377,3788
1.5,2,1,15,3,10,300,5.7,11,281,2,7,3.3,1,1,11689,6,3,18112,18112,73,7899,3752,4723
3,2,1,25,1,28,549,9.2,3,630,1,14,5.4,1,1,21053,5,5,34281,34281,179,16636,8175,9936
1,1,1,14,1,7,180,0.2,0,191,3,3,1.9,1,1,7953,6,6,10904,10904,78,5480,2612,3319
1,2,2,12,2,7,183,1,7,208,2,4,2.1,2,1,7251,7,6,11706,11706,65,4913,2715,2993
1.5,1,1,12,1,10,297,2.5,1,316,3,5,3.9,1,2,11289,7,5,18897,18897,73,8099,3800,4813
0.75,2,2,8,3,5,152,1.9,5,156,2,3,1.5,1,1,5492,8,5,8835,8835,54,4322,2028,2608
1.75,1,2,14,2,7,356,5.5,11,347,3,8,3.4,1,2,14016,9,6,20739,20739,139,8273,4445,5182
1.25,2,1,14,2,12,249,3.2,4,266,2,5,2.7,1,2,10678,5,5,16146,16146,84,6595,3708,4006
1,1,2,15,3,9,214,2.9,1,216,2,5,2.2,1,1,8159,5,4,11817,11817,48,5261,2701,3158
2,2,2,27,3,14,421,6.9,6,415,3,9,5.1,1,1,15411,6,6,21337,21337,125,10468,6376,6370
0.5,2,2,7,1,1,90,2.5,2,109,2,2,0.9,1,1,4191,9,3,6286,6286,26,2514,1494,1504
0.5,2,2,3,3,5,106,2.1,3,108,1,2,1.2,2,2,3965,6,5,6004,6004,30,2689,1330,1624
2,2,1,18,3,10,403,3.9,2,420,3,10,4.8,1,2,16757,7,6,24708,24708,124,10232,5989,6234
1.25,1,1,17,3,5,232,1.7,5,250,1,5,2.3,2,2,9894,8,6,15808,15808,98,6100,3695,3772
0.75,2,2,6,2,3,136,2.4,1,144,1,2,1.8,1,2,6419,7,4,8399,8399,53,4083,1950,2459
0.75,1,1,8,3,7,154,1.8,3,165,1,3,1.5,2,1,5488,7,5,8481,8481,47,3696,2076,2259
1.25,2,2,9,2,5,227,5.5,6,255,1,4,2.9,2,1,10740,7,5,13648,13648,94,6400,3899,3909
2,1,2,13,2,12,361,2.3,3,386,2,10,5.2,1,2,14490,8,4,23433,23433,143,10853,4748,6588
0.75,1,2,6,2,6,136,2.4,1,142,2,4,1.6,1,2,5577,5,6,9629,9629,52,3528,2198,2180
1.5,2,1,15,2,8,291,6.2,8,295,3,6,3.6,1,2,11639,9,5,19307,19307,106,6985,4382,4332
1,2,2,14,3,8,178,2.1,1,193,1,5,2,1,1,8406,9,3,10688,10688,65,5522,2905,3317
2,2,1,18,2,5,393,9.5,9,406,3,7,5.2,1,2,15939,5,6,24384,24384,126,11293,4740,6767
0.75,2,2,7,3,4,135,3.6,5,149,3,4,1.4,1,2,6306,7,6,9712,9712,49,3932,2011,2381
1.5,2,2,22,1,14,321,1.3,1,289,2,5,3,1,2,12295,8,6,17927,17927,85,7013,4029,4292
0.5,2,1,4,3,1,99,0.4,2,109,3,2,1,1,2,3626,6,4,5330,5330,29,2725,1324,1633
1,1,1,13,2,7,191,4.1,1,210,2,5,1.9,1,2,7690,6,5,11012,11012,73,5230,2957,3198
0.5,2,2,7,3,2,99,1.8,0,94,1,2,1.1,2,2,3780,5,5,6640,6640,33,2553,1322,1555
1,1,2,10,2,10,215,2.5,1,192,1,3,2,1,2,7714,8,5,12103,12103,65,5152,3147,3136
1.25,1,1,12,3,8,266,2.4,5,241,3,5,2.6,2,1,9986,7,4,14732,14732,78,6569,3858,3987
1,2,2,6,1,5,206,4.9,2,195,2,4,1.9,2,1,7640,6,3,10899,10899,75,4813,3044,2989
1,1,2,9,3,4,184,3.3,2,206,3,4,1.9,1,1,7030,7,5,10592,10592,76,5727,3137,3454
2,2,2,16,3,19,405,1.8,9,439,2,8,3.8,1,1,14793,9,3,25265,25265,147,10217,5320,6274
3,2,1,27,1,13,628,8,15,573,3,12,6.6,2,1,21471,9,5,38511,38511,218,14921,8353,9215
1.5,2,2,16,1,14,280,2.9,4,327,3,6,3.7,2,2,12289,8,6,18054,18054,77,7956,4072,4743
2.5,1,2,16,2,24,481,10.8,20,477,1,11,5.5,1,2,20533,5,4,26945,26945,198,12214,7786,7588
1,1,2,11,2,4,180,1,4,200,1,3,2.5,1,2,7894,5,6,11790,11790,55,5783,2420,3411
2,2,1,26,2,18,388,1.2,1,386,3,9,3.8,1,1,15525,6,6,22643,22643,151,10770,5161,6571
1.25,2,1,12,3,4,223,1.2,2,245,2,6,2.9,1,1,10740,9,4,15415,15415,65,6851,3865,4070
1.25,2,1,15,2,11,245,5.9,2,255,1,4,2.9,1,1,9603,7,4,16775,16775,77,6180,2984,3756
2.5,2,2,31,3,23,529,9.1,11,547,3,11,5.5,2,2,17933,7,6,29070,29070,147,13432,7903,8109
0.5,1,2,5,1,5,98,1.2,1,110,1,2,1.2,2,2,3800,6,5,5643,5643,36,2412,1152,1491
1.75,1,1,13,2,14,357,4.4,9,344,2,8,3.5,2,1,14969,5,3,21221,21221,95,9072,4218,5467
1,2,1,10,1,7,197,0,7,189,1,3,2,2,1,7303,5,6,10984,10984,65,5629,2997,3371
3,1,1,40,2,19,576,7.9,5,581,3,9,7.1,1,2,23005,9,4,35100,35100,224,14890,9431,9152
0.5,2,1,6,1,4,98,0.2,0,109,2,2,1.1,1,1,3542,6,4,6626,6626,29,2569,1543,1551
1.5,1,1,15,3,6,314,3.6,5,281,2,7,3,1,2,10996,8,5,16472,16472,93,7925,4558,4808
1.75,2,2,19,2,12,345,5.6,0,361,3,8,3.8,2,2,13136,7,6,21934,21934,131,9034,4707,5551
1.5,2,2,20,3,11,314,3.6,2,316,2,8,2.9,2,2,10537,6,5,16016,16016,75,7408,3451,4488
1.25,1,1,11,1,9,253,1.1,2,246,3,4,2.8,2,2,10574,6,6,16396,16396,89,6608,2897,4024
1.5,2,1,19,2,7,283,5.9,1,319,2,6,3.3,1,2,12752,9,6,18342,18342,77,7725,4446,4621
1.75,1,1,21,2,4,363,6.5,4,358,3,9,3.6,2,1,13978,7,4,21029,21029,101,8915,5231,5417
0.5,1,1,6,3,5,102,0.2,1,102,2,2,1.3,2,2,3829,9,4,6597,6597,39,2362,1292,1478
0.75,1,2,8,3,4,157,1.8,1,146,3,4,1.4,2,1,5406,5,3,7994,7994,37,4267,2290,2538
1.5,1,2,18,2,14,284,2.5,12,293,2,7,3.2,1,2,12488,6,4,17158,17158,86,6903,4441,4225
1,1,2,7,3,10,210,4.3,1,209,1,5,2,1,1,8571,9,4,12401,12401,57,5647,2996,3384
1,2,2,8,1,6,188,1.1,7,218,3,4,2,1,2,7829,5,4,12923,12923,60,5647,2428,3366
3,2,1,38,3,26,622,11,5,586,2,9,6.2,1,2,24204,6,6,37690,37690,159,13985,7492,8504
0.5,2,1,3,3,3,98,1.6,2,95,2,3,1,1,1,3641,9,5,5385,5385,38,2689,1197,1650
2.5,1,2,18,3,16,472,7,3,494,1,10,5.1,1,2,18728,7,3,30530,30530,150,13364,7760,8023
1.25,1,1,15,3,9,257,0.6,1,263,1,6,2.9,1,2,8837,8,6,15884,15884,80,7027,3199,4238
1,2,2,7,3,6,193,4.9,5,191,3,3,2.2,2,1,8021,5,3,13119,13119,57,5535,2557,3295
0.5,1,1,6,2,4,97,0.3,3,109,2,2,1.1,2,2,3830,8,3,6669,6669,40,2883,1552,1749
2.5,2,2,24,1,10,457,7.6,12,475,3,14,4.8,2,1,19116,9,3,30014,30014,178,12258,7037,7549
1.75,1,2,13,3,14,377,3.2,13,348,3,6,4,2,1,13934,8,4,21274,21274,87,8246,4333,5011
3,1,1,39,3,16,551,10.9,13,586,2,10,6.5,1,2,22719,7,3,31860,31860,215,17093,8095,10264
2.5,1,1,24,3,19,479,7.5,3,547,1,13,5.5,1,2,19913,7,5,30352,30352,143,13519,7136,8118
1.25,2,1,9,2,10,246,2.7,1,263,2,4,3.2,1,1,10623,9,3,13264,13264,75,6510,3600,3926
0.75,1,1,7,2,4,137,1.1,3,147,2,3,1.4,1,1,5931,8,6,9601,9601,43,3863,2227,2319
0.5,1,2,7,2,2,93,2.4,1,97,3,2,1.2,2,1,3843,5,5,6650,6650,26,2528,1518,1516
1,1,1,8,2,2,216,0.4,5,197,2,5,2.5,2,2,7902,6,3,12394,12394,50,5452,2793,3269
0.75,1,2,9,1,6,157,2.2,0,141,2,3,1.4,2,2,6209,7,4,9651,9651,36,3768,2088,2264
2,2,1,30,3,19,384,0.9,1,439,1,11,3.9,2,2,15354,6,3,24161,24161,102,11553,5194,6845
0.75,1,1,5,2,6,150,1.7,1,149,3,3,1.8,2,1,5878,8,3,8516,8516,37,3694,2363,2225
2.5,1,2,15,3,13,521,5.2,19,516,3,9,5.5,1,1,18972,9,6,28108,28108,159,14495,6286,8681
1,2,2,9,3,8,206,3,3,194,1,3,1.9,1,1,8450,8,3,11111,11111,69,5517,2887,3332
0.75,1,2,5,2,7,151,2.7,2,160,3,3,1.5,2,1,5586,7,6,9615,9615,41,4270,1937,2539
0.75,2,1,10,2,5,143,2.9,2,164,1,4,1.5,2,1,6005,7,6,9960,9960,57,3904,1950,2399
2.5,2,2,25,3,20,486,4.8,12,516,3,8,5,1,1,19401,6,4,29778,29778,144,12614,6479,7603
3,1,1,23,1,10,620,10.5,20,617,2,12,7.7,1,1,25063,7,4,36717,36717,193,16869,8086,10164
1.5,1,2,19,1,7,296,5.3,1,302,1,5,3.7,2,1,11997,6,4,19233,19233,85,7508,3587,4537
0.5,2,2,4,2,5,92,2.4,1,103,1,2,1,1,1,3714,8,6,5706,5706,39,2411,1524,1493
2,1,2,23,2,9,388,8.6,3,426,2,7,4,2,1,15539,7,5,21369,21369,103,10547,4853,6288
2.5,1,1,21,2,18,497,6.8,16,518,3,8,6.5,1,2,21196,7,5,27634,27634,135,11812,7689,7175
0.75,2,1,5,3,3,152,2.4,6,153,1,3,1.7,1,2,6348,9,6,9739,9739,41,3849,2286,2320
3,2,1,33,3,28,606,9.9,18,655,2,13,6.2,2,1,25467,5,6,34398,34398,213,16643,8668,10092
1.25,1,1,16,3,5,257,0.9,6,240,3,5,2.8,1,2,8765,9,6,14228,14228,77,5924,2970,3639
1,2,1,13,1,10,205,1,6,188,1,4,2.5,2,2,8372,9,6,12348,12348,74,5609,2973,3409
1.5,2,1,9,1,14,278,0.3,2,317,1,7,2.9,2,2,11134,9,4,16369,16369,109,7296,3998,4496
1,1,2,15,2,7,196,3,1,206,2,4,2.2,1,2,7951,7,3,11025,11025,73,4784,2414,2962
3,1,2,28,2,25,566,4,7,573,2,10,6,2,2,25230,7,3,37895,37895,212,16442,8142,9921
3,1,1,38,1,21,601,14.4,15,625,3,13,7.5,1,1,22007,9,6,39304,39304,201,15143,8725,9273
0.5,1,2,5,2,3,102,2.3,0,102,1,2,1,1,2,3678,9,4,6299,6299,26,2453,1529,1483
3,1,1,28,1,9,551,9.4,1,606,2,13,7.4,1,2,23557,8,3,37178,37178,234,17061,7138,10341
0.75,2,1,10,3,7,134,2.3,5,155,1,3,1.8,1,1,5623,5,6,9878,9878,42,3990,2321,2383
1.75,2,1,17,2,6,326,1.4,4,336,3,8,3.9,2,1,14148,8,5,20489,20489,93,8800,4443,5295
2.5,2,2,36,2,7,447,3.1,8,496,2,11,6.3,2,1,20780,7,4,31445,31445,187,13359,7355,8133
1.25,2,2,18,3,10,247,1.1,0,271,2,6,2.7,1,1,9070,8,4,13983,13983,64,5875,3984,3572
3,1,1,34,2,24,547,5.3,1,634,2,13,7.1,1,1,24665,9,6,32347,32347,219,14084,8277,8723
3,2,2,33,2,21,626,3.6,9,586,3,10,7.7,1,1,24891,8,3,39212,39212,224,15315,8792,9431
2.5,1,2,27,3,24,499,5.4,10,547,2,8,6.2,1,1,21366,8,6,26510,26510,122,13767,5921,8162
3,2,2,34,3,14,551,12.2,14,655,3,12,7.4,2,2,23978,9,6,39539,39539,146,15277,7641,9119
0.5,1,1,5,1,5,94,0.1,3,108,3,2,1.1,2,2,3606,7,5,5785,5785,34,2464,1165,1508
2,1,2,18,2,11,364,9.7,15,390,1,7,4.3,1,1,14687,5,3,21897,21897,113,9741,5998,5878
0.75,2,1,11,2,3,151,2.5,3,151,1,4,1.9,2,1,5873,7,4,8108,8108,53,4098,2349,2498
2,2,2,19,2,19,372,3.8,16,385,1,9,3.8,2,2,15893,8,6,26858,26858,122,10117,5134,6124
1,1,2,12,3,10,207,0.6,5,198,3,5,2.3,1,1,8093,7,6,10643,10643,56,5762,2604,3442
2.5,1,1,20,3,11,463,2.8,17,524,2,8,5.8,1,1,18194,5,3,30283,30283,185,13693,7343,8286
1.5,1,2,17,3,5,302,3.1,1,327,3,5,3.7,2,1,11674,5,6,16543,16543,87,8019,3679,4817
3,1,1,41,2,25,618,1.4,8,632,3,16,7.4,2,2,21585,6,6,39361,39361,146,15382,8310,9266
2.5,2,2,23,1,12,479,5.8,1,527,1,8,4.8,2,2,17595,7,6,32760,32760,172,11503,7035,7099
0.75,1,2,7,3,2,156,1.7,3,154,1,3,1.4,2,2,6373,5,4,8743,8743,40,3879,2389,2334
0.5,1,2,4,3,3,92,1,1,107,3,2,1.3,1,2,3546,6,3,5970,5970,31,2346,1392,1436
1,2,1,12,2,10,215,2.9,6,191,1,4,2.5,1,1,7611,9,6,12093,12093,79,4893,2760,3057
1.75,2,1,23,3,4,369,0.8,14,378,2,7,4.4,1,1,12584,8,6,18533,18533,129,9407,4072,5758
1.75,1,2,23,3,11,344,7,14,373,1,9,4.1,1,2,14190,9,6,18888,18888,135,8191,4309,5131
2,2,2,23,1,11,358,0.5,1,407,1,8,3.9,1,1,17055,6,6,25084,25084,110,9687,6392,5841
3,1,1,25,2,17,607,11,19,642,1,10,6.4,2,1,24122,9,5,33906,33906,225,13867,8904,8646
2.5,2,2,29,2,8,512,4.2,5,469,1,10,5.8,1,2,19074,6,4,28566,28566,192,13135,7392,8073
0.75,1,2,11,2,4,157,1.2,0,143,2,3,1.7,1,2,5829,9,6,10021,10021,55,3997,1849,2446
2.5,1,1,36,2,13,491,2.7,5,493,3,13,5.9,2,2,18726,9,5,30981,30981,131,13662,7315,8169
1.75,2,1,15,3,16,350,6.9,8,357,1,9,4.5,2,2,12818,7,6,18532,18532,102,8081,5226,4979
0.5,1,1,6,1,3,107,1.6,0,102,1,3,1,2,1,4219,5,4,6490,6490,30,2365,1257,1462
2,2,2,28,3,13,399,4.3,4,389,3,9,4,2,1,14851,8,3,23563,23563,155,10774,5315,6597
1.75,2,2,21,3,7,330,2.8,13,365,3,7,4,1,1,13366,7,4,22684,22684,118,9920,5307,5957
3,1,2,42,3,28,561,13.1,15,618,2,10,6.7,1,1,23536,6,6,38707,38707,177,14197,7509,8634
1.25,1,2,15,3,7,233,3.4,1,258,3,5,2.3,2,2,9390,9,3,15578,15578,73,6380,3647,3842
2,1,2,25,1,7,413,8.2,14,429,3,9,5.1,2,1,14796,5,3,21693,21693,132,11566,5085,6963
0.5,2,1,7,3,5,96,1,4,106,3,2,1.2,1,1,4060,8,6,5614,5614,35,2634,1192,1603
2.5,1,2,17,3,18,502,5.6,5,534,2,13,6,2,1,20123,9,4,26558,26558,166,12570,7621,7714
2.5,2,1,32,1,19,486,5.4,7,532,3,11,6.2,2,1,19775,9,5,31184,31184,163,12465,6156,7621
1.75,1,1,22,2,4,376,5.9,5,344,3,7,4.2,1,2,13832,5,3,22339,22339,99,9076,4674,5494
3,1,1,35,2,16,602,3.6,21,604,2,15,7.4,1,1,22246,7,4,34562,34562,227,16062,7645,9854
0.75,1,2,10,3,4,149,1.7,0,143,2,3,1.8,1,2,6368,8,6,9245,9245,47,3684,2301,2251
1,2,1,6,3,7,183,2.2,5,211,3,5,2.1,2,1,7204,7,4,13101,13101,65,4815,2582,2950
2.5,2,2,29,2,8,504,6.5,5,507,1,8,5.2,1,2,21173,9,5,33667,33667,175,14423,6240,8668
0.5,2,1,6,2,5,94,1.5,0,94,3,2,1,2,1,3889,8,4,6113,6113,35,2883,1418,1730
3,2,2,41,1,25,602,10.4,9,630,3,16,7.3,2,1,22025,8,4,31550,31550,209,16935,9445,10265
0.5,1,1,5,1,2,94,1.9,2,107,2,2,1.1,1,2,3745,6,3,5678,5678,35,2492,1566,1525
1.25,1,1,14,3,7,240,1.6,2,252,1,5,2.5,1,2,9740,6,3,13501,13501,72,6724,3013,4027
1.25,1,2,17,1,12,233,0.1,6,250,1,6,2.7,2,2,9275,8,4,13153,13153,66,7077,2974,4198
1.5,2,1,11,1,9,273,5.2,10,309,1,8,3.7,1,1,11237,9,3,18330,18330,99,8688,4036,5208
1.75,2,1,21,2,17,369,4.7,12,381,2,9,3.9,1,2,13931,5,4,23567,23567,123,8418,4916,5233
3,1,2,19,1,7,561,1.5,18,590,1,15,7.1,2,1,23872,6,4,38440,38440,193,15342,8830,9333
1.25,1,2,17,1,7,227,5.7,4,270,1,5,2.4,2,2,10443,8,5,13195,13195,80,6266,3241,3799
2,2,2,24,1,10,390,9.1,0,431,1,7,3.8,2,1,14009,9,4,25455,25455,100,10337,6302,6169
1,2,2,10,3,2,207,1.4,7,195,3,5,2,1,1,7424,8,6,10741,10741,49,5198,2436,3121
1.75,1,1,12,2,15,317,8.3,5,341,1,9,3.8,2,2,12689,9,6,22656,22656,104,8294,4590,5063
