Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
2,2,1,653,1,555,427,171,9,1730,3,1.3,6.5,4,1,12924,10,2,9856,9856,115,3600,8416,5181.5878
2,1,1,694,1,677,367,177,15,1743,1,1.1,5.4,3,2,12932,8,4,9554,9554,129,3558,9932,5736.8274
1.25,1,1,370,3,428,267,96,5,1022,2,0.9,3.1,3,3,8641,10,3,5841,5841,82,2292,6233,3641.5362
3,2,1,802,1,923,652,272,19,2614,2,1.2,6.8,2,3,19616,11,4,12782,12782,170,5049,13039,7937.6792
0.5,2,2,171,1,153,105,43,3,446,1,0.2,1.5,2,1,3226,11,2,2023,2023,34,875,2157,1369.0042
2,2,1,554,2,615,383,152,18,1646,3,1.4,4.7,2,3,13430,8,1,8553,8553,120,3558,9293,5384.762
2.5,1,1,715,3,722,501,179,20,2034,3,0.5,7.1,3,3,17210,8,4,10038,10038,185,4353,11414,6567.789
2.5,1,1,660,2,729,495,189,20,2121,1,1,6.7,3,3,16154,7,3,11693,11693,179,4461,12621,6653.0678
2.5,1,2,873,1,729,439,181,11,2141,2,0.7,6,2,1,16450,7,3,10572,10572,166,4532,12010,6617.963
1.25,2,1,403,1,359,219,115,7,1087,1,0.5,3.2,3,1,7666,11,2,5239,5239,77,2359,6221,3368.4282
1.25,1,1,424,3,416,264,97,6,1030,2,0.3,4.2,2,2,8070,8,2,5110,5110,81,2080,6032,3466.075
1,1,1,331,2,282,226,79,7,866,1,0.5,2.8,2,2,6788,10,1,4631,4631,70,1735,4931,2601.8846
2,2,1,672,3,589,444,158,10,1819,2,0.7,6.4,2,1,13254,7,4,9134,9134,128,3746,9712,5414.8648
0.5,2,2,134,3,135,87,36,4,418,2,0.1,1.1,2,3,3204,8,2,2060,2060,29,943,2369,1293.3888
2.5,1,2,824,3,742,593,226,18,2203,1,1.4,7.2,3,2,17079,7,2,11121,11121,170,4661,11957,6857.5938
0.75,2,1,219,1,251,141,56,6,612,3,0.3,1.8,2,1,5104,10,3,3425,3425,49,1355,3749,2142.2488
1.5,2,1,515,3,489,269,125,7,1218,1,0.4,4.7,4,1,9351,11,3,7407,7407,106,2801,7507,4323.8552
2.5,1,1,804,2,808,513,233,18,2099,2,1.9,6.5,2,3,17671,7,3,11223,11223,167,4662,10908,7140.3432
0.5,2,1,148,1,168,110,33,3,421,3,0.1,1.4,3,3,3344,8,2,2403,2403,36,932,2167,1467.5178
1,2,1,315,3,342,184,75,6,904,3,0.4,3,3,3,6156,7,1,4919,4919,67,1880,5045,2942.5062
0.75,1,1,242,3,216,135,68,3,666,2,0.3,2.2,2,3,5241,7,3,3572,3572,50,1358,3711,2007.9322
2,2,1,654,3,596,392,138,13,1637,3,1.2,4.8,3,1,13418,10,2,9611,9611,146,3605,9597,5394.8376
2,1,1,621,2,652,350,185,11,1675,2,1.4,5,3,3,13483,11,2,8299,8299,120,3773,9243,5720.6616
3,2,2,804,2,1046,625,285,26,2665,2,0.8,8.3,4,1,20930,10,3,13876,13876,204,5549,14934,8911.651
0.5,2,2,145,3,135,104,46,3,419,3,0.2,1.4,3,1,3196,8,2,2052,2052,31,875,2193,1289.7972
2.5,1,2,775,2,691,445,181,12,2108,3,0.5,7.6,3,1,15608,8,4,10980,10980,142,4251,12403,6240.7946
3,2,2,945,1,989,683,271,23,2537,1,1,7.8,4,3,21083,8,1,14706,14706,171,5086,12958,8284.5396
1,2,2,342,2,336,195,87,7,899,2,0.3,2.6,4,1,6357,8,2,4741,4741,61,1846,4741,2899.1224
1,1,2,282,2,279,239,85,7,854,3,0.3,3.2,2,2,6348,7,1,4804,4804,57,1828,4685,2608.5346
1,1,2,340,2,343,207,86,5,890,3,0.7,2.2,4,2,6711,7,1,4708,4708,72,1801,4971,2940.8802
1.5,1,1,467,2,467,277,98,7,1225,2,0.7,4.5,3,3,9257,11,1,7165,7165,91,2788,7404,4127.9254
3,2,1,849,1,835,526,254,19,2539,1,1.3,6.8,2,3,20564,7,3,12870,12870,200,5593,14882,7894.3948
1.75,1,2,610,3,479,321,117,14,1474,3,1.2,4.9,4,3,11406,7,3,7975,7975,110,3146,8559,4481.1422
0.5,1,1,136,1,161,111,38,3,441,3,0.1,1.6,2,2,3107,7,2,2005,2005,31,940,2543,1424.5954
1.75,1,2,602,3,605,366,131,12,1530,3,0.8,4.4,2,2,11117,10,4,7652,7652,114,3186,8483,5081.4464
0.5,1,1,155,1,166,107,33,3,443,1,0.1,1.3,2,1,3379,7,3,2180,2180,34,941,2147,1447.4648
0.5,2,1,132,2,159,96,38,3,418,3,0.4,1.7,2,3,3447,10,2,2394,2394,35,903,2281,1410.8234
1.75,1,2,505,3,478,350,155,11,1556,2,1,3.8,3,3,11361,11,4,7888,7888,113,2895,8086,4383.0072
1.75,2,2,516,1,531,341,132,10,1439,1,0.4,5.7,4,3,11544,8,2,8227,8227,118,3301,8630,4845.6648
1.75,1,1,537,2,604,318,148,12,1467,2,0.9,4.3,4,1,11233,7,2,7171,7171,120,3083,8389,5075.9706
1.75,1,1,497,3,572,351,138,16,1455,2,1.4,3.8,3,3,10850,8,3,7380,7380,102,3182,8910,4909.864
2.5,2,2,798,1,813,444,230,13,2094,1,1.9,8.2,4,2,15342,7,2,10557,10557,150,4377,10781,6978.3184
1.25,1,2,365,2,414,213,94,8,1065,1,0.9,3.4,4,3,8453,8,3,5276,5276,84,2295,5703,3590.2926
3,2,2,786,2,946,554,244,20,2575,1,1.1,9.5,4,3,19910,7,2,13456,13456,199,5465,14071,8351.954
1.75,1,1,495,1,591,369,166,13,1428,2,0.5,5.1,2,2,11363,11,1,8314,8314,103,3149,7764,5014.1106
3,1,2,854,1,911,542,197,14,2640,1,1.5,9.5,2,3,20733,7,2,14684,14684,182,5607,14112,8140.9476
1.5,1,2,426,3,507,354,117,13,1216,1,0.8,3.6,4,1,9311,8,4,6972,6972,105,2699,6830,4337.2432
1.25,2,1,385,3,400,292,108,8,1056,3,0.5,3.7,4,1,7717,10,2,6167,6167,75,2238,5932,3491.6874
1.25,1,2,334,3,421,254,104,10,1115,1,0.4,2.7,4,2,8441,7,2,5860,5860,83,2360,5191,3659.2202
3,2,1,1040,1,850,537,237,25,2702,3,0.9,9.7,4,3,20217,10,4,12258,12258,174,5090,13792,7626.7044
1.25,1,2,342,3,375,264,84,8,1105,3,0.4,3.6,4,3,7884,10,3,5068,5068,75,2236,5318,3341.5088
1.5,2,1,395,2,408,308,100,13,1290,2,0.6,5,4,3,9508,11,4,6919,6919,92,2746,7057,3858.8816
1.25,2,2,429,2,342,296,104,7,1041,2,0.8,2.7,4,2,8142,11,1,6114,6114,86,2074,6062,3164.3604
0.75,1,1,213,2,258,172,55,6,638,1,0.3,2.3,3,1,5169,8,2,3491,3491,53,1417,3780,2234.0088
1,1,1,295,1,272,207,92,7,826,2,0.7,2.2,4,3,6379,7,3,4057,4057,67,1820,4829,2622.5518
0.5,2,1,133,3,145,90,41,4,439,1,0.3,1.6,3,3,3180,11,3,2052,2052,31,832,2168,1306.789
2,1,1,632,3,587,476,156,16,1699,1,0.5,5.7,2,1,14137,7,3,8249,8249,143,3779,9541,5462.2154
3,1,2,906,1,930,549,209,26,2532,3,1.4,7.4,3,3,20471,10,3,14818,14818,200,5197,14270,8066.6912
1.5,1,2,494,3,439,358,117,8,1319,1,0.5,4.2,3,3,9458,10,1,7345,7345,104,2694,6932,4018.3126
1,2,1,327,1,330,171,94,5,833,1,0.4,2.3,2,2,6704,11,2,4581,4581,70,1651,4158,2783.5628
1.75,1,2,524,1,609,398,117,9,1513,3,0.9,3.9,2,1,12041,8,2,7629,7629,127,2905,7523,4968.9292
1.25,2,1,423,3,429,284,112,9,1099,2,0.6,2.9,3,1,7823,10,1,5028,5028,82,2204,5349,3616.2606
3,1,2,823,2,954,544,237,21,2605,3,1.6,7,3,2,19967,8,4,14257,14257,180,5250,14565,8176.6144
1.75,1,1,535,1,527,361,161,9,1544,2,0.7,5.6,4,3,11472,7,1,7103,7103,121,3090,8879,4765.3474
3,1,1,940,2,988,581,209,27,2730,3,2.3,9,2,2,20334,11,1,12096,12096,177,5434,13674,8402.5038
1.25,2,1,390,1,436,239,118,9,1081,3,0.7,3,2,2,8057,7,2,5939,5939,77,2187,6326,3620.9654
2,1,2,538,2,644,362,148,10,1633,2,1.5,4.4,3,2,13609,10,3,8745,8745,133,3733,9871,5650.7258
0.75,1,1,231,3,255,152,53,6,617,3,0.5,1.6,4,1,4814,8,3,3025,3025,49,1406,3557,2201.8918
1.5,2,2,404,3,519,288,128,8,1321,3,0.8,4.3,4,3,9940,7,4,6173,6173,90,2787,7387,4408.012
1.25,2,2,385,2,357,250,102,6,1093,1,0.6,3.4,3,3,8251,7,3,6087,6087,79,2313,5914,3328.8562
0.5,1,2,166,3,172,90,35,4,448,2,0.2,1.6,4,1,3378,11,4,2321,2321,35,871,2236,1461.9106
0.5,1,2,156,3,136,101,37,4,453,1,0.3,1.1,2,3,3064,8,2,2036,2036,29,846,2105,1249.9538
1,2,2,273,2,346,220,82,6,827,2,0.4,2.2,4,3,6545,10,1,4694,4694,58,1857,4233,2933.675
0.75,2,1,198,3,206,177,62,5,625,1,0.5,1.7,4,2,5160,10,2,3196,3196,42,1357,3714,1947.078
1,1,1,271,2,290,239,74,6,833,1,0.5,2.7,3,3,6846,7,1,4349,4349,73,1675,4645,2616.9912
1.25,2,2,339,3,431,277,88,7,1022,1,0.3,3.8,4,2,8447,10,2,5702,5702,79,2357,5397,3679.7334
1.25,2,1,357,2,383,250,90,6,1055,1,0.8,3.2,4,1,8817,10,4,6116,6116,82,2125,5231,3347.0334
1.75,2,2,604,1,541,364,145,13,1585,2,1,3.7,4,3,11694,11,2,8566,8566,119,3279,8571,4889.3038
3,1,1,950,3,983,698,256,22,2473,3,1.1,8,2,2,21179,11,1,12318,12318,169,4961,14000,8150.7038
1,1,1,350,1,274,221,71,6,904,3,0.3,2.4,4,2,6123,10,1,4543,4543,57,1794,4909,2557.2276
1,1,1,327,3,293,207,85,4,811,2,0.6,2.9,2,3,6819,8,3,4787,4787,69,1797,4970,2690.3488
2,1,2,569,2,582,385,175,9,1813,3,1.2,6.5,2,3,12319,8,4,8778,8778,134,3775,10034,5441.2588
2.5,1,2,804,3,781,470,228,14,2026,2,1.6,6.1,4,1,15517,8,2,10070,10070,155,4637,11363,6967.2274
1,1,1,331,2,318,187,72,6,842,3,0.3,2.3,3,3,6467,8,2,4347,4347,72,1790,5043,2790.0294
0.5,2,1,132,1,138,119,41,3,444,3,0.4,1.2,4,3,3247,7,1,2451,2451,30,867,2269,1299.1624
1.75,1,1,556,2,593,393,142,8,1581,3,0.5,5.7,3,1,11829,10,1,7839,7839,121,3157,8914,5067.5518
0.75,2,2,242,1,222,143,58,6,636,3,0.2,1.8,2,2,4815,8,2,3554,3554,46,1403,3513,2029.497
3,2,1,1045,2,928,615,212,25,2558,3,1.4,7.8,4,1,19982,11,3,13858,13858,213,5097,14657,8065.4924
1,2,1,292,1,321,194,70,6,830,3,0.3,2.4,2,1,6524,7,1,4830,4830,68,1698,4222,2731.7348
0.5,2,1,160,2,169,100,46,3,445,3,0.3,1.3,3,1,3157,10,3,2490,2490,28,891,2156,1442.5294
0.5,1,2,136,1,172,94,40,3,442,3,0.2,1.2,2,2,3415,10,1,2445,2445,35,935,2227,1482.863
1.25,1,1,326,3,392,220,101,6,1109,1,0.6,3.6,2,2,7818,10,3,5703,5703,73,2081,5261,3332.5366
1.25,2,1,419,2,369,289,87,5,1133,2,0.9,3.2,3,1,8408,10,1,5323,5323,72,2204,5927,3286.7526
0.5,1,2,169,2,169,107,47,3,429,2,0.3,1.1,2,1,3456,7,3,2031,2031,33,834,2471,1419.0022
0.75,2,1,218,1,259,159,55,5,608,2,0.3,2.2,3,1,4847,8,2,3566,3566,50,1377,3289,2205.5644
2.5,1,2,828,1,849,462,215,15,2043,2,1.1,5.3,2,2,16819,10,1,10424,10424,177,4382,10897,7158.6188
0.5,2,2,170,3,168,117,46,3,426,1,0.3,1.1,2,2,3503,11,1,2254,2254,30,942,2182,1462.9186
2,2,2,655,1,648,440,152,15,1653,3,0.8,6.3,3,2,13472,10,4,9383,9383,127,3308,9626,5442.2304
1.5,1,2,484,1,458,353,104,9,1251,1,0.7,4.2,3,2,9416,8,4,6604,6604,108,2691,7499,4099.3152
1.5,1,2,508,3,471,263,110,11,1235,2,0.7,4.9,4,3,9160,11,1,6391,6391,94,2761,7144,4167.742
1.5,2,1,423,3,440,312,140,8,1282,1,1.1,3.2,4,1,10143,10,2,6341,6341,110,2593,6902,4019.6286
1.5,2,2,494,3,498,258,133,12,1359,3,1,3.6,4,1,10413,11,2,6586,6586,85,2619,6472,4206.8316
0.75,1,2,200,3,239,139,56,4,647,2,0.3,1.9,2,2,4623,8,2,3359,3359,43,1305,3204,2042.9326
3,1,1,1004,1,833,615,272,14,2726,2,1.7,9.5,3,2,19705,8,4,12421,12421,170,5430,14734,7771.477
1,2,2,348,2,276,185,87,8,898,3,0.7,2.5,4,3,6295,10,4,4416,4416,57,1865,4986,2627.99
1.75,2,2,541,1,557,310,163,11,1440,2,0.9,5,4,3,10991,10,3,8140,8140,118,2912,8470,4790.5572
0.5,2,1,134,1,145,116,35,4,421,2,0.2,1.3,4,1,3380,8,4,2111,2111,32,851,2402,1319.091
1.5,1,2,399,3,455,297,140,9,1240,2,0.7,4.9,2,2,10601,10,3,6976,6976,97,2691,6339,4092.9802
0.75,1,2,251,2,213,154,60,4,621,2,0.2,2,4,2,5204,8,2,3276,3276,55,1364,3396,2018.2608
3,2,2,787,1,928,661,262,22,2672,1,1.5,6.6,4,3,20302,7,4,13516,13516,203,5152,14644,8124.5864
2.5,2,1,788,2,862,434,209,16,2096,1,0.8,5.5,4,1,15454,8,3,11962,11962,168,4673,10771,7351.7278
1,1,2,295,3,342,178,68,8,904,2,0.2,2.7,2,1,6229,11,2,4351,4351,58,1767,4473,2830.4098
2.5,2,2,744,1,786,527,230,22,2147,3,1.8,7.4,4,2,17160,11,1,11473,11473,146,4710,11104,7022.422
1.25,1,2,329,2,407,252,117,11,1061,2,0.7,2.8,4,2,8184,10,4,5054,5054,82,2130,5477,3489.6378
1.25,1,1,396,3,415,298,90,7,1096,3,1,4.2,4,2,8681,10,4,5999,5999,77,2280,5991,3574.5862
0.5,1,1,147,2,135,94,37,4,434,3,0.3,1.1,3,2,3100,8,3,2009,2009,33,849,2189,1267.481
1.25,1,1,376,1,397,270,105,8,1074,1,0.4,2.9,2,1,8395,7,3,5399,5399,84,2351,6133,3536.404
0.5,1,1,170,1,148,103,39,4,413,1,0.2,1.1,3,2,3225,7,4,2258,2258,37,917,2515,1377.852
1,1,1,284,3,287,227,77,6,886,3,0.5,2.6,4,1,6773,10,4,4242,4242,74,1675,4177,2617.1756
1.75,2,2,532,2,608,396,157,11,1448,1,0.7,5.4,4,3,10823,7,1,7703,7703,117,3187,8860,5166.9056
0.5,1,2,170,2,172,115,46,4,432,3,0.3,1.4,3,2,3080,7,3,2146,2146,34,935,2263,1500.654
3,1,2,787,1,842,523,257,25,2726,3,2.3,6.4,3,3,18803,7,2,12138,12138,171,5308,13948,7699.9616
1.25,2,2,335,1,410,219,90,11,1070,1,0.3,4.2,3,1,7854,7,1,5664,5664,87,2170,5748,3501.8008
0.75,1,2,196,2,224,180,66,6,619,3,0.5,2.4,4,1,4785,11,3,3128,3128,46,1284,3374,2013.295
1.75,2,2,487,1,543,418,166,15,1560,3,0.5,3.8,2,3,10988,10,2,7028,7028,104,2976,8318,4698.9956
3,1,2,1039,2,813,588,236,27,2548,1,1.4,9.2,2,2,19432,8,1,13631,13631,182,5357,13833,7614.6944
0.5,1,2,136,3,147,99,46,3,429,3,0.4,1.1,3,2,3302,7,1,2329,2329,36,917,2242,1381.2384
2,1,1,536,2,699,470,181,9,1702,1,1.6,6.5,4,1,13844,7,3,8426,8426,113,3472,10034,5777.0618
3,1,1,808,3,918,712,282,24,2642,1,0.9,6.3,4,1,18909,7,1,14951,14951,183,5504,13564,8228.8278
1,2,2,345,3,327,199,71,8,874,3,0.4,3.2,4,2,6482,10,2,4615,4615,61,1833,4497,2836.8394
2,1,2,551,2,628,342,186,18,1648,3,0.6,6.8,2,2,13236,11,2,9180,9180,141,3419,8996,5486.8852
1.5,2,2,440,2,421,255,106,8,1306,1,0.9,4.1,2,1,9243,8,2,6780,6780,107,2552,6859,3841.2866
1.75,1,1,463,1,576,340,142,11,1590,2,0.4,3.7,3,1,10736,10,1,8396,8396,113,3149,7832,4937.9732
1.75,2,2,601,2,598,352,158,10,1461,2,1.1,4.1,2,1,11877,7,3,8552,8552,121,3096,8588,5058.3694
0.5,1,1,166,2,138,118,47,3,426,2,0.4,1.7,4,2,3438,7,2,2389,2389,33,875,2449,1325.2986
1.25,1,1,361,2,430,269,109,9,1131,1,0.4,4.2,3,1,8148,7,2,5965,5965,84,2153,6281,3604.0466
3,2,1,1047,3,979,516,264,14,2474,3,0.8,9.2,2,3,19429,7,3,14163,14163,216,5372,14033,8504.7578
0.75,2,1,213,1,211,158,68,5,630,3,0.4,2,3,3,4673,11,4,3258,3258,54,1350,3729,2002.9186
0.5,1,2,164,2,144,111,38,4,407,2,0.4,1.1,3,1,3211,8,2,2126,2126,30,842,2275,1298.7362
2.5,2,1,687,3,721,479,171,12,2178,1,1.8,7.2,3,3,15867,8,1,11184,11184,151,4683,10512,6636.5964
0.75,1,1,225,3,254,138,57,6,625,1,0.5,2.1,4,3,5081,8,3,3729,3729,48,1380,3503,2188.9772
3,2,2,931,2,848,629,268,14,2457,3,2.2,9.6,2,1,18737,8,2,13226,13226,218,5555,12886,8049.5314
0.75,2,1,226,3,236,144,65,5,609,3,0.5,2,2,3,4861,11,1,3739,3739,42,1331,3270,2055.6372
2.5,1,2,728,3,814,428,178,14,2200,2,1.7,7.1,4,1,16994,7,1,10293,10293,154,4704,12263,7089.7328
1.25,1,2,415,2,401,266,95,10,1115,2,0.6,4.2,4,2,8085,7,3,6049,6049,78,2113,6323,3424.232
2.5,2,1,860,2,723,552,175,17,2118,3,0.8,7.7,4,1,15531,11,4,11367,11367,164,4355,12555,6523.1812
0.75,2,2,197,1,219,157,66,4,664,2,0.3,1.8,4,1,4825,11,1,3454,3454,43,1302,3395,1981.823
1.5,1,1,468,1,476,301,100,8,1253,2,1,3.8,4,3,9374,10,2,6012,6012,108,2699,6711,4183.3948
0.75,1,1,229,1,255,145,61,6,680,1,0.5,2.2,4,3,4797,11,1,3244,3244,52,1239,3601,2136.5724
0.75,1,1,247,3,228,129,57,5,673,1,0.2,1.8,4,1,4611,7,3,3432,3432,50,1363,3142,2062.0032
2,2,1,543,2,607,418,186,15,1744,2,0.9,5.8,2,2,14003,8,1,9176,9176,123,3441,9783,5347.9186
3,2,1,823,1,875,575,219,19,2549,3,0.9,9.1,2,2,19533,10,3,14599,14599,218,5499,13498,8054.3536
1.25,2,2,387,3,340,262,99,8,1052,2,0.7,3.8,2,2,8804,10,1,5500,5500,86,2279,5223,3248.6678
1.5,1,1,478,1,406,260,125,8,1294,1,1.1,4.4,3,3,10415,10,1,6364,6364,105,2633,7318,3850.148
1.5,1,1,440,2,420,327,131,12,1232,3,0.8,4.7,4,1,10176,10,4,7332,7332,87,2695,7387,3912.2582
3,1,2,877,3,1009,576,220,27,2430,3,0.6,6.4,3,2,19874,11,1,13132,13132,181,5545,14838,8552.1148
1.75,1,2,477,3,596,367,146,14,1447,2,1.2,5.3,4,3,11446,8,4,8640,8640,128,3206,8443,5144.4872
2,2,2,626,1,657,409,148,18,1768,3,0.8,6.6,3,3,12225,8,2,9731,9731,120,3326,10009,5465.429
2,2,2,527,1,613,342,146,13,1706,3,0.6,5.2,4,1,13678,8,2,9817,9817,129,3308,10140,5271.0736
3,1,1,937,2,1023,564,249,14,2575,1,1.7,9,2,2,19375,10,4,14543,14543,187,5487,14853,8666.292
0.5,1,2,161,1,145,89,43,3,411,2,0.2,1.4,4,3,3098,10,4,2299,2299,29,864,2153,1326.0986
3,2,2,984,3,903,654,258,16,2474,2,2,6.7,4,3,18699,7,3,12506,12506,217,5273,15296,8120.2938
2,1,1,568,3,568,475,144,12,1655,2,0.5,5.1,3,1,12994,11,1,9210,9210,139,3533,8363,5217.8108
1.75,1,1,456,3,506,344,161,11,1460,2,0.8,4.1,2,2,10983,8,3,7015,7015,128,2905,8068,4561.4096
1,1,2,308,2,287,236,71,7,829,2,0.3,2.3,3,1,6991,8,1,4211,4211,67,1859,4259,2674.2612
1,1,1,333,3,288,172,94,6,907,1,0.5,2.9,2,2,6903,11,2,4328,4328,64,1787,4607,2654.9626
0.5,1,1,165,3,143,87,38,2,412,3,0.4,1.4,4,3,3142,11,2,2392,2392,35,867,2429,1332.5824
1.75,2,1,567,2,479,323,116,13,1584,2,1.2,5.7,2,1,11437,7,1,7947,7947,123,3272,8569,4578.7754
2.5,2,1,779,1,798,434,179,10,2272,2,1.7,6.1,2,2,15614,11,4,10413,10413,180,4522,11067,6975.7898
0.75,1,2,209,2,258,174,68,4,659,3,0.6,1.7,4,2,5210,11,4,3308,3308,43,1390,3135,2211.826
0.5,1,1,147,2,146,105,42,4,437,3,0.1,1.6,2,1,3103,10,2,2079,2079,35,840,2434,1320.1266
0.5,1,2,150,1,173,90,43,4,423,2,0.1,1.2,3,1,3334,7,2,2456,2456,33,903,2200,1475.0258
1.25,1,1,391,1,348,275,99,9,1034,2,0.6,3.2,2,1,7720,8,2,6159,6159,79,2331,6318,3285.491
1.75,2,2,505,1,518,350,130,12,1573,2,0.9,4.1,2,1,10734,11,1,7625,7625,116,2920,8672,4546.4168
1,2,2,323,3,299,179,87,7,812,3,0.2,2.2,4,1,7000,7,2,4716,4716,59,1725,4661,2654.551
1,1,1,282,2,299,214,68,5,890,3,0.5,2.5,4,1,6977,11,3,4627,4627,58,1863,4994,2709.1194
1,2,1,296,1,276,194,87,4,879,2,0.4,2.3,2,2,6274,10,2,4361,4361,62,1781,4564,2577.1458
1,1,1,297,1,348,180,71,6,905,3,0.3,2.9,3,2,6106,8,2,4918,4918,69,1699,4753,2870.5642
2,1,1,555,3,635,365,164,16,1806,2,0.9,5.5,4,3,12712,7,3,8038,8038,147,3492,9272,5557.3744
1.75,2,1,539,2,576,344,135,8,1512,1,0.6,5.7,2,3,12237,11,4,8526,8526,101,3220,8896,4941.6624
1,1,2,302,1,325,228,87,7,859,2,0.4,2.1,4,2,7085,7,1,4319,4319,73,1823,4484,2873.708
1.75,1,2,586,1,595,334,137,11,1555,2,0.4,4.6,2,3,12157,10,2,7615,7615,110,3126,7833,4994.8124
1.75,1,1,579,2,609,329,165,9,1585,2,1,5.6,4,3,11578,11,2,7817,7817,122,2924,7496,5055.2606
