Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1.25,2,1,11,3,506,263,133,15,834,3,7,5.9,5,2,13432,4,4,65042,65042,4061,25220,17933,28713.2564
2,2,2,11,2,693,371,186,22,1325,2,12,6.9,6,2,18749,7,5,120536,120536,6520,39925,29742,45212.6598
2.5,2,2,14,2,1051,474,238,25,1864,1,15,11.7,5,2,23504,5,3,152532,152532,8807,51204,36194,60140.6108
1.5,2,1,8,1,673,269,122,15,1121,1,9,6,7,2,14834,7,2,85862,85862,4537,31699,21648,34466.6468
2,2,1,19,1,663,449,188,20,1418,2,13,9.4,7,1,21269,7,4,115341,115341,7149,40847,29538,47584.6738
1.5,1,2,12,3,585,264,181,16,1088,1,10,7.3,5,2,16352,4,2,83504,83504,3819,31428,21869,31736.7804
1.75,2,1,5,2,624,400,141,19,1286,1,12,7.8,5,1,18344,5,4,104133,104133,5956,35584,25767,40819.9288
1.75,2,2,14,2,671,375,155,20,1199,1,11,8.3,7,1,17846,7,4,105906,105906,5489,37080,25543,40388.7392
2,1,1,12,1,693,390,242,24,1354,3,13,9.6,4,1,20925,7,2,115562,115562,5567,42781,30390,43865.425
0.75,1,1,4,1,334,149,94,8,498,1,5,3.6,5,1,8116,5,3,45985,45985,1909,15396,10845,15883.6432
1.5,1,1,3,2,613,269,154,18,1040,3,9,5.3,7,1,14901,6,3,78441,78441,4050,30559,21397,32062.4502
1.75,2,2,15,3,603,346,218,15,1260,3,11,8.5,5,2,18772,5,3,101714,101714,4703,35600,26466,36854.3044
1.25,1,2,4,1,562,259,122,10,924,1,8,5.2,5,2,12757,4,3,65060,65060,3317,25803,18982,26973.0714
0.5,2,1,2,3,192,94,57,5,335,2,3,1.9,5,2,4694,7,5,27682,27682,1599,9715,7599,11152.2888
2.5,1,2,9,3,876,575,201,29,1849,2,16,11.8,5,2,25565,5,5,143350,143350,5697,51825,35632,50061.253
0.75,2,1,5,2,317,130,81,7,556,1,5,3.5,4,2,8088,4,5,41409,41409,2261,16088,10692,17266.9476
0.5,2,1,3,3,198,110,38,5,357,1,3,2.2,7,2,4623,6,4,26864,26864,1666,10667,7484,11905.1246
1.5,1,2,8,3,543,288,163,15,1064,1,10,6.3,7,1,15852,5,3,88705,88705,3472,31911,21812,30715.2204
1,1,1,3,1,381,179,102,13,687,3,7,4.7,6,1,9777,6,5,58059,58059,2794,21327,14629,22087.3654
1,2,2,9,1,346,201,83,9,752,2,7,4,6,2,10291,7,4,56758,56758,2337,19948,14744,19755.8382
2,1,2,14,3,876,380,207,23,1405,2,13,9,7,1,18576,6,5,120854,120854,5509,38964,28854,42436.2352
1,1,2,2,3,391,229,76,12,754,1,7,4.8,6,2,9671,4,4,59653,59653,2302,20390,14835,20103.8942
3,2,1,14,2,1257,523,233,38,2245,2,18,14.3,5,2,28229,4,2,172913,172913,8177,60451,44392,64194.0758
0.5,2,2,3,2,214,113,59,6,372,3,3,2,6,2,4763,5,5,26595,26595,1526,10188,7494,11284.2726
1,1,1,6,2,444,230,105,8,695,2,6,3.8,4,2,9715,6,2,59551,59551,2909,19720,15122,21838.823
1,1,1,9,1,340,177,85,9,657,3,6,3.4,7,2,10822,7,2,58188,58188,2272,19727,14783,19384.8044
3,1,1,11,3,1086,670,308,30,2098,3,20,10.2,4,1,30431,7,5,177408,177408,7419,58618,44472,60058.2862
0.5,2,2,5,2,186,97,60,5,364,1,3,1.7,7,2,5214,5,3,27208,27208,1466,10124,7333,10931.1328
3,2,2,11,1,998,537,342,26,2119,2,20,11.4,4,2,32615,6,4,171986,171986,10163,63297,44953,70707.263
1.5,1,2,13,2,561,336,172,15,1146,3,10,5.9,5,2,16031,7,3,86597,86597,4817,29553,21459,33691.1162
1.5,1,2,13,1,670,289,121,18,980,3,10,5.1,7,2,14637,7,5,82818,82818,4261,30364,22667,32874.7774
0.5,1,1,3,1,204,96,56,6,378,1,3,2,5,1,5177,6,2,29412,29412,1529,10513,7398,11422.2354
1.5,2,1,10,2,557,276,123,16,1110,1,9,6.7,7,2,16148,4,4,79411,79411,4998,31881,22520,35482.1996
1.5,1,1,13,3,655,321,164,12,1000,2,10,7.3,5,2,13827,6,3,85030,85030,3701,30622,21759,31254.1554
2,2,2,6,1,807,413,208,20,1349,1,13,9.7,5,1,20908,5,2,111232,111232,5863,40919,30371,44292.2316
1.5,2,1,14,2,605,299,115,18,986,1,10,6.3,6,2,16126,5,4,82624,82624,3956,32187,21992,32640.0752
1.25,1,1,10,2,466,279,125,14,910,1,8,4.3,6,2,12203,6,2,75350,75350,2913,24256,17845,24438.3706
0.5,2,1,2,1,216,100,41,5,329,2,3,2.2,7,2,4653,5,2,26467,26467,1442,10434,7222,11165.8306
1,1,2,5,2,413,183,108,11,655,2,7,3.7,7,2,10152,7,4,59848,59848,3244,20006,15117,22898.2804
0.5,1,1,4,3,166,108,52,5,365,3,3,1.8,6,2,4632,6,4,30130,30130,1390,9831,7464,10448.3664
2,2,2,14,3,769,451,238,26,1328,2,12,9.5,5,2,21646,6,5,118006,118006,5348,39689,28958,41851.6592
2.5,2,1,12,2,987,562,247,30,1827,3,17,8.2,5,1,25400,6,2,148515,148515,8143,52590,37920,58515.32
1.5,1,1,14,3,637,295,161,14,1110,2,9,7.2,5,2,13610,5,5,87205,87205,5229,30383,21424,35764.802
1.25,1,1,3,1,447,280,152,10,906,1,8,4.1,5,1,12974,6,2,76507,76507,4163,25669,18232,28990.6848
0.75,2,2,2,1,295,130,69,7,501,2,5,2.6,7,2,7914,5,5,43765,43765,2307,14941,11291,16674.4028
1.5,2,1,11,2,551,255,172,15,1065,1,10,6.4,6,1,14369,4,4,85935,85935,4785,29337,22435,33431.5138
1.75,1,1,4,2,771,303,205,18,1238,1,11,6.9,7,1,15785,7,5,108258,108258,5546,36812,25058,40849.447
2,2,1,18,2,668,364,224,22,1458,3,12,8.5,5,1,19554,6,5,121294,121294,6572,40933,29298,45835.7408
0.75,2,2,3,2,297,134,88,9,558,1,5,3.3,4,2,7645,4,5,43287,43287,1946,15913,10986,16103.319
2.5,1,1,21,1,900,535,200,31,1748,1,16,10.7,5,2,26725,7,3,142209,142209,5505,48790,37312,47914.395
1.75,1,1,12,3,640,375,202,17,1138,1,10,8.2,4,1,17075,7,2,108452,108452,5450,37511,26021,40352.695
1.5,1,2,15,2,548,297,170,18,1083,3,9,6.4,4,2,15567,4,5,91422,91422,4297,31766,21699,33208.5734
1.75,2,2,16,1,596,394,142,19,1168,3,12,6.8,4,2,18421,7,2,105633,105633,3836,35866,25710,34256.8042
1.75,2,1,11,1,600,313,208,16,1305,1,12,8.5,4,1,18679,5,3,100090,100090,4677,34415,25944,36127.9858
0.5,2,1,4,2,165,96,60,5,351,3,3,2.1,7,1,4874,6,2,27685,27685,1227,10097,7420,10087.1848
1.5,2,2,15,1,580,290,159,16,1077,1,10,6.3,4,1,13866,5,3,85427,85427,5318,29297,21883,35192.7832
3,1,1,23,2,1143,512,362,37,2234,3,19,14.3,4,2,28577,5,4,170155,170155,7527,64372,43272,63807.4054
1.5,2,1,11,1,561,318,168,15,1147,1,9,5.1,4,2,15454,5,4,92441,92441,3598,29545,21786,29881.0608
2,2,2,6,3,865,446,171,21,1317,1,12,9.2,5,1,20196,7,2,104886,104886,7127,40193,28830,48058.9592
1.5,2,2,13,3,507,259,140,14,1102,1,10,4.9,7,1,15127,6,3,88268,88268,3985,29712,21854,30927.0154
2.5,1,1,17,3,1038,534,286,20,1689,3,17,12.1,4,1,22769,5,3,133930,133930,7774,53168,37035,57980.3238
1.5,2,2,12,1,563,299,165,18,1036,2,10,6.9,5,1,16247,4,2,82408,82408,3630,29882,22484,30210.8594
1.5,2,1,10,1,524,266,142,17,1146,3,10,7.3,7,1,14265,4,4,91165,91165,4211,30099,21577,31953.663
1.25,1,2,3,3,491,260,154,11,868,3,8,4.5,5,2,12159,5,4,75793,75793,3320,24607,18096,26007.8618
3,1,2,15,2,1322,590,353,37,2190,3,19,12,5,2,28298,7,3,179544,179544,6800,62730,43308,61443.2596
2,1,2,18,1,707,356,178,21,1363,2,12,6.9,4,2,21499,7,5,112093,112093,6270,41476,29932,45336.8698
1.75,2,1,4,1,769,348,208,19,1253,2,10,6.4,5,2,16903,7,2,104498,104498,6052,33973,25051,40860.2806
0.5,1,2,2,2,222,114,39,6,334,2,3,1.9,4,1,4964,5,2,26042,26042,1182,10292,7272,10306.2628
0.75,1,1,3,2,330,135,91,7,528,2,4,2.7,6,1,8159,4,3,40900,40900,2330,15824,11005,17373.8618
1.25,1,1,12,1,555,277,151,15,887,3,8,4.2,7,1,12978,4,4,72194,72194,4421,25700,18237,30296.6756
0.5,1,2,4,1,186,107,49,4,371,3,3,2.4,5,2,5406,6,3,28483,28483,1268,10220,7562,10380.2412
3,2,2,8,2,1320,550,366,32,2006,2,19,13.8,5,2,29009,4,5,158000,158000,6880,61749,44188,61180.6818
0.75,2,1,6,2,336,163,82,8,489,3,5,3,6,1,8186,7,5,41305,41305,1780,14595,11394,15050.0372
3,2,2,30,2,1156,540,362,35,2060,3,19,13.4,4,1,32032,5,5,166541,166541,8117,63795,44231,65371.6664
3,1,2,10,3,1217,583,359,28,1953,1,20,9.6,4,2,32333,7,3,157922,157922,7187,64422,44648,63055.0066
0.75,2,2,4,3,306,144,74,8,544,2,5,2.5,6,1,7583,5,2,44272,44272,1687,15764,11252,15246.5466
1.25,1,1,11,1,472,248,106,12,845,3,8,4.3,6,1,12087,4,4,66125,66125,4435,26744,17981,30522.4274
2.5,2,2,20,1,899,543,229,27,1657,2,17,10.4,6,2,27209,5,2,143739,143739,7996,52696,36056,57752.0818
0.5,1,1,2,3,172,106,41,6,337,3,3,1.9,6,1,4702,5,3,26458,26458,1620,10068,7396,11316.6504
0.75,1,1,7,3,302,130,87,9,553,3,5,2.6,4,1,7509,5,2,43297,43297,1760,15250,10724,15179.2818
1.75,1,2,4,1,595,315,183,17,1298,2,11,6.2,4,1,18801,6,5,102560,102560,5259,34205,25520,37743.8202
3,1,1,17,3,1279,638,298,34,2047,3,20,11,4,1,31767,7,2,177695,177695,9617,63118,43222,70184.1534
1,2,2,2,3,339,194,117,9,668,2,6,4.2,5,2,9440,6,5,58010,58010,3569,19626,14584,23364.568
1.75,1,2,12,2,621,309,198,22,1244,3,11,6.5,6,1,18992,4,3,103940,103940,4487,37121,26564,37049.0884
1.25,2,1,12,2,505,273,141,11,883,3,8,5,7,1,12441,5,4,74286,74286,3836,25413,18457,28113.7682
1,1,2,5,3,415,181,110,10,690,2,7,4.2,5,2,9644,6,5,61099,61099,2908,19851,15027,21790.2488
1.75,2,1,9,2,783,362,189,21,1164,1,11,6.7,6,1,15847,6,2,98817,98817,4401,36832,26076,37364.4994
1.5,2,2,6,3,503,266,146,18,1008,1,10,5.2,5,1,15997,5,2,80803,80803,4953,32001,22498,35152.1994
1.75,1,2,15,1,687,375,163,16,1334,2,12,7.2,5,1,16109,6,2,98679,98679,5458,37419,24862,40542.0818
1,1,2,8,1,447,200,108,10,739,3,7,4.6,6,1,10479,6,3,53491,53491,3457,19887,14419,23664.2758
0.75,2,1,4,2,288,128,57,8,506,1,5,3,4,2,7690,4,5,39720,39720,2200,14925,11051,16307.378
2.5,2,1,5,3,1049,542,200,27,1733,2,16,12.1,5,1,25202,5,2,154486,154486,6784,51168,35579,53860.2504
1.5,1,2,7,2,559,321,130,13,1090,3,9,7.3,4,1,14574,6,5,91151,91151,3730,30382,22532,30765.0048
2.5,2,2,14,2,858,475,282,31,1857,2,15,9.2,5,1,26415,6,4,137916,137916,5560,53459,37049,50384.943
0.5,1,1,3,2,171,95,62,5,339,1,3,2.1,4,1,4594,7,5,29679,29679,1349,10372,7414,10641.1088
1.5,1,2,9,3,633,266,181,14,1046,1,9,6.7,4,1,15113,7,5,85126,85126,5106,30927,21739,35651.3126
1.25,1,1,5,2,531,232,136,16,820,1,8,6,4,1,13278,7,2,65181,65181,2941,26082,18095,25830.8356
2.5,2,2,13,1,1015,534,230,20,1662,3,16,8.7,7,1,23827,6,5,138178,138178,6990,51982,37284,54731.3154
0.75,2,1,2,3,276,158,93,8,551,3,5,2.5,5,1,7179,7,3,45163,45163,2425,15633,10822,17331.3258
1.75,2,2,8,1,757,309,138,17,1299,1,11,8,7,2,18717,5,5,93288,93288,4128,34394,25039,35095.8234
1.75,1,2,16,3,709,349,190,15,1144,3,11,6.4,4,1,17022,5,4,95342,95342,5634,36544,26424,40691.1644
0.75,1,1,2,3,293,131,91,7,497,3,5,3.1,5,2,7832,4,4,44482,44482,1781,15354,11142,15268.7364
2.5,1,1,10,2,991,543,195,22,1628,3,17,11.9,7,1,22647,7,4,154017,154017,8065,50214,36107,57061.2994
3,2,1,18,3,1103,630,335,28,2254,2,19,13.9,5,2,32492,4,5,181123,181123,7841,59390,44880,61910.1084
3,1,1,8,3,1220,514,287,37,2195,3,20,10.8,6,2,27985,4,2,169551,169551,8752,63640,42699,67502.557
3,1,1,21,3,1011,580,333,37,2006,2,18,13,7,2,29887,5,5,162132,162132,9695,58297,44887,66620.2374
0.5,2,2,2,3,169,97,61,5,361,2,3,2.4,4,2,4580,5,5,30288,30288,1345,10433,7544,10657.596
1.5,1,1,7,3,638,343,167,17,976,1,9,7.1,6,2,14230,5,4,84071,84071,4075,29955,21470,31963.836
2.5,1,2,6,3,873,537,313,32,1821,1,15,9.4,7,2,23207,4,5,142758,142758,7463,48944,36493,53925.2814
1.25,2,1,5,3,444,254,129,13,843,3,8,4.5,4,1,13582,7,5,68253,68253,3820,25393,17849,27766.6664
1.5,2,1,13,3,615,296,140,12,1130,3,10,5.5,5,1,13802,4,2,81384,81384,5051,31341,22699,35612.0304
3,2,2,26,1,1168,539,316,33,2052,2,19,12.4,6,1,28821,4,3,167009,167009,9101,61664,42964,67302.8242
0.75,2,1,4,3,259,138,84,8,527,3,4,2.8,5,2,8084,4,2,42861,42861,2391,15007,10679,16801.8968
0.75,2,2,3,3,313,153,91,9,511,3,5,3.3,4,1,8232,5,5,43495,43495,2204,15867,10693,16952.5964
2,2,1,13,1,807,391,251,22,1494,3,13,7.2,4,2,19758,7,5,121358,121358,4734,40891,30174,40739.1316
3,1,2,12,2,1018,517,344,30,2230,3,20,12.4,4,2,31449,5,4,172183,172183,10494,61132,43979,70669.5698
1,1,1,3,2,423,203,79,9,748,2,7,4,5,1,9445,4,2,52530,52530,3138,20719,14750,23002.829
1.5,2,1,12,2,591,295,144,15,1122,3,9,6.5,4,1,14242,6,2,87562,87562,5333,30614,22769,35990.5584
3,2,1,9,2,1155,573,373,37,1953,2,19,14.2,4,2,32020,4,4,176334,176334,9327,60069,45339,67123.264
3,2,1,23,2,1046,599,355,28,2106,2,19,10.7,4,2,28497,4,4,166012,166012,9382,61535,44179,67534.1894
1.25,1,1,9,2,435,248,150,11,943,3,8,5.7,4,1,12892,4,4,76774,76774,3630,24672,18082,26769.3484
0.5,2,1,5,2,171,107,50,6,368,3,3,2.3,7,2,5483,4,5,27857,27857,1666,10533,7406,11713.7466
1.75,2,2,7,3,715,355,183,15,1282,3,11,6.9,5,1,16266,4,4,103000,103000,5206,36054,26317,39134.6232
1.5,1,1,15,3,586,308,181,14,1016,2,10,6.6,5,1,15919,4,2,86214,86214,5057,29768,21569,34674.5838
2,2,1,19,3,845,418,183,22,1306,2,12,7.1,5,1,21153,6,4,122021,122021,5823,41484,29680,44588.0406
2.5,1,1,23,2,922,483,229,22,1839,1,16,9,4,1,25093,7,3,152785,152785,8449,53500,36894,59654.5786
0.5,1,2,4,3,182,101,63,4,380,1,3,1.7,5,1,4668,4,5,27378,27378,1266,10325,7508,10402.1636
1.25,1,2,8,1,460,265,120,14,937,2,8,6,4,1,13359,6,3,72715,72715,2865,24910,18987,24642.1718
2,1,2,7,1,752,457,247,26,1521,1,13,8.7,5,1,20651,7,2,120741,120741,5491,41271,28811,43072.1602
1.75,1,1,9,3,727,376,141,19,1197,2,11,7.9,6,1,18126,5,2,91134,91134,5567,36384,25688,40499.6752
1.75,2,2,7,3,627,383,177,15,1313,3,10,7.5,6,1,18584,6,4,100055,100055,6140,34635,26060,40866.2868
2.5,1,2,21,2,1000,490,225,30,1653,1,16,11.1,5,2,23596,4,2,154687,154687,6167,51263,35959,51759.3892
3,1,1,29,2,1070,632,304,24,2030,2,19,13.3,7,1,29233,6,5,182920,182920,9676,60170,45168,67856.5366
1.75,1,1,17,2,663,343,151,19,1164,1,12,6.4,7,1,17864,4,3,108341,108341,6129,35303,25401,41354.2128
1,1,2,5,1,391,199,112,12,726,3,6,3.2,6,1,10102,7,2,52947,52947,2614,19916,15038,20779.1404
1.5,2,1,14,2,670,284,121,13,989,1,9,7,6,1,15947,7,5,92096,92096,3971,29617,21803,31592.0094
1.5,1,1,5,2,541,318,163,12,1120,1,9,5.3,6,1,13638,5,2,82040,82040,5320,31330,21603,36095.0976
2.5,2,1,18,3,1039,463,259,30,1700,1,15,12.2,6,1,23495,6,3,144540,144540,6605,50350,37740,52808.899
2,2,1,17,2,788,355,240,23,1367,2,13,7,6,2,18333,7,2,104254,104254,5874,41085,29389,44284.2266
1.25,1,2,6,2,438,278,141,12,861,3,8,6.1,5,2,12378,5,5,73563,73563,3056,25167,18564,25278.6256
1.75,1,1,14,3,778,365,191,15,1310,3,12,7.4,6,1,16102,7,4,92243,92243,4828,36380,25336,38445.2004
0.75,2,1,7,2,269,155,63,7,509,3,5,2.7,6,2,7429,5,5,41127,41127,2236,15237,10949,16499.4558
1,1,1,9,3,365,196,114,12,677,2,7,4.8,6,2,10716,7,5,56285,56285,2453,20109,14240,20304.8632
0.75,2,2,2,3,321,141,58,8,561,1,5,3.1,7,1,7274,4,2,41192,41192,2390,15787,10930,17513.7448
0.5,2,1,3,2,197,115,40,6,371,1,3,1.8,6,2,5416,4,2,29819,29819,1654,9926,7240,11457.4632
1.75,1,1,17,1,787,386,188,18,1308,3,11,8.3,4,2,16165,6,4,104900,104900,4074,34478,26343,35125.983
1.5,1,1,13,1,519,298,119,15,1002,3,9,6,5,2,16396,7,2,86726,86726,3391,30099,21418,29356.2392
1.5,1,1,8,3,583,288,188,14,1065,1,9,6.1,7,2,15102,4,3,78455,78455,3237,31137,21847,29737.5104
2,1,1,8,2,815,368,226,21,1342,1,13,7.8,6,2,19409,7,2,116259,116259,4342,38890,28442,38484.5418
1.75,1,2,9,2,594,306,207,15,1171,2,12,7.4,4,2,18013,5,2,101594,101594,5865,35761,25293,40491.5426
1.5,2,1,15,1,584,303,154,12,1145,2,9,6.6,6,1,13596,6,2,83910,83910,4218,30281,22424,32325.9592
1.5,2,1,14,2,614,258,157,13,1130,3,10,5.8,5,2,16157,7,4,80699,80699,4213,32201,22263,33478.5314
1.25,1,2,3,2,547,277,132,12,846,1,8,5.2,7,1,12382,6,2,66798,66798,3953,26845,18291,29442.1164
3,2,2,14,3,1348,687,255,27,2154,1,19,10.5,7,1,30029,6,2,171532,171532,10623,61920,44437,72946.2758
1.5,2,1,9,3,630,304,146,15,1013,1,9,5.5,7,2,16432,6,5,89147,89147,5065,29771,21701,34865.7164
1.75,1,1,14,3,627,315,169,17,1338,3,11,5.9,7,2,17831,6,5,94387,94387,5878,37594,26400,41630.5962
3,1,2,8,1,1092,656,357,27,2283,2,20,12.7,7,2,29830,4,5,175078,175078,9758,59825,43822,68033.976
0.5,1,1,2,1,215,102,42,6,348,2,3,2.3,4,1,5231,6,3,27358,27358,1085,10524,7103,10105.2562
2,2,2,6,2,853,439,160,18,1359,3,12,8.5,7,1,20570,4,4,116084,116084,6499,40022,28994,45952.224
1,2,1,7,3,338,223,92,8,702,3,6,3.6,6,1,10058,4,4,55028,55028,3317,21230,14299,23434.5516
3,2,1,8,2,1208,657,268,31,1966,2,20,11.7,6,1,31093,4,4,174568,174568,7332,62388,44201,62394.8686
1.5,2,2,8,3,504,339,142,16,1073,3,10,6.3,5,2,15126,4,3,86919,86919,4146,30193,21396,31702.0352
3,1,1,30,2,1273,571,315,34,2182,2,20,12.4,5,2,27358,7,4,179095,179095,9504,60316,43518,68312.5516
2,1,1,6,1,828,414,163,19,1528,3,13,8.5,5,2,20628,4,2,104668,104668,7130,41288,29912,48488.9356
1.5,2,1,14,1,519,325,149,18,1095,2,9,7.2,5,1,14668,5,4,82299,82299,5289,31429,21495,35983.4536
1.25,1,1,7,1,445,224,141,16,936,3,8,4.6,5,1,11428,5,4,70910,70910,3915,25687,18630,28224.7056
0.5,2,2,5,1,189,91,54,5,362,3,3,2.4,5,2,4795,6,4,27267,27267,1554,10063,7557,11194.819
3,2,2,29,1,1079,529,276,31,2083,2,19,12,4,2,31797,5,4,156538,156538,8257,62324,42971,64628.9394
1.25,2,2,6,1,527,258,144,10,817,1,8,4.7,5,2,12119,5,2,75931,75931,2900,26100,18906,25676.7338
0.75,2,1,5,1,320,156,68,8,530,1,5,3.6,4,1,7154,6,2,40143,40143,2473,15518,10669,17631.8908
2.5,2,2,22,3,837,481,299,25,1857,2,16,11.3,6,2,23879,7,5,130096,130096,5424,49832,37733,47958.1058
1.75,2,2,13,3,782,350,207,22,1303,3,11,8.1,6,1,16469,7,4,104143,104143,4962,35118,25695,38197.9438
1.25,2,2,8,1,413,279,123,15,880,3,8,5.6,5,1,12018,7,2,67074,67074,3797,24618,18311,27155.8636
1.25,1,2,7,3,514,286,137,16,901,1,8,4.3,7,1,12242,5,4,74437,74437,4381,26504,18299,30422.0584
3,1,2,18,3,1056,564,351,26,2069,1,20,13.5,5,1,32437,5,5,165991,165991,8212,62021,43774,64270.1374
0.75,1,2,5,3,333,148,61,9,491,1,5,2.4,4,2,7867,7,3,45873,45873,1809,14862,10778,15256.8734
2.5,1,1,11,3,1016,450,310,31,1733,1,16,9.7,6,1,24085,5,4,147167,147167,7206,53621,36939,56309.927
0.75,1,2,5,1,250,154,58,7,525,3,5,2.6,4,1,7113,7,3,40012,40012,2238,15659,11008,16645.2626
2.5,2,1,23,2,1118,455,255,28,1713,2,16,12,4,1,26201,5,2,142647,142647,6433,52433,35737,53765.3202
1.25,1,2,12,2,481,287,112,12,952,2,8,5.6,6,1,12427,6,2,65421,65421,3653,26163,17940,27850.5254
1.25,1,2,12,1,497,249,135,13,826,2,8,5.1,7,2,13600,7,4,76992,76992,3694,24450,18167,27116.63
2,2,2,4,2,834,429,237,22,1346,2,13,8.3,7,2,18928,7,4,109084,109084,7185,41477,29284,48795.0556
1,2,2,4,1,417,181,85,8,743,1,6,4.2,5,2,9497,7,4,58892,58892,2158,19904,14343,19488.2794
3,1,2,27,1,1292,586,280,35,2115,2,20,9.6,6,1,28301,4,3,156877,156877,8213,64317,45249,66507.8602
0.75,2,2,4,1,270,131,66,7,517,2,5,3.1,7,1,7451,6,2,40929,40929,2545,16049,11148,17905.4002
0.5,2,1,3,1,192,87,51,5,379,3,3,1.8,5,2,4707,5,5,27386,27386,1364,9716,7553,10421.4014
3,2,1,7,3,1100,531,230,29,2002,2,19,12,5,1,31754,4,5,178600,178600,10102,63564,42940,71107.5908
0.75,2,1,6,3,311,136,79,7,505,3,5,3.3,5,2,6933,6,5,41421,41421,1843,15310,11142,15520.6166
1.25,1,2,8,1,483,220,103,11,943,1,8,4.8,7,2,13362,6,2,75415,75415,3534,25835,18989,27294.0924
2.5,2,2,14,3,1117,568,250,24,1702,3,16,8.8,4,2,25199,5,4,152640,152640,6243,51016,36638,52362.0598
1.25,1,1,6,3,458,239,105,11,947,1,8,4.4,6,2,11349,5,4,73844,73844,3178,24783,18579,25504.1698
3,1,2,22,1,1319,606,358,37,1973,2,19,14.5,7,2,28489,4,2,166411,166411,7828,62568,43310,64572.1878
3,1,2,21,3,1275,558,319,30,2145,2,20,10,5,2,27425,4,4,168138,168138,8023,61442,43977,64298.385
3,2,2,15,1,1006,604,260,33,2139,3,19,12.9,4,2,30188,6,2,157489,157489,6869,60809,43132,59196.6876
1.75,2,1,13,2,610,353,199,16,1252,1,11,6.6,7,2,17585,4,2,96397,96397,6102,35381,25606,41071.277
1.5,1,1,11,3,589,294,115,13,1081,3,9,6.5,6,2,16237,6,2,87889,87889,3549,30357,21386,30309.1774
2.5,2,1,21,2,1091,565,191,28,1849,2,16,8.6,5,2,23803,4,3,140576,140576,8413,53704,37225,60412.1606
1.75,2,2,15,3,664,318,219,18,1212,1,12,5.7,6,2,18377,6,2,103882,103882,4753,35907,25265,37414.0054
