Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1.75,608,274,97,1269,51,6,10,98491,12452,524,433,4313
2,565,307,95,1559,57,4,12,104713,15485,608,477,5807
3,1046,466,152,2249,103,5,17,156813,21678,866,718,7070
2.5,749,377,104,1966,65,4,13,136490,19714,718,664,7157
0.75,208,123,44,556,24,3,5,41351,6063,210,193,2236
0.75,224,123,42,525,27,7,5,39061,5266,196,200,2018
2,660,261,86,1447,55,5,11,107297,14448,595,491,4808
0.75,265,110,39,542,22,6,4,39770,5660,210,175,2197
3,858,405,157,2206,74,4,16,158999,21233,927,756,7029
0.5,176,71,22,375,15,5,3,27805,3532,131,126,1464
0.5,141,79,18,357,16,3,3,27680,4231,144,124,1231
2.5,746,363,100,1836,84,7,14,140926,19235,733,613,6729
2,718,328,97,1587,71,4,11,112116,15984,559,528,5786
1.25,390,176,60,969,34,3,8,69864,9635,373,318,3481
2.5,738,307,130,1856,63,5,17,137957,18166,734,633,6342
0.75,225,97,33,597,19,4,4,41702,6439,204,175,1986
1.25,362,185,50,967,45,5,7,66797,9755,368,330,3077
1,305,146,59,732,31,4,6,55833,7723,275,235,2389
0.5,139,70,30,367,16,4,3,27593,3591,153,124,1409
1.25,331,199,66,958,34,5,8,67496,10612,333,316,3025
1,322,129,54,762,24,6,5,54988,8304,261,251,2381
2,545,301,93,1506,65,3,10,107510,15994,565,466,5184
0.75,258,119,36,580,24,6,4,42434,6022,229,186,1933
0.5,169,62,25,377,15,4,3,28215,3778,133,129,1254
1,328,141,54,744,32,4,7,55613,7866,291,234,2736
1,348,131,37,716,36,3,6,52209,8323,280,233,2608
1.5,470,243,63,1174,52,6,10,82838,11080,427,389,4413
2,647,276,116,1531,68,6,13,112774,15106,561,507,5357
3,965,443,162,2249,88,4,17,162375,23421,890,791,8384
1.25,442,170,66,888,44,4,7,69956,10077,341,332,3393
1.5,393,196,71,1064,39,7,9,84348,12090,464,392,4109
0.75,264,100,26,576,26,7,5,40770,5927,217,185,1857
2,604,246,74,1593,50,5,13,113079,15597,589,498,5862
1.5,394,214,59,1107,41,4,10,78876,11378,408,346,3692
1.5,445,218,61,1092,49,7,9,83622,11071,405,403,3465
3,789,416,133,2132,79,4,15,164440,23183,798,700,7981
1.5,427,237,65,1139,38,4,10,84623,12156,411,358,4269
1.25,391,192,66,885,37,5,7,68266,10562,337,309,2979
1.5,443,181,77,1052,46,5,10,84109,10833,432,374,3580
0.75,219,111,32,573,22,7,5,41528,5495,206,174,2083
2,572,247,113,1596,65,3,13,113838,15796,581,495,4744
2,648,323,90,1502,57,7,12,113169,16359,558,490,5371
3,795,482,138,2154,84,4,20,157284,21120,880,780,7566
0.5,176,64,27,397,15,7,3,28007,3990,133,115,1384
0.5,176,73,26,358,13,6,3,27666,3883,148,123,1392
1.5,443,229,74,1180,47,5,10,81763,12346,446,373,3884
2.5,754,416,115,1753,70,5,14,131721,18819,715,581,6925
1,260,141,42,769,32,6,6,52553,7978,307,255,2652
3,810,375,150,2127,84,4,17,166580,25787,789,735,8035
2.5,815,346,121,1872,70,6,13,135794,17906,666,627,6575
1.25,403,179,57,926,41,4,6,65663,10044,381,325,3320
2.5,679,420,117,1923,73,5,17,132453,20723,751,620,6864
0.75,256,112,37,540,26,3,4,40183,5996,206,200,1846
1,291,149,56,790,34,3,7,55520,7025,299,263,2782
1.75,502,261,64,1278,53,7,11,97111,13004,469,439,4241
2.5,867,411,122,1761,64,3,14,138681,19819,655,667,6783
1.5,520,213,65,1179,47,5,10,78371,11163,435,377,4336
0.75,213,91,36,560,26,6,4,41349,5984,232,189,2061
0.75,219,127,41,599,26,3,5,42126,6067,223,177,1839
1.75,517,247,63,1258,43,3,9,96763,12640,514,438,5168
2.5,746,313,130,1894,70,4,14,130150,20694,747,632,6489
1.75,563,270,81,1332,52,6,12,98290,13895,491,452,4547
1,312,158,36,733,25,6,6,52505,8001,260,259,2597
1.75,619,278,90,1373,44,5,11,96365,12680,525,415,5022
2,575,291,85,1465,67,4,11,104841,17108,579,511,5038
3,902,503,131,2361,95,5,15,167584,22154,911,785,8792
1.5,435,227,60,1088,36,7,10,79442,11725,449,374,4350
1.75,620,254,90,1240,50,3,9,95781,13885,533,407,4380
1.25,408,152,55,959,33,6,7,69542,9646,331,328,3407
0.75,249,119,33,579,21,5,4,42732,6328,207,174,1952
2,529,302,108,1540,53,3,12,111906,17081,592,494,5833
1.5,460,184,90,1196,41,4,8,79049,12448,397,377,3745
1.5,476,250,69,1089,42,7,8,84467,12051,441,399,3833
0.5,162,70,25,369,17,3,3,27565,3989,141,117,1155
3,901,478,142,2167,87,6,19,167346,24363,824,699,6997
0.5,175,79,20,359,16,7,3,28039,4222,144,118,1474
2.5,861,393,130,1929,82,5,13,139455,20637,771,609,6362
2.5,875,381,100,1870,61,4,16,141414,19208,687,633,6818
2,638,338,119,1566,71,4,13,111416,15908,561,516,5675
3,871,488,131,2287,75,3,19,164501,22651,816,742,7762
3,828,422,110,2136,84,7,17,156129,22793,892,729,7043
0.75,209,112,28,590,20,7,5,40975,6230,198,199,2095
0.5,151,72,18,358,13,3,3,27658,3893,136,124,1486
2,673,242,82,1410,54,6,12,111593,15738,547,484,5992
1,273,135,52,774,30,6,5,53994,8220,299,239,2620
0.5,178,76,21,358,17,3,3,26155,4219,137,121,1364
2.5,785,384,129,1877,64,7,16,130443,18354,719,604,7050
1.25,423,212,44,899,42,7,7,69022,9411,327,321,3218
1,307,161,45,751,35,7,6,52044,8519,310,244,2900
3,1037,463,170,2377,77,7,19,163412,21434,863,779,8649
0.5,135,78,28,364,12,3,3,26746,3853,142,120,1329
1,270,124,40,790,31,5,7,53111,7414,301,238,2338
1.75,494,282,71,1299,51,6,10,93221,12920,535,459,4590
0.75,200,98,38,591,21,3,5,39953,5664,198,190,2241
1.75,477,215,81,1241,57,4,9,94512,13640,460,451,5133
2,659,312,79,1521,63,7,14,104464,17036,566,484,5100
1.5,401,242,74,1111,43,5,10,83363,10718,450,377,4337
2.5,841,306,101,1910,77,7,13,133245,20816,752,659,6816
3,802,421,136,2253,80,3,17,165237,21684,804,713,8863
2,571,317,101,1432,51,5,11,113561,16336,566,479,5917
3,1006,400,153,2144,102,4,19,157750,21696,856,764,7008
1,282,135,58,759,27,6,7,54789,8522,284,252,2969
0.75,200,102,26,544,24,3,5,42463,5752,229,199,2108
0.5,140,79,25,353,16,5,3,26773,3527,148,116,1261
2.5,709,331,112,1909,64,3,13,130744,19326,671,641,6802
1.5,393,190,89,1154,43,6,9,80192,12123,456,348,3476
1.25,340,153,51,902,43,5,7,70688,9842,347,334,2969
1.75,470,280,90,1276,52,5,11,93190,14103,485,438,4620
2.5,794,360,108,1777,79,4,14,135971,18633,706,651,6757
2.5,755,368,107,1793,85,7,17,140755,20639,765,593,6122
1.75,575,231,68,1295,44,4,12,93649,13691,514,455,4515
1.75,585,245,90,1386,50,6,10,91687,12612,515,448,4952
2.5,751,315,141,1824,64,5,17,139168,19978,747,582,6337
1,352,154,43,759,29,5,6,54184,7154,295,260,2984
0.75,228,92,33,533,18,4,5,39085,5575,229,198,1884
2,549,264,76,1599,54,6,11,104901,14541,620,525,4675
2,640,307,110,1413,60,4,13,104726,15529,585,525,4800
2,528,252,84,1478,65,4,12,111466,14065,530,515,4756
2.5,839,328,137,1879,76,7,17,130002,21078,661,665,6318
1.75,601,267,76,1394,60,7,11,91783,13306,502,410,4451
0.5,131,72,22,371,14,3,3,28455,3575,148,118,1388
0.75,268,92,42,593,25,4,5,39347,5708,218,178,1741
0.75,243,95,38,561,27,6,5,40006,6144,221,188,1930
0.75,266,109,42,550,22,5,5,42738,5835,227,197,1832
0.5,178,72,27,388,15,5,3,26392,3591,139,132,1427
1.25,334,208,52,944,41,4,7,69606,8989,352,321,3147
1.75,474,293,100,1305,57,3,10,98380,13921,538,413,4033
0.75,231,104,27,548,23,7,4,41566,6275,221,181,1894
3,797,456,179,2115,103,7,16,168493,21416,864,752,8107
0.5,135,77,26,370,16,5,3,26775,3550,132,129,1257
1.75,629,235,79,1265,57,3,11,98543,14387,483,449,4752
0.75,215,104,36,550,21,4,5,39128,5665,206,186,1754
1.5,395,251,66,1092,37,7,10,80964,12133,392,403,4086
1.25,352,167,73,936,40,7,6,67092,10150,387,328,2894
1.75,523,255,86,1227,58,4,10,94344,14751,491,446,5030
0.75,243,95,45,568,24,6,4,42037,6256,207,174,2101
1.5,535,188,65,1159,54,3,9,80520,10661,431,360,3760
1,337,136,52,761,31,7,6,56620,7400,275,268,2804
1.75,561,287,94,1246,58,5,11,95107,12949,528,471,4043
2.5,776,335,95,1912,77,5,15,135948,18971,730,674,5976
0.75,237,109,27,554,21,3,5,39336,5316,197,197,1936
1.25,441,166,59,879,32,7,9,65016,10059,358,294,3238
2.5,796,343,107,1864,65,4,14,132876,19376,717,636,6571
1.25,392,171,75,966,45,5,8,66807,10596,346,288,3408
3,943,396,172,2133,106,3,19,165084,21886,852,728,8702
0.5,137,85,28,356,14,3,3,27462,3643,151,120,1442
1.25,410,206,54,939,36,6,7,66457,9446,343,295,3723
1.75,549,293,62,1233,56,7,11,91846,14622,511,405,4083
3,883,472,145,2172,78,7,19,166137,23331,797,719,7737
1.25,358,152,57,964,38,7,7,67703,9983,336,314,3289
2.5,682,390,110,1889,81,7,14,135264,19777,702,645,6642
2.5,718,382,91,1807,70,5,14,130236,20835,699,669,6377
2,678,330,110,1543,70,3,11,111731,16908,581,462,5934
3,871,469,149,2174,75,7,19,163387,23954,832,779,7705
1.75,576,234,79,1317,43,4,9,95224,14073,527,415,4519
1.25,428,167,48,968,39,5,8,68295,9501,380,309,2926
0.75,225,109,42,539,24,7,5,41303,5769,219,177,1918
0.75,239,124,34,552,25,5,5,41964,5979,210,193,1870
2,559,257,90,1546,61,3,12,108721,16390,573,461,5494
0.5,150,78,27,361,13,5,3,26963,4222,139,133,1224
2,648,272,112,1592,67,6,13,107442,16019,585,521,5455
0.75,207,102,31,578,22,5,4,41020,5661,229,175,2004
2.5,845,337,141,1979,61,5,14,133526,19720,757,626,7228
1.5,445,237,65,1107,46,7,8,84556,11163,438,388,3687
2.5,872,326,119,1797,71,6,16,134315,18449,754,593,7100
0.75,200,110,35,542,25,3,5,41105,6272,195,185,1742
0.5,146,61,22,388,14,4,3,26671,3551,150,130,1461
0.75,217,100,32,555,27,4,5,39908,6185,227,192,1968
3,793,367,175,2357,107,6,19,166390,25716,860,799,8599
3,807,455,166,2308,97,3,16,164126,24645,890,724,7448
2.5,806,363,118,1785,77,5,13,141792,20441,761,583,7118
2,704,317,74,1585,63,3,11,107367,15589,552,487,5578
0.75,208,111,43,551,22,4,5,40291,6196,227,173,1960
2,560,335,86,1578,57,6,10,108031,16533,586,506,5354
3,1073,429,119,2124,75,5,16,160468,25531,856,706,7239
1.75,506,297,88,1374,47,6,11,96437,12940,490,442,4598
1.75,586,279,91,1238,57,4,12,94558,14060,465,411,5126
1,310,156,43,745,25,3,6,54708,8114,264,241,2606
2,651,291,104,1407,55,6,12,113766,16428,569,469,5640
1.75,525,249,103,1301,60,7,11,94697,15039,472,472,5226
1.25,379,199,50,931,41,6,8,69534,9286,354,298,3209
1.5,487,240,58,1055,46,5,8,85439,12133,397,379,3774
0.5,158,79,27,384,14,3,3,27123,3945,136,125,1207
0.5,135,61,18,381,15,6,3,28288,3968,143,117,1461
2.5,782,399,145,1805,64,4,13,130882,17912,707,615,7215
0.5,156,83,27,361,16,5,3,28240,3740,130,119,1193
0.75,197,91,39,563,22,3,5,41934,6420,209,176,2014
1.5,536,246,87,1189,42,6,8,78454,11519,418,364,4377
3,1008,415,163,2311,94,6,19,163340,21482,838,743,8656
2,694,333,73,1425,57,3,10,104376,16752,526,522,4695
2,705,334,99,1572,58,4,11,112004,15510,558,478,4910
0.5,144,71,27,375,14,4,3,26149,3790,147,132,1174
2.5,677,373,110,1951,78,6,14,141484,18365,706,616,6185
1,346,143,49,719,28,6,6,53718,7686,287,237,2738
1.5,446,228,82,1129,47,4,10,81662,12782,423,381,3977
1.5,492,189,68,1115,44,4,8,80575,12141,448,360,3953
0.5,153,61,22,357,13,4,3,27898,3578,145,117,1174
0.75,203,107,29,558,20,5,5,40259,6236,217,186,2049
0.75,265,122,42,592,23,3,4,39872,5713,213,180,1809
2,588,338,99,1437,65,6,11,108150,16606,520,508,5280
0.5,161,61,24,399,16,6,3,27049,3926,140,116,1219
1.5,413,221,65,1063,38,6,8,78022,11669,457,348,3762
1,318,126,47,746,33,7,5,56533,7427,297,244,2374
1.75,510,276,92,1264,62,6,12,97705,14836,518,409,4663
0.75,250,112,39,584,22,5,4,40693,6313,217,189,2097
1,330,155,47,706,34,3,5,55182,7229,264,247,2729
2.5,883,367,141,1884,71,6,14,131657,19541,754,608,6244
1.75,601,290,67,1288,44,5,12,95538,13300,530,472,5036
1,359,168,55,735,34,5,7,54097,7297,303,258,2659
1.5,411,214,75,1072,39,4,9,85343,11642,454,372,3528
1.75,524,228,80,1282,54,6,11,94545,14835,524,417,4767
2.5,781,352,108,1935,87,3,17,142123,19003,712,589,7384
3,882,458,174,2123,98,6,18,159557,25734,783,693,8368
0.75,203,105,28,529,19,6,4,41449,5558,224,198,2169
2,662,302,91,1554,48,5,14,109066,16316,554,503,5655
1.5,509,252,78,1071,50,3,10,85358,11493,410,375,3497
2.5,896,392,121,1885,71,7,14,130916,20829,766,607,7150
1.5,443,229,81,1184,38,7,10,84162,12652,433,349,4203
1.75,627,253,65,1248,53,6,9,97274,13084,473,442,4230
1,279,145,45,789,30,6,5,53462,8465,261,238,2727
2.5,822,335,130,1913,69,3,13,138971,20429,670,611,6668
2.5,754,353,140,1815,86,6,15,133441,17895,679,655,6250
0.5,176,63,24,373,12,7,3,27642,3580,131,135,1498
2,709,254,85,1553,62,5,13,105001,16952,604,468,4819
0.75,217,119,31,533,22,3,4,41149,5492,224,183,1794
2,694,291,112,1589,50,4,11,104598,15528,541,517,5399
1.5,500,190,89,1141,44,6,8,80332,10783,433,365,4291
0.75,228,94,42,548,23,4,5,40870,5862,226,182,1786
1.5,461,188,59,1166,43,6,10,82088,11620,398,360,4036
1.75,525,292,98,1392,57,6,10,95890,12355,534,407,4379
1.25,334,182,57,924,43,7,8,70471,10743,386,288,3520
0.75,197,119,45,543,23,7,5,41776,5418,225,197,1958
1,324,164,40,784,32,5,6,53968,8076,269,265,2944
3,825,370,105,2159,107,3,20,157295,24922,926,766,7263
1.25,401,207,49,987,37,7,7,65571,10389,374,323,3717
1.5,497,220,83,1057,48,7,9,79932,11732,444,368,4349
1,267,160,58,741,33,5,6,53451,8445,289,257,2433
1.25,357,185,72,944,30,5,9,71208,9342,375,293,3262
2.5,653,324,135,1916,81,4,17,134027,19606,751,661,6142
1.5,539,225,78,1082,54,6,10,80702,10894,410,401,4450
0.5,152,64,27,352,14,6,3,27412,4179,133,119,1162
0.5,160,84,20,384,15,3,3,27896,3836,149,132,1450
0.75,228,124,34,546,21,4,4,41546,6143,224,191,2038
1,330,135,46,713,33,6,7,55953,7877,270,263,2866
3,872,491,180,2300,103,3,18,158729,21004,902,728,8782
3,1062,509,128,2114,80,5,21,164439,21896,915,715,7101
2,570,339,76,1559,69,7,13,109048,16368,524,501,5985
2.5,887,375,116,1973,60,4,17,135600,19132,688,665,6163
1.75,507,259,68,1256,44,5,9,91242,14624,467,405,5161
1.75,608,289,81,1254,53,6,11,99580,13084,506,451,4710
1.5,440,246,61,1188,39,3,8,82673,11477,394,360,3810
2,627,314,95,1533,67,5,10,109517,14261,555,495,5226
0.75,254,98,29,589,20,7,5,41549,5740,198,175,2244
1.25,418,198,51,900,43,6,9,69316,10549,334,292,3089
1,309,121,47,758,31,4,6,55025,7062,303,242,2922
2,640,256,98,1589,59,4,12,113769,16527,599,484,5738
2.5,896,317,113,1910,88,6,13,137802,18222,674,580,6573
0.75,268,121,37,555,24,4,4,41785,5872,212,177,1842
2.5,777,412,92,1892,67,6,17,138546,19268,677,580,7387
1.75,548,227,94,1244,61,5,11,97959,12538,536,423,4677
3,1026,400,166,2149,96,7,20,166073,21291,830,730,8655
1.25,418,167,59,940,42,7,8,65801,9946,325,291,3601
0.5,135,84,26,359,13,7,3,27143,4130,133,121,1186
1,292,141,59,743,25,5,6,52295,7076,278,239,2473
2,690,313,110,1492,49,7,14,105361,14217,546,523,5981
1.75,569,237,105,1351,62,7,9,98399,12740,534,452,4512
3,827,508,177,2258,92,6,16,161797,24063,880,736,7258
0.75,199,92,44,592,21,3,4,40016,6311,201,177,2137
1.75,610,276,64,1239,52,3,10,96848,12602,466,419,4315
3,827,485,165,2113,78,3,17,157901,23877,884,796,7818
1.75,500,233,83,1312,48,7,11,91002,14193,536,456,4986
0.5,154,70,19,378,15,5,3,26663,3690,141,133,1274
1.25,427,170,64,957,45,5,7,69648,9384,368,317,3479
3,940,405,159,2287,85,6,18,167152,25612,793,711,7727
0.5,176,85,18,363,18,7,3,26366,3581,148,127,1323
0.5,167,64,27,384,16,4,3,26732,4289,132,131,1157
1.5,407,182,65,1154,52,4,9,78180,11050,423,372,4020
3,838,470,114,2266,97,5,21,169970,22567,809,763,7301
1.75,560,284,67,1310,52,7,9,99301,12904,482,432,4363
1.75,457,287,85,1305,51,7,9,96863,12846,477,409,4312
1.5,538,242,64,1185,47,3,8,78802,11706,406,352,4438
1,357,123,57,703,36,7,6,53301,7753,269,266,2494
0.75,209,94,33,536,22,3,4,40728,5921,197,179,1727
1.5,417,240,72,1168,39,4,10,82577,11759,452,378,4448
0.75,212,101,33,582,20,4,4,42720,5760,207,181,2010
1,306,134,47,714,35,6,6,56216,7791,309,231,2305
1.75,569,216,63,1339,61,5,11,97649,13017,526,448,4145
3,789,375,156,2364,79,5,16,168418,25484,840,797,7121
2.5,840,323,106,1815,84,6,14,136819,20312,651,667,7396
1.5,402,244,83,1121,48,3,9,83882,12100,399,360,4077
3,884,370,133,2244,88,5,17,169498,24804,927,696,7526
1,330,136,49,766,30,4,6,54457,7794,278,247,2413
1.25,351,176,54,930,43,4,7,67463,10013,358,313,3031
0.75,197,111,28,553,26,4,4,41736,6117,218,193,2151
3,790,437,176,2275,107,4,19,164053,21671,791,746,7849
2,542,284,119,1430,53,7,14,104501,16945,557,466,4810
2.5,715,346,128,1989,73,3,16,132395,18590,656,643,7027
0.75,224,105,37,534,20,5,4,41722,6437,212,189,2131
1.25,368,191,49,959,37,5,7,66854,10479,367,309,3307
2.5,725,325,137,1957,77,5,15,134015,20589,701,648,7460
0.5,136,72,30,382,17,6,3,26640,3997,154,133,1326
0.5,155,65,25,382,18,5,3,26062,3761,150,121,1244
2,603,245,103,1483,51,6,10,107592,17126,591,532,5117
0.75,267,125,29,597,22,4,4,41700,5705,211,196,2226
1,347,140,39,789,30,6,6,52510,7900,296,244,2631
