Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
0.75,751,265,126,85,5125,6,6736,4,47706,11,7099,1580
1.5,1762,643,243,119,9541,12,12100,6,94026,22,14100,3125
2,2038,836,329,168,13688,16,19822,4,117260,24,18944,4353
2,2163,733,252,188,14599,14,18564,3,123896,23,19026,3863
1.5,1441,570,224,121,9261,11,14800,5,92652,23,14811,2962
2,1848,779,316,219,13690,16,19992,3,118393,27,18425,3909
2,1807,867,349,165,14462,16,18761,6,127751,35,19377,3797
2,1440,869,353,226,13749,15,19710,5,129208,30,18729,4131
1,848,370,160,111,5918,7,9296,6,62186,13,9425,1961
2.5,1892,1016,358,215,15157,19,22688,3,163024,30,23109,5446
1,1021,424,168,116,6019,8,8991,6,58593,17,9629,1881
1.25,1295,444,217,154,7730,10,11004,4,75119,16,11880,2701
2,1452,723,275,247,14196,15,18092,5,117538,27,18970,4376
0.75,710,290,103,59,5009,5,6425,5,46531,10,7142,1581
1.75,1709,621,211,179,12010,13,14491,3,101474,27,16375,3360
3,2517,1298,529,254,19233,24,28241,4,183698,45,29488,6396
3,2351,1174,412,245,19714,23,26935,4,171652,39,28514,6247
1.5,1701,669,251,115,10811,12,14377,4,85581,21,14048,2941
2.5,2907,959,406,206,14913,20,23254,4,150843,39,23592,5096
3,3417,1292,386,242,20820,23,29672,5,187646,38,28245,5731
1.25,892,516,189,99,9020,10,10391,2,76425,22,11549,2436
3,2806,1055,396,377,19152,22,25938,5,190652,46,28358,5934
1.25,1227,497,162,102,8128,9,12213,2,76263,18,12204,2377
0.5,370,193,70,58,3540,4,4958,5,30819,9,4872,1096
1.5,1725,674,259,128,9714,12,12518,3,84163,20,14147,3143
2,2061,830,245,232,14590,15,17722,3,124155,32,18963,4154
1.5,1466,667,263,153,10141,12,12753,4,92450,23,14175,2928
0.75,551,263,102,78,4463,6,7196,2,49485,11,7133,1469
2.5,2558,916,328,304,16926,18,22194,5,152985,41,23728,4774
1.5,1326,629,234,117,10129,11,14978,5,91262,27,14481,2946
0.5,361,191,86,55,3521,4,4799,6,30446,6,4657,1063
1.25,954,522,220,133,7898,9,10007,3,71448,22,12090,2460
2.5,1912,945,336,256,14250,18,23781,3,142790,40,23527,5038
1.75,1583,687,263,208,10395,13,14879,4,103394,28,17053,3744
1,743,426,139,103,7194,7,9140,4,60237,14,9660,2034
1,855,399,163,96,6552,8,8026,4,60869,17,9782,1964
0.5,379,186,76,48,3630,4,4584,3,32323,8,4922,1002
0.75,711,303,116,93,4446,6,7275,3,45585,10,7258,1424
0.5,513,189,78,60,3191,4,4580,4,32297,8,4892,944
1.5,1124,579,206,114,9216,11,14174,3,97893,24,14703,2837
1.75,1918,617,290,158,10836,13,16356,5,104478,31,16722,3679
0.5,409,177,65,40,2807,4,4844,3,31243,7,4912,1065
2,1575,746,274,213,11825,15,19837,4,124581,28,18867,3860
1.25,935,440,209,144,8364,9,10221,6,70139,18,12296,2638
2.5,2062,1124,401,223,18025,19,20319,6,163914,38,24294,4778
1.5,1781,642,204,156,8878,12,13283,4,91362,17,14271,3272
1,855,395,145,120,7034,8,9649,6,58638,18,9755,1886
1.5,1461,538,183,174,8706,11,12565,3,97622,17,14340,2908
3,2572,1156,407,292,17554,21,29161,5,175904,50,29030,6073
0.75,643,281,121,58,5412,6,6614,2,48448,11,7341,1582
1.5,1331,618,255,188,10906,11,13427,5,97276,19,14815,2929
2.5,2256,1113,406,243,14226,20,21562,6,156553,42,23067,5387
1.25,1331,553,151,106,8513,10,12460,4,75295,17,11708,2502
0.5,362,190,70,43,3077,4,4206,6,30916,6,4610,1038
3,2324,1335,393,274,20807,23,26724,5,182439,51,28478,6364
1,905,360,154,104,5957,8,9683,3,58835,12,9360,2189
2,2108,878,288,187,13458,15,19745,2,125800,35,19499,3853
2,1938,777,256,184,13702,15,16571,3,125670,28,19427,4360
1.75,1457,725,275,187,12086,13,14661,6,107965,20,16889,3437
1.5,1394,561,221,121,8873,11,12665,3,98298,26,14218,2912
1.25,1333,526,175,111,7712,10,12100,3,80068,14,11901,2489
0.5,446,192,62,62,3567,4,4147,6,31388,9,4738,1077
1.75,1300,720,306,174,12273,13,15397,5,103256,29,17023,3746
1,701,381,124,77,6641,7,9739,2,64695,13,9381,2050
2,2207,875,319,206,13180,15,17049,4,130114,26,19297,4141
1,713,370,149,101,5793,7,9421,4,61634,11,9787,1929
3,3109,1242,485,229,16876,22,28210,3,190402,50,27742,5803
2.5,2710,931,389,218,17300,18,24295,4,158121,31,23180,5017
1.5,1229,570,221,176,9036,12,14174,5,86209,27,14353,3244
1.5,1550,606,195,133,8605,12,14858,6,84996,24,14396,3001
1.75,1259,674,216,207,12372,12,17345,3,104086,28,16954,3671
0.75,724,332,125,73,4250,6,7315,2,49174,10,7234,1637
1,796,368,169,100,7119,8,9981,6,64546,15,9637,2177
1.75,1999,742,274,146,10255,14,16686,2,107955,23,16975,3534
1,702,355,172,77,6225,7,8618,4,65723,11,9282,1919
2,2276,871,347,206,14245,16,18457,2,127530,28,19620,3934
1.5,1680,633,222,115,10006,11,12759,5,98287,20,14379,3017
1,756,383,156,98,6738,8,8887,4,57882,17,9353,2171
0.5,466,188,61,58,3480,4,4210,5,31217,8,4616,1003
1.75,1753,625,216,199,9871,13,15132,6,106399,25,17289,3804
0.5,485,213,78,55,3315,4,4917,6,28594,7,4650,1082
1,1014,423,138,82,5749,7,8689,4,62647,17,9557,2057
1,1125,395,120,121,6299,8,9073,2,61001,17,9713,1943
1.75,1934,762,296,138,11396,13,16021,6,102058,24,16322,3694
0.5,413,194,81,61,2892,4,4020,3,29928,7,4635,995
1.75,1325,613,280,177,10761,14,15921,4,109358,27,16794,3703
2.5,2262,925,332,252,16373,18,23121,3,155025,31,24318,5136
2,2318,802,297,221,14519,16,19446,4,131371,27,18422,4395
1.5,1262,595,205,170,8986,11,12043,2,97368,21,14816,3083
0.5,562,222,67,45,3143,4,4256,3,29816,6,4894,1041
1,947,417,152,108,6563,8,8359,6,65660,12,9552,2076
1.5,1399,630,265,131,9436,12,12957,5,86481,25,14647,3048
2,1473,817,278,173,13766,16,19605,4,112213,25,19678,4183
2,1435,822,309,205,14078,15,17428,5,112380,26,19047,3886
1.75,1441,666,220,135,12487,13,16329,3,115205,22,17217,3718
2.5,2963,883,338,206,17430,19,20487,5,144542,39,23811,4901
1.75,2053,760,233,157,12419,13,14642,6,106282,26,16729,3538
0.75,892,268,123,76,4602,6,7058,2,47921,9,6908,1584
2,2315,751,294,184,11832,15,16870,3,120259,25,19271,4146
1.75,1889,686,216,179,10617,14,14880,2,112276,24,16992,3576
1,1020,360,141,88,7026,7,8891,4,58828,13,9255,1886
1.5,1359,551,255,117,10841,12,14266,2,91190,26,14244,2965
3,3010,1121,503,274,18018,22,29083,6,181995,44,28348,5689
3,2374,1101,443,253,19218,23,25892,5,184808,39,28745,5798
0.5,376,195,78,42,2894,4,4200,2,29533,6,4714,1094
3,3360,1237,505,373,18629,22,27272,5,192572,46,29414,5966
0.5,443,183,71,53,3110,4,4012,5,31360,8,4793,1012
1.5,1589,619,226,130,8434,12,13002,2,87792,25,14609,2893
0.5,497,188,67,42,3446,4,4483,5,29577,8,4698,986
2,1606,752,340,236,12849,15,19140,4,131856,33,19356,3782
1.5,1527,595,190,141,10089,11,12402,3,97865,26,14575,3080
1.25,1105,502,171,113,8117,9,10985,3,75128,21,11635,2739
2.5,1897,1106,363,193,16320,20,21554,5,144457,33,23575,5109
1,851,392,124,108,6228,8,9286,5,60570,18,9811,1931
3,3302,1068,450,230,16936,22,29233,5,176054,41,28532,6342
0.5,413,187,90,56,2826,4,4773,2,30228,8,4856,999
3,2272,1288,366,232,17553,22,25821,2,184649,48,28777,6359
1.25,1244,459,204,148,7152,10,10809,5,76916,14,11871,2468
3,3178,1167,410,343,17626,21,25532,3,197206,42,28535,5934
1.25,1451,439,151,150,7563,10,11864,5,72309,17,11689,2647
1.75,1623,756,271,145,10088,13,14425,3,99661,21,16845,3390
2,1921,845,306,201,11490,15,16516,2,112078,26,18807,4390
0.5,538,180,72,60,2924,4,4964,2,32405,7,4760,996
0.75,738,271,108,92,5155,6,6161,4,46297,9,7122,1447
1.5,1074,560,223,132,9655,11,14133,4,92221,17,14843,3273
0.5,416,216,67,59,3474,4,4392,4,31770,8,4884,1082
1.75,1361,777,293,184,10410,13,17237,4,98208,31,17286,3711
1.75,1365,726,213,203,10289,14,16954,2,115023,28,16629,3462
1.25,1274,522,158,99,7513,9,11274,5,82030,20,11834,2581
1,1051,359,162,109,5962,7,8985,2,57239,18,9658,1883
1,909,404,167,96,6398,8,8730,5,63834,15,9489,1955
1.75,1443,651,269,148,10739,13,16800,6,114184,25,16459,3324
1,788,397,180,97,6675,7,8306,6,64614,15,9335,2144
1.5,1574,566,237,147,9701,12,14104,4,98117,17,14386,3249
1.25,1144,461,221,97,7905,9,11691,5,74773,16,11990,2432
1.25,1237,550,219,142,8571,9,11502,2,72288,19,12190,2714
0.75,719,316,105,58,4333,6,6578,5,43927,10,7203,1561
1.75,1417,781,233,179,12313,13,17054,2,110623,29,16802,3828
1.5,1340,674,262,154,8805,11,14926,2,90699,23,14381,3063
1.5,1278,597,192,121,10791,12,14088,3,85641,20,14625,2927
1.5,1688,557,256,133,8778,12,14555,4,85425,25,13807,2905
2.5,2736,1062,381,218,14236,19,22422,4,143470,42,23066,5270
1.25,954,488,180,120,7503,10,12316,6,76258,21,12240,2527
0.5,600,204,71,40,3135,4,4437,4,32716,6,4781,1013
1.25,952,468,174,115,7593,10,10109,2,75797,18,11967,2670
2.5,2704,883,387,297,17253,20,22055,5,145347,34,24271,4920
3,2748,1137,387,316,20888,22,29717,5,196265,47,29440,6532
0.75,660,288,91,69,4350,6,6194,5,42044,9,6972,1591
2.5,1880,959,394,307,15229,20,24870,5,150378,42,23139,4791
2.5,1930,1069,380,213,17227,19,22693,3,144534,40,23219,5052
1,832,393,150,107,6157,8,8488,2,58222,16,9433,2018
2,2072,790,287,246,13489,16,18322,4,115617,26,19539,3914
2,1596,879,339,169,13910,15,16788,4,130467,23,19273,4002
0.75,825,291,112,84,4821,5,6856,5,46793,10,7199,1427
2,1662,781,318,235,13677,15,16384,5,120212,32,18747,3919
1.5,1054,541,211,171,9046,11,13756,6,89710,17,13916,3050
2.5,2007,886,450,261,16074,18,22596,2,159454,28,24649,4740
1,1143,439,155,116,6008,7,9772,5,60050,13,9283,1934
2.5,1949,970,309,192,14448,19,23915,5,157126,33,23367,4971
0.75,819,316,132,73,5317,6,6113,2,46181,9,7054,1605
1,1052,362,167,97,5747,7,8559,2,57085,14,9764,1969
0.75,818,263,115,78,5240,6,6663,2,47414,12,7123,1532
1.5,1733,609,225,139,8780,11,13761,5,96699,19,14221,2971
0.5,482,191,77,39,3342,4,4677,2,29349,6,4791,988
2.5,2121,1075,393,255,14574,19,23992,3,155051,45,24153,5193
2,1692,746,323,244,12288,15,19726,2,117293,27,19218,3864
0.75,732,315,131,66,4613,5,7211,4,46642,10,7218,1577
3,2738,1252,396,348,20278,22,24659,4,183142,44,28565,5801
1.75,1376,761,306,154,9885,14,17474,3,115169,21,16780,3841
2.5,2897,1034,319,284,16674,18,20604,4,163592,35,23486,5192
2.5,2284,1086,430,283,16381,19,23006,6,159877,41,23086,5458
0.75,620,325,100,83,4500,6,7411,2,46178,10,7353,1589
0.75,872,286,107,75,4261,6,7416,6,45302,12,7136,1636
2.5,2561,1060,392,237,17272,19,22186,5,145345,43,23240,4745
1.75,1624,699,233,201,11408,13,14203,5,111698,27,16815,3296
1.25,1149,460,199,100,7122,9,12166,3,72117,17,11793,2509
2.5,2303,1018,369,235,15522,19,24023,5,145581,36,23528,5064
1.75,2038,637,212,200,9897,14,16462,4,108509,31,16160,3349
1,1157,397,161,79,6946,8,8682,6,63012,18,9363,2162
3,3375,1196,438,369,19661,23,27691,6,182365,37,27604,5865
3,3286,1209,441,296,20577,22,29996,3,189059,48,29170,6201
0.5,365,218,80,50,3365,4,4532,6,29886,6,4689,982
2,1725,810,333,171,11299,15,18103,6,117779,27,19108,4274
0.75,787,322,95,61,4245,6,6747,6,42632,9,7218,1516
0.75,566,297,112,72,4253,6,7177,4,47495,12,7091,1567
1.5,1462,633,222,180,9939,11,14134,4,98522,17,14645,3026
1.5,1784,590,240,126,9368,11,13633,2,94215,26,14174,3286
1.25,1214,545,200,110,7864,10,11906,3,80090,19,11512,2540
1.75,1968,765,308,204,12318,14,14131,4,100811,31,17239,3381
1.75,1621,651,304,173,12475,14,14997,2,98675,28,16946,3579
2,2051,813,262,184,14539,15,17874,6,124455,35,19237,4345
1,997,423,175,76,6128,8,9170,4,60366,17,9860,1952
3,2668,1132,490,367,17601,23,25321,6,175273,48,28466,6117
2,1659,830,272,241,12403,15,17534,4,126911,23,18443,4177
0.5,373,209,78,55,2932,4,4580,5,31352,8,4849,1065
2,1725,748,329,173,12424,14,19130,6,114434,24,19495,4360
3,2928,1245,502,302,18653,22,24877,5,179631,38,29187,6433
1.75,2008,663,243,209,10279,13,17180,5,102767,31,16203,3841
2,1926,899,360,238,12306,15,17154,2,112031,32,19131,4296
2,2348,786,301,205,14507,15,17353,3,117025,27,19560,4161
2.5,2266,1025,322,274,16593,20,21660,5,141209,43,23063,4957
3,2443,1287,491,311,21802,22,24115,4,197002,51,28251,6483
3,2329,1066,537,331,19104,22,25283,5,188144,43,27867,5810
2,1479,794,343,241,12574,15,17427,4,127949,22,19709,3940
1.5,1738,600,223,143,10870,12,14805,5,92659,22,14289,2930
1,1144,373,142,115,6444,7,8643,3,56049,14,9254,1917
1,891,430,133,82,6735,8,8976,6,63192,12,9337,2060
1,860,403,176,90,6032,7,8350,4,58979,18,9712,1906
0.75,819,276,113,69,5333,6,7166,2,49034,11,7112,1567
0.75,898,264,108,86,4964,6,6902,2,44204,12,7322,1427
0.75,869,325,133,73,4832,6,7218,4,45249,9,7200,1571
1.5,1601,667,244,169,10920,12,14561,2,97621,18,14256,3014
1.5,1372,613,268,168,9104,11,14148,4,95626,21,13995,3292
1.75,1585,679,296,162,12283,13,14000,3,108469,27,17117,3535
1.25,1023,514,188,128,8283,10,10147,6,73953,22,11722,2366
2.5,2232,897,429,304,14341,20,20173,4,154598,30,23197,4924
0.75,647,313,105,65,4518,6,7191,2,44675,9,6975,1460
1.25,1265,558,213,117,7871,10,12316,6,78410,14,12371,2533
2,1401,706,271,164,12835,14,17622,4,116446,26,19168,3926
1,757,436,125,77,6707,8,8926,5,64215,15,9727,2066
2.5,2590,879,309,217,16599,18,20471,6,156597,37,23827,4706
1,828,424,167,113,6147,8,8397,3,58831,17,9772,2195
1.5,1242,607,244,174,10218,11,13947,6,98894,20,14575,2858
1,714,440,144,103,6833,8,8791,3,62487,17,9828,2013
3,3450,1100,452,235,17709,22,24224,6,180726,50,27904,6319
1.75,1806,644,290,209,10443,14,14714,5,114712,28,16525,3607
3,2810,1163,524,291,20398,21,25154,3,184544,44,29308,6121
1.25,1233,542,189,121,8955,9,12241,3,72953,20,11630,2653
2,2159,769,303,207,11755,16,19908,3,129348,33,19590,4370
3,3031,1155,536,341,19189,22,27901,4,172592,42,27638,5815
3,3299,1119,526,261,17407,22,29062,3,171354,42,28828,6037
1.25,1323,497,170,136,8210,9,10364,3,70640,16,11550,2588
1,992,425,174,87,6388,8,9551,2,63085,17,9211,1917
1.5,1624,664,181,121,8859,12,13212,5,89809,17,14364,3287
2.5,1817,934,437,213,17766,19,23686,5,152265,29,23942,5482
0.5,498,205,80,52,3204,4,4325,5,31020,7,4631,1037
2,1623,829,274,207,12210,15,18529,3,129507,34,19119,4001
0.75,660,312,109,65,5031,6,6382,5,48477,10,7181,1582
1.5,1419,632,267,150,9776,11,12897,2,89803,25,13987,3132
1.5,1445,548,190,126,9061,11,12895,6,90929,18,13861,2969
2,1961,793,341,172,13722,15,18493,5,131416,28,18546,3783
2,2048,888,310,202,13734,15,19165,3,113846,35,19749,4357
0.75,859,271,123,79,4608,6,7277,3,42931,10,7034,1630
0.5,426,215,66,54,3007,4,4388,3,31469,8,4855,1008
0.5,563,205,61,42,3246,4,4448,5,28292,9,4647,1080
1,1148,442,164,125,6498,7,8247,4,62091,12,9680,2191
1.5,1423,526,258,143,10560,12,14157,4,84537,24,14674,2869
2,2279,743,326,217,12232,16,16548,3,131673,25,19366,3863
1.5,1714,592,253,127,10122,11,13461,3,96029,22,13980,3055
1.75,1960,748,264,179,12641,13,14701,5,98687,27,16901,3622
1.5,1118,533,262,141,10345,12,13733,6,90529,24,13871,3123
2,2372,760,272,205,12843,15,16712,6,130038,27,19197,3946
1.5,1443,556,195,145,8524,11,12215,6,94174,17,14617,3083
1.5,1669,631,182,181,10601,11,12663,2,91878,18,14430,3014
1,1150,417,142,113,6505,7,9312,6,56004,17,9589,1911
1,883,397,151,123,6327,8,9447,5,58595,17,9896,1987
2,2049,709,324,203,14422,15,18370,3,127468,24,18477,4261
0.75,530,281,93,70,4381,6,6336,6,47271,9,6920,1449
2.5,2644,1023,319,233,14762,18,24987,4,156967,39,23008,5485
1.75,1676,716,228,204,11541,13,16070,2,99615,26,17047,3489
1,923,399,149,101,6012,8,9553,5,59732,16,9413,2006
0.5,594,202,70,47,3353,4,4353,4,32666,7,4708,1059
2,1422,830,321,176,11742,15,19461,5,114404,34,18495,4190
0.5,552,186,66,62,3186,4,4332,6,29098,6,4943,997
3,3010,1342,368,286,17387,23,27431,5,187007,53,27948,5805
1.25,1332,491,217,153,8186,10,11880,2,78524,21,12023,2609
1,1097,374,135,95,5811,8,8449,6,63936,14,9556,2027
1.5,1298,543,207,175,9249,12,14924,6,94939,24,13854,2889
1.25,1010,519,205,128,8719,9,10368,5,72673,22,12061,2384
1.25,1077,497,209,123,8331,9,11248,6,80079,16,11782,2613
1.75,1280,744,221,153,10014,14,17212,4,106106,26,16892,3642
2.5,2733,1110,303,205,18127,18,21262,3,142393,29,24698,4710
1,870,375,140,107,5756,7,9244,5,65910,11,9862,1902
2.5,2815,1038,442,214,16738,19,20900,6,154448,41,23228,4879
1.5,1308,608,256,142,8931,11,13549,6,88465,21,14373,2999
1,935,406,133,104,6462,8,9234,4,60933,16,9642,2117
1,929,392,138,78,7067,8,8547,2,59251,18,9784,1978
0.5,433,185,78,54,2975,4,4448,6,32873,6,4896,1001
3,2831,1234,532,291,18792,22,29145,4,171148,39,27715,6095
0.75,850,273,102,71,4548,6,6571,6,46291,9,7188,1423
1.5,1192,567,229,136,9126,12,14759,4,91740,25,14448,2942
0.5,581,222,82,46,3336,4,4273,5,29043,6,4863,1017
0.75,747,293,118,76,5281,5,6734,3,43163,13,7064,1631
0.5,491,183,80,55,3000,4,4966,6,32655,6,4898,994
3,2161,1176,480,275,17961,23,26712,4,194784,35,29089,6552
3,3111,1342,539,296,19867,24,25799,6,194897,43,28933,6459
0.5,419,186,73,51,3034,4,4270,5,32077,6,4700,1036
2.5,2471,926,332,256,15413,20,20991,2,141601,38,23334,5219
2.5,1767,1119,341,261,17847,19,22990,3,144285,31,24576,5008
2,1794,761,350,179,14170,14,18024,5,112674,33,19560,4047
1.5,1385,624,236,133,10171,11,12728,3,93714,21,13862,2834
0.5,533,202,90,45,3328,4,4220,3,29021,9,4684,1059
3,2257,1098,462,328,18776,24,28534,5,185086,52,28075,6350
0.75,548,279,111,72,4444,6,6008,3,44975,9,7370,1485
3,2942,1113,495,301,21759,22,24417,4,192738,52,29469,5645
2.5,2685,1070,388,299,18196,20,21471,3,162626,42,24332,4964
0.75,851,327,98,89,4613,6,6780,2,45888,9,7105,1550
2,2193,854,292,230,12370,14,19985,2,116077,35,19412,4360
2.5,2479,1001,389,281,17729,18,23580,6,160119,37,24356,5130
2,2126,893,336,240,12852,15,19421,3,129491,31,19547,3840
2.5,2251,999,410,236,15873,19,24539,6,160676,30,24595,5296
1.75,1965,670,236,151,12220,13,15676,2,107097,23,16458,3662
3,2782,1117,470,347,19125,22,27599,5,185556,34,28500,6115
0.75,844,278,114,58,4566,5,6512,4,44550,13,7141,1561
1.25,1325,550,191,97,7117,10,10174,6,72487,18,11892,2506
1.5,1702,649,194,186,9725,11,14592,6,92023,25,13803,3169
2.5,1778,1094,396,214,15749,18,24837,4,156553,40,24103,5399
1.75,1485,746,288,134,12054,14,16055,4,110073,28,17173,3345
2,1523,806,327,207,11825,15,19662,5,113969,23,19436,3951
3,2664,1232,374,258,17867,24,27561,3,176260,49,28044,6095
0.5,368,197,85,58,2882,4,4163,4,30172,8,4913,989
1,1121,372,169,104,7188,7,8372,3,64034,16,9300,2024
1.5,1623,594,217,173,9396,11,14711,6,90041,24,13909,3201
0.75,594,312,108,94,4496,6,6303,3,46309,13,7169,1582
2.5,2332,1112,331,313,15289,18,20116,5,152492,34,24347,5476
2.5,2283,1108,402,291,14763,19,23342,6,155306,42,23978,5057
2.5,2193,925,388,287,16021,18,23596,2,163749,40,23939,5272
1.5,1788,637,242,152,10783,11,14032,4,98478,20,14481,3272
2,1885,886,276,180,11462,15,17043,3,115437,28,19273,4011
0.5,434,221,82,40,3342,4,4868,5,30374,7,4866,990
0.5,369,199,71,47,3014,4,4525,5,31535,6,4775,948
1.75,1926,683,255,208,11255,13,17025,5,102403,23,16123,3811
1.25,973,479,174,154,9086,10,11477,4,72063,20,12171,2464
3,2291,1217,451,373,20761,24,29635,4,184127,40,28848,6265
3,2738,1260,521,337,20820,22,29211,2,189908,45,28026,6385
1.25,1348,552,195,98,8531,9,11766,4,73750,17,12098,2352
1,714,354,135,87,6549,7,9151,6,63296,15,9658,1890
3,3422,1099,483,238,19705,24,29182,2,168752,38,29396,6436
2,2388,747,349,229,14188,15,19131,3,124059,25,19267,4199
1.25,1051,539,159,97,7043,10,11262,5,76652,21,11675,2691
1.5,1436,651,199,129,9585,11,12712,4,90759,26,14428,2996
1,777,383,135,116,6364,7,9747,5,59766,11,9469,2195
1,1169,384,162,99,5777,8,9417,3,59424,16,9742,2028
2,1746,781,294,155,12126,16,19848,4,120012,27,19641,4317
1.5,1607,558,214,165,9179,11,14212,6,98701,17,14755,3169
0.75,731,292,112,73,4388,6,6683,3,45757,12,7176,1633
0.5,443,184,77,45,2831,4,4859,2,31144,8,4894,1003
3,2640,1293,529,311,19806,22,28404,5,181490,47,28540,5991
2,1718,709,312,169,11331,15,19979,3,130320,31,19361,3953
