Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
0.75,2,1,7,1,261,147,62,8,493,2,5,3,6,1,7493,6,3,41330,41330,2517,15069,11255,17379.8586
1.5,2,2,10,3,553,274,126,15,1110,3,10,5.7,6,2,14993,4,3,91794,91794,4776,29109,22012,33501.2986
1.75,2,1,15,1,751,384,170,14,1211,1,11,6,4,1,17498,6,3,106918,106918,4245,35471,25118,36243.7796
0.5,1,1,4,1,190,102,41,5,343,2,3,2.1,5,2,4560,5,5,30193,30193,1139,10308,7172,10122.312
1,1,1,6,3,409,203,81,9,711,2,7,4.5,6,1,10222,6,5,56309,56309,3030,20031,15109,22393.3444
1,2,2,10,3,415,183,102,12,702,2,6,4.5,7,1,10116,4,5,53103,53103,3579,20562,14805,24443.1032
0.5,1,2,3,3,189,115,56,4,371,2,3,2.4,4,1,4683,5,2,29536,29536,1218,10271,7175,10362.4566
1,1,1,4,2,361,223,84,12,719,3,6,4,6,2,10050,4,3,52892,52892,3523,20472,14353,23943.77
1.5,1,2,10,1,499,260,144,14,1055,2,10,6.7,7,1,15161,4,4,78975,78975,4051,32072,21734,32634.2722
1.75,2,1,6,2,653,358,137,22,1322,1,12,7,7,1,18372,7,2,104310,104310,4233,34802,25403,35393.4944
1.75,2,1,14,1,601,355,145,22,1168,1,12,7.1,6,2,16357,4,4,98834,98834,6262,35564,25106,41905.4914
1.75,2,1,14,2,706,307,219,15,1182,2,11,7.7,7,1,18452,6,2,101638,101638,4633,34039,25383,36572.3504
2,2,2,6,3,701,357,217,24,1386,2,12,6.5,5,2,19763,6,2,120106,120106,6691,42224,29944,47377.6926
3,2,1,17,3,1042,589,305,26,2180,3,19,11.6,7,2,32764,4,5,164820,164820,9837,63556,43314,70522.3928
1.75,1,2,9,2,780,361,136,18,1207,3,11,6.8,5,1,19005,4,2,103048,103048,5591,37135,26041,41439.841
1,2,1,10,2,446,183,114,11,660,3,6,4.2,5,2,10937,7,3,61983,61983,2453,20349,15158,20956.3274
2,1,2,17,2,800,372,241,17,1348,3,14,7.3,5,2,18618,5,4,123540,123540,6400,42744,29891,47258.1836
0.75,1,1,7,2,289,129,78,8,536,1,5,2.7,4,2,7024,6,3,39540,39540,2586,15023,10982,17701.7648
0.5,2,2,1,3,188,89,54,6,373,2,3,1.7,4,2,5108,4,2,28725,28725,1222,10093,7407,10262.6216
0.75,1,2,7,1,310,166,87,8,545,2,5,2.6,4,2,8209,6,5,41357,41357,1890,15447,11010,15868.3818
1.75,1,1,16,3,600,353,158,14,1183,3,11,7.8,5,1,17477,5,4,96863,96863,4540,35396,25893,36446.5954
2.5,2,2,16,3,1022,535,220,23,1873,1,16,10.4,6,2,23208,5,5,154842,154842,6079,50573,37089,51529.5816
1.25,1,2,6,1,540,240,118,14,833,1,8,5.7,5,1,11617,6,2,74582,74582,4446,25027,18947,30169.5434
0.5,1,1,2,1,176,108,51,6,330,2,3,1.9,5,2,4587,6,3,27200,27200,1775,10594,7103,12209.6774
3,1,1,19,3,1092,631,294,29,2257,3,19,14.2,5,1,32273,4,4,160820,160820,7001,62495,42990,61329.6546
0.5,2,2,2,3,203,111,58,6,326,3,3,2,5,1,5055,4,2,30052,30052,1578,9975,7510,11393.531
2.5,1,1,22,1,977,541,241,22,1675,2,17,11.4,6,1,23954,5,5,146292,146292,6011,51872,37939,51863.7508
3,2,1,22,1,1235,598,258,25,2162,2,18,10.6,4,2,30344,7,5,183631,183631,6557,59263,43245,58742.6888
0.75,2,1,6,1,271,142,69,9,554,3,5,3.6,5,1,8207,4,4,42764,42764,2581,15458,11290,17843.9214
0.75,2,2,5,1,307,157,86,10,534,2,5,3.2,4,1,7671,5,2,39861,39861,2315,16038,10723,17503.7942
2.5,1,1,19,1,873,477,267,31,1690,1,15,11.8,6,2,25698,4,2,133748,133748,8514,52145,35529,59365.5196
1.5,1,2,4,3,542,256,168,15,1052,2,9,4.9,5,1,15463,5,4,85146,85146,4070,32152,21913,32923.5126
1,2,1,4,3,382,186,90,13,715,1,6,4.8,6,2,9337,7,5,57173,57173,2462,20020,14980,20497.2274
0.5,1,2,5,1,197,101,38,5,373,1,3,1.6,4,2,5079,6,4,26548,26548,1757,9905,7410,11849.4958
0.75,2,1,3,2,266,129,63,8,534,1,5,3.7,4,1,8055,7,3,42155,42155,2123,15303,11220,16294.551
2.5,1,1,5,1,902,560,285,26,1741,2,16,8.4,7,1,26271,4,4,133111,133111,8151,49878,36908,57152.2342
1,1,2,10,3,342,205,99,11,699,3,7,4.5,7,2,10286,7,2,54418,54418,2291,20592,15008,20118.0572
0.5,1,1,3,3,201,105,40,5,325,1,3,2.3,5,2,5249,7,3,27882,27882,1326,10271,7211,10736.5298
3,1,2,16,2,1263,527,344,39,2053,2,19,12.1,7,1,32691,6,4,156061,156061,6607,60806,45194,60010.9982
0.75,2,1,2,3,292,139,61,6,511,3,5,2.5,4,1,7942,5,4,44010,44010,1649,14901,11102,14702.2084
2,1,2,10,2,766,402,178,20,1391,2,13,7.1,4,2,21855,6,2,121992,121992,5738,40020,29260,43469.231
1.75,2,1,7,3,648,322,160,20,1200,2,11,7,6,1,18826,7,4,91895,91895,3897,35369,25187,34641.2852
1.75,1,2,13,3,622,389,143,23,1266,3,11,8.1,7,2,18739,7,5,105624,105624,4968,37351,25655,38935.1278
3,2,1,13,1,1046,583,332,39,2113,1,20,14.6,7,1,32536,7,2,184633,184633,10797,59176,43426,71245.6272
0.75,2,1,3,1,319,129,72,7,501,2,5,2.8,7,2,6920,4,5,41963,41963,2141,14668,10953,16268.204
0.75,1,1,4,2,249,171,90,8,553,2,4,2.5,5,2,7972,5,5,40767,40767,1662,15362,10744,14835.2744
1.25,2,2,11,1,490,216,100,15,921,3,8,5.6,5,2,12913,5,3,70509,70509,3073,25097,18226,25670.8026
2,1,1,6,3,797,387,236,26,1427,1,13,9.8,6,1,21716,6,2,110128,110128,6121,39460,29526,44617.4032
1,1,2,7,3,433,199,111,8,739,2,6,3.8,6,2,10766,4,4,53689,53689,2858,20238,14791,22100.4532
2,1,2,9,3,753,428,240,20,1500,1,12,8.7,7,1,19077,4,5,113917,113917,5640,41763,30264,44155.0354
1.75,1,1,7,1,603,334,157,15,1251,3,12,6.8,4,2,18856,7,3,100146,100146,3948,34451,25367,34093.7312
2.5,1,1,23,1,986,566,254,27,1627,2,16,12.2,5,2,23618,7,2,134885,134885,7570,50039,37388,55790.5436
0.5,2,2,3,1,179,104,44,5,366,3,3,1.8,7,1,5284,6,3,26710,26710,1669,9963,7350,11553.2168
3,1,1,22,3,1238,607,305,34,2230,1,19,12,4,1,29222,4,4,161325,161325,8450,59503,44439,64878.9844
0.75,1,2,6,1,303,160,69,9,569,1,5,3,6,1,7486,6,2,39813,39813,1827,15158,10879,15475.3772
1,2,2,6,3,412,203,95,12,682,2,6,4.1,4,1,9173,4,5,61751,61751,2584,20857,14303,21454.4746
1.25,1,1,5,2,534,230,152,15,934,1,8,5.1,7,1,11702,4,3,69625,69625,4341,25042,18636,29873.7004
3,2,1,9,3,1191,565,241,29,2252,3,20,14.1,5,1,32805,6,4,168767,168767,7476,62351,42884,63113.681
1.5,2,2,8,1,524,268,158,18,1107,2,10,5.1,7,2,15759,5,5,87567,87567,3814,30092,22460,30942.1518
2,1,2,13,3,773,410,158,22,1433,2,12,8.3,4,2,20110,6,2,111916,111916,5754,39804,30232,43410.142
0.5,1,1,4,1,168,112,45,5,375,3,3,1.7,6,2,5164,7,4,26806,26806,1763,10071,7484,11850.0528
0.5,1,2,3,1,211,112,42,6,355,2,3,2,5,2,5391,5,3,27054,27054,1624,10641,7156,11911.5582
1.5,2,1,7,1,496,276,120,14,1026,2,9,6.2,7,2,15556,5,2,89991,89991,4082,31576,22754,32404.2912
2,1,1,20,1,696,367,200,19,1327,3,13,9.5,7,1,20052,6,3,104017,104017,4616,41169,29869,40340.9704
1.75,2,2,16,1,625,339,211,22,1262,2,12,7.3,7,2,16232,7,3,96975,96975,4285,34153,24990,35178.9264
3,1,1,28,2,1220,609,355,35,2148,1,20,11.5,4,2,28610,4,4,183068,183068,9783,59007,43255,68760.282
0.75,2,1,4,3,258,161,90,8,503,1,5,3.6,5,1,7059,5,2,39481,39481,2013,15694,10759,16169.8718
1,1,2,9,1,376,201,119,11,652,2,6,3.9,6,2,9028,7,2,61125,61125,2809,21241,14288,22243.0856
3,1,1,13,1,1265,672,378,30,2193,2,19,14.4,4,1,28499,6,5,160333,160333,9192,58481,45073,66891.0598
0.75,1,2,4,1,253,159,65,8,507,3,5,2.9,7,2,7791,5,2,45027,45027,2521,14969,11118,17312.2182
1,2,2,9,2,331,221,104,9,712,2,6,4,5,2,10930,4,2,56091,56091,2515,21006,15166,20972.386
2,2,1,20,2,744,402,235,20,1400,1,14,6.9,6,1,18429,4,4,117260,117260,5267,39363,28853,41640.6858
2,2,2,7,2,740,355,187,17,1312,2,12,6.5,4,1,20089,7,2,111259,111259,6102,42090,29714,45597.6378
0.75,2,1,7,2,285,132,64,9,559,1,5,2.7,7,2,7971,4,3,39252,39252,2672,15650,10671,18290.2542
1.5,2,2,11,3,637,325,136,18,1005,1,10,5.7,4,1,14260,4,3,80306,80306,4830,31914,22581,35569.492
0.5,2,1,2,1,175,110,46,5,338,3,3,2.1,7,1,5226,4,4,30782,30782,1424,9724,7360,10647.8252
1.75,2,2,8,3,702,305,187,14,1293,3,12,6.8,6,1,16656,6,4,94083,94083,6282,37197,25320,43355.5712
2.5,2,2,10,1,874,546,233,32,1799,2,15,11.2,7,1,23074,5,5,148641,148641,5896,51454,37280,50788.1748
3,1,2,23,1,1178,522,279,34,2020,2,20,9.7,4,2,31972,4,2,164650,164650,9386,59226,45038,67323.9344
1,2,2,4,1,382,200,124,12,714,3,6,4.7,5,2,10561,5,5,56549,56549,3458,21339,14275,24356.9322
0.5,2,1,1,3,205,92,40,6,359,3,3,2.1,6,2,4596,5,2,29634,29634,1225,10446,7351,10536.8192
0.5,1,1,4,2,188,102,56,4,351,3,3,2.1,5,1,4586,6,5,28631,28631,1767,9923,7300,11884.8372
3,1,2,29,1,1300,534,307,36,2162,2,20,10.3,6,2,27002,4,3,164570,164570,6888,61744,42629,61496.8204
2.5,2,1,16,1,955,496,265,27,1853,1,17,10,6,2,23847,6,4,141443,141443,5465,52117,36314,50207.6294
0.5,1,1,3,1,207,100,62,4,344,3,3,1.6,5,1,4941,6,2,26639,26639,1174,9811,7124,10063.0282
1.25,2,1,5,3,526,221,156,14,864,2,8,4.3,7,2,12733,7,4,71514,71514,3579,25377,18287,27637.8466
1.25,1,1,5,2,532,231,138,14,834,1,8,5,5,2,12162,5,2,71061,71061,4426,25721,18713,30464.9324
1.5,2,1,13,2,586,314,118,13,1129,3,9,5.1,5,2,15329,4,4,84668,84668,4711,30592,21965,34219.5258
1,1,2,6,2,367,226,104,9,706,1,6,4.7,7,1,9499,4,3,54715,54715,2871,20062,15146,21755.1798
0.75,1,1,6,2,333,170,63,9,519,2,5,3.1,7,1,7252,4,2,42375,42375,2697,14906,11085,18189.0104
1.25,1,2,12,3,468,251,147,11,914,3,8,5.9,5,2,12671,5,5,73426,73426,3681,25438,17784,27721.1942
2.5,1,2,11,1,825,523,191,23,1845,3,16,9.4,6,1,26501,4,2,142242,142242,5757,53573,36152,51205.3402
0.5,1,1,4,1,217,91,42,6,370,2,3,2.2,5,1,4570,7,3,26707,26707,1321,10067,7416,10683.514
1,2,2,7,2,397,230,101,11,714,2,7,3.7,4,1,10952,5,2,56269,56269,3075,20129,15033,22541.5304
1.25,1,1,10,1,508,248,142,11,853,3,7,5.4,6,2,12399,4,4,66695,66695,2884,24409,18449,24844.1998
0.75,2,1,2,2,278,137,59,7,571,1,5,3.2,7,1,7243,4,3,41405,41405,2458,15413,10652,17461.5086
1.75,2,1,11,1,605,397,138,22,1221,3,12,8.2,4,2,17796,4,5,96032,96032,4082,35018,24899,34820.3992
2.5,1,2,19,2,912,439,291,30,1711,3,17,10.9,4,2,23461,6,3,140099,140099,5977,52890,36797,52055.3322
2,2,2,17,1,809,404,210,26,1303,2,13,8.7,5,1,21321,6,2,105245,105245,5402,41752,29457,43615.4842
0.5,1,2,1,2,216,95,42,6,353,2,3,2.3,7,1,5455,6,4,27376,27376,1551,10016,7492,11382.551
0.5,2,2,4,3,223,95,40,4,358,2,3,2.2,7,1,4700,6,5,26198,26198,1532,10286,7181,11496.88
0.75,2,2,7,1,307,133,71,6,543,3,5,3.2,5,1,8202,7,3,42661,42661,2585,15363,10779,17965.7804
1.25,2,2,8,1,473,287,144,15,827,3,8,4.4,7,2,11444,6,4,66015,66015,3617,25085,17846,27349.1088
0.75,2,1,2,3,254,172,65,8,533,2,5,3.3,6,1,7405,4,4,41103,41103,2178,15399,11123,16477.741
0.75,2,2,3,3,253,159,71,6,495,1,5,3.1,4,2,7580,7,4,41325,41325,1715,15236,10910,14933.676
2,2,2,14,1,773,428,182,18,1449,3,13,8,5,1,21164,4,3,107629,107629,5221,41628,28440,42778.4528
1,1,2,3,3,447,197,102,13,740,3,7,4.8,4,2,9144,4,5,60716,60716,2272,20484,14749,20463.2088
1.75,2,1,7,1,595,366,211,21,1328,2,11,6.3,5,1,16811,4,4,91522,91522,5046,35370,25060,38045.6022
3,2,1,25,2,1157,620,306,29,2294,2,19,9.9,7,1,28523,7,4,181840,181840,8750,61621,43908,66591.8246
1.75,1,1,13,1,604,340,197,22,1238,1,11,8.4,4,1,18388,7,2,98568,98568,5238,34268,26595,38084.7176
1,1,2,7,2,447,226,84,11,681,2,7,3.2,5,2,9293,4,2,60796,60796,3234,20638,15098,23516.0386
1.25,1,1,12,3,507,254,117,15,918,3,8,5.4,7,2,12742,5,2,71859,71859,3656,25308,18926,27716.3284
0.5,1,1,4,3,192,114,52,5,341,2,3,1.8,7,2,4784,7,2,30876,30876,1353,10381,7467,10863.1968
1.75,1,2,4,3,686,324,171,22,1146,2,10,7.9,6,1,17222,7,5,106865,106865,5595,36019,25447,40475.8844
0.5,2,2,2,3,187,99,50,5,332,2,3,1.6,4,1,5348,7,2,30374,30374,1668,9937,7311,11559.8696
1.5,1,1,8,2,544,292,135,15,1085,1,10,5.3,5,1,15353,4,2,92222,92222,5378,30529,21435,36109.2306
0.75,2,2,7,1,283,160,63,8,517,1,5,3,6,2,6831,4,4,43480,43480,2201,15442,11073,16697.0462
1.75,1,1,6,1,715,391,207,23,1335,1,12,7.4,4,2,18677,4,3,103187,103187,3809,35311,25869,34708.2154
1.25,1,2,5,1,521,227,112,15,822,2,8,4.6,4,2,12419,4,3,66960,66960,3638,26503,18213,28333.8238
0.5,1,1,2,3,196,104,61,4,356,3,3,1.9,6,2,5349,6,2,30392,30392,1095,10578,7296,10189.0698
0.5,2,1,1,3,189,95,56,5,358,1,3,1.8,5,2,5252,4,4,27238,27238,1589,9949,7594,11344.6104
0.5,1,1,3,1,192,112,57,6,344,3,3,2.2,4,1,5440,7,2,29930,29930,1090,10577,7293,10141.148
0.75,2,1,3,2,262,163,79,7,505,1,5,3.1,4,2,7835,4,3,40927,40927,2021,15319,10850,15984.987
2.5,2,1,21,2,995,483,301,25,1848,1,17,10.6,6,2,26654,6,5,141980,141980,6681,49037,37662,52572.9108
1.25,2,2,9,1,502,257,150,11,934,3,8,5.3,4,1,11486,5,3,75490,75490,4157,24758,18755,28985.0572
2,2,2,11,3,766,377,192,19,1395,1,14,7,4,2,18483,4,4,107781,107781,6179,41427,29239,45629.5166
2.5,1,2,10,2,1122,532,273,26,1818,3,17,9.8,6,2,26738,6,3,152929,152929,7254,51542,35769,56245.8276
0.75,2,1,2,2,302,137,78,7,542,3,5,2.6,4,1,7106,7,5,44749,44749,2340,15441,11215,17218.3812
1.25,2,2,7,1,495,252,144,14,915,3,8,4.7,7,1,12434,4,2,72299,72299,3891,24942,18799,28226.6068
2.5,2,1,16,1,842,532,227,24,1881,3,16,9.5,6,1,26708,5,2,137021,137021,7293,50084,36761,54240.4416
1,2,2,8,2,449,181,114,10,703,3,6,4.3,5,2,9151,4,5,60349,60349,2354,20947,14818,20984.4102
2,2,1,8,2,823,356,203,18,1362,1,13,8.5,5,1,19365,5,3,110954,110954,4418,39799,29998,39538.453
0.75,2,1,2,2,323,133,58,8,537,3,5,2.7,4,2,7609,5,3,41018,41018,1968,14838,10912,15801.0218
1.25,1,2,12,1,414,213,154,15,836,3,8,4.1,5,1,12426,5,4,69802,69802,3210,24951,18101,25732.9052
0.5,1,1,5,1,199,104,44,6,340,3,3,2.2,6,2,4849,6,2,28291,28291,1776,10508,7471,12269.6698
0.5,1,2,4,2,171,90,38,5,328,3,3,1.9,5,1,5183,5,5,30253,30253,1202,10670,7433,10421.6166
1.75,1,1,11,3,749,387,216,23,1261,1,10,8.5,7,1,16304,7,3,94924,94924,5274,36752,26221,40232.1008
1.5,2,1,9,3,598,261,163,18,1073,1,9,5.1,4,2,14931,6,4,79110,79110,5218,31194,21767,36230.6662
3,2,1,29,3,1159,520,246,32,2143,3,19,11.7,7,2,27607,7,5,182711,182711,6740,58402,43284,58520.8214
2.5,2,1,19,3,1042,451,308,21,1765,1,16,8.6,7,2,22890,7,5,141688,141688,8414,51598,37765,59557.818
1.75,1,2,5,1,675,348,219,16,1332,1,11,8.3,5,1,18682,6,4,91569,91569,4572,36203,25841,37407.7964
1,2,1,5,2,385,223,90,12,744,2,7,4.7,4,2,9851,4,4,59218,59218,3243,21288,14214,23631.7902
2,1,1,18,2,730,447,195,19,1499,1,12,9.1,6,1,20520,7,2,118239,118239,6057,41442,30266,45118.284
2.5,1,2,23,3,911,491,207,27,1745,1,17,10.5,4,1,23705,5,5,153237,153237,7170,48778,35958,53440.141
2,1,2,5,3,891,378,193,25,1425,1,12,8.2,7,1,20936,7,2,111529,111529,5939,41110,30079,45287.4472
0.5,1,2,4,2,201,109,41,4,371,2,3,1.7,5,2,5462,6,4,29913,29913,1323,10239,7418,10705.5924
3,1,1,29,3,1307,683,351,26,2173,3,20,14.6,4,1,31318,7,5,177940,177940,6920,63272,43176,62556.1636
3,2,1,17,3,1306,537,325,29,2094,1,19,13.4,4,2,30344,7,5,185670,185670,10072,60368,43713,70749.5088
2.5,2,2,14,1,1088,514,245,24,1752,2,16,8.6,7,1,22942,7,2,142759,142759,6157,50402,36181,51998.6884
0.75,1,1,7,2,329,140,90,9,531,3,5,3.5,7,2,7383,7,2,43375,43375,2298,15998,10843,17553.5366
0.5,2,2,3,3,166,90,41,5,360,1,3,2.1,7,1,5285,7,4,30177,30177,1315,10239,7541,10536.877
1,1,2,8,2,434,181,83,12,740,2,6,4.8,5,2,9427,5,4,56901,56901,2173,19430,14230,19496.2254
1,2,2,7,3,398,229,87,10,703,1,7,4,6,2,9533,4,4,57105,57105,2221,19551,14881,19565.3266
0.75,1,1,2,3,324,139,78,9,537,2,5,3.1,6,2,7570,6,3,43060,43060,1616,15322,10810,15011.934
2.5,1,1,13,1,1079,523,287,31,1908,3,15,9.3,5,2,24934,5,2,149520,149520,7503,50818,36729,56425.0668
1.75,2,1,13,2,671,302,173,15,1293,1,11,7.8,7,2,16817,5,4,94164,94164,4132,37080,26349,36431.8034
3,2,2,20,1,1005,621,313,37,2266,1,20,13.1,4,1,32083,5,5,157462,157462,10125,62137,43466,70507.0966
1.5,2,1,13,2,583,286,186,15,995,1,9,5.2,6,1,14992,5,5,80164,80164,3536,29752,22149,30182.1784
1.5,2,2,11,1,497,302,167,15,1073,2,9,6.7,4,1,15990,4,3,87904,87904,4623,30846,21639,33754.678
2.5,1,2,15,1,1004,524,258,23,1742,3,15,10.4,6,2,26429,6,4,132719,132719,8325,53417,36566,60032.6858
1.75,2,2,10,2,679,400,178,15,1270,1,11,7.8,5,2,16491,6,3,92213,92213,4077,36413,26099,35938.6582
1,2,1,2,3,416,192,82,12,667,1,6,4.8,6,2,9131,4,2,56865,56865,2960,20355,15078,22375.2862
0.75,1,2,5,3,271,161,66,7,503,3,4,3.3,6,1,8139,5,3,44267,44267,2676,14882,11190,17820.2678
1.5,1,1,9,1,668,277,146,19,1075,2,10,6.8,4,1,15108,5,3,87721,87721,4465,30068,22244,33594.7016
0.75,2,2,6,2,317,131,69,10,543,1,5,3.5,7,2,7693,6,4,45032,45032,1809,15703,11040,15785.5186
3,1,2,20,1,1228,549,360,39,2162,2,19,11.9,7,2,27034,5,5,179056,179056,7680,61467,44348,63577.5668
2.5,1,1,6,1,892,556,299,30,1890,2,15,10.6,5,1,23931,5,5,153333,153333,8397,53674,37481,59942.8662
1.5,2,2,15,2,575,334,124,15,979,3,10,6.4,6,2,16133,7,3,92314,92314,4338,31706,22376,33645.9066
1.5,1,1,5,2,666,285,179,14,990,3,9,5.5,5,1,16278,5,2,78849,78849,5259,30330,21607,36233.0156
2,2,1,7,2,662,398,152,19,1373,1,12,8.1,6,2,19248,4,5,112449,112449,7004,42815,28850,48435.1896
2.5,1,2,24,2,881,472,269,29,1625,2,15,12.1,7,2,27157,4,5,149662,149662,6008,52879,35728,51990.8914
0.75,2,1,5,3,286,162,60,8,542,1,5,3.2,4,1,8019,6,5,42928,42928,2543,14697,11286,17361.7238
1,1,2,3,3,443,200,93,11,757,2,6,4,4,2,10763,6,5,52387,52387,2287,21263,14784,20883.5926
1.75,1,1,7,3,582,346,197,22,1151,1,10,7,5,1,16242,7,5,102686,102686,4448,36716,26181,36824.9484
0.75,1,1,4,1,296,152,58,7,561,1,5,3.1,6,1,6955,6,3,42342,42342,1917,15323,10848,15799.151
2.5,2,2,12,2,1107,537,294,31,1827,1,16,11.1,5,1,27143,5,2,133711,133711,5430,53206,37620,51411.8286
1.25,1,2,9,2,448,251,110,15,848,1,8,5.6,4,2,12282,7,3,67462,67462,3313,26201,17880,26835.9964
1.75,1,2,5,2,730,389,172,19,1194,3,11,5.8,5,2,17315,7,2,95821,95821,4435,34988,26147,36487.883
1,2,2,8,1,404,193,88,11,669,2,7,4.3,7,2,9250,6,5,55132,55132,2959,21243,15060,22816.09
1,1,1,7,3,372,197,77,11,662,2,7,4.9,4,2,9198,6,2,53681,53681,3593,21302,14660,24654.9596
2.5,2,2,21,3,1088,557,231,31,1746,1,15,8.6,4,1,27062,7,4,130649,130649,7993,53299,35808,59249.3924
1.75,2,2,5,1,743,336,175,16,1175,3,11,6.1,6,2,17863,4,5,99497,99497,5257,35410,24965,39348.0526
1.5,2,2,7,2,580,319,169,12,1126,1,10,6.6,5,2,15673,6,4,79880,79880,4757,29204,21629,33679.7146
1.5,1,1,5,1,633,274,161,13,1043,2,9,6.7,4,2,14265,6,5,83899,83899,3314,31416,21580,30582.493
0.75,2,2,3,1,283,172,81,7,557,1,5,2.8,7,2,8070,7,2,40737,40737,2482,15335,10887,17545.314
1,2,1,5,2,374,182,82,10,742,1,7,4.1,5,2,9967,4,5,58355,58355,2569,19784,14434,20653.0534
3,2,1,11,2,1040,674,348,28,2291,3,18,9.9,6,2,30868,6,2,170391,170391,8076,61831,43116,64119.0736
3,2,2,23,1,1146,553,265,25,1978,1,19,14,4,2,30451,4,4,181252,181252,6452,60704,44066,58840.2502
0.75,2,1,3,1,283,158,71,8,492,2,5,2.6,5,1,7559,7,4,44283,44283,1896,15116,10848,15570.1118
2.5,2,2,16,2,1023,487,291,31,1688,2,15,11.3,5,1,26108,7,4,147386,147386,7415,50095,37553,55529.6816
1,2,1,6,3,392,220,96,12,760,3,6,4.4,4,2,10174,6,2,58792,58792,2981,19567,15180,21912.0148
3,2,1,18,2,1146,538,231,27,2098,2,19,13.9,5,2,28160,7,3,164952,164952,9176,64414,45556,69300.312
2.5,1,2,9,3,1049,482,220,24,1675,1,16,9,4,2,23149,6,5,137401,137401,8557,51937,36204,60089.2898
3,2,1,26,1,1062,659,359,32,2054,1,19,9.8,6,2,27519,5,4,170252,170252,7525,60044,42721,61555.7838
0.75,2,1,7,2,289,160,79,8,515,1,5,2.9,4,2,7157,7,5,39721,39721,2046,15910,11279,16501.7914
0.75,2,2,4,1,300,156,85,8,524,1,5,3,4,1,8146,5,5,40287,40287,2351,15770,11114,17436.4292
1.5,2,2,13,3,643,292,120,17,1138,3,9,6.6,7,2,15898,4,5,85377,85377,3696,30017,21408,31027.8996
2,2,2,4,3,863,411,213,20,1305,1,12,8.6,7,2,21732,6,3,104798,104798,5172,42837,29182,43734.0264
1.75,1,1,4,2,599,355,139,16,1221,1,12,8.1,4,2,18801,4,2,93731,93731,4410,36664,25377,36702.6602
3,1,1,7,2,1275,558,360,28,1953,1,20,10,4,2,32581,4,4,184628,184628,9198,59860,44307,67632.7162
0.5,2,2,4,3,208,113,54,5,343,2,3,1.7,4,2,4809,5,3,29054,29054,1562,10650,7450,11716.4618
0.5,1,1,3,3,220,87,54,5,376,2,3,2.1,7,1,4834,5,3,26619,26619,1233,10007,7574,10416.9268
0.75,1,2,5,2,294,145,86,6,523,2,5,2.8,5,2,7313,7,5,44259,44259,2004,15955,11336,16430.8626
1.75,2,1,9,2,729,320,168,16,1276,1,10,8.1,4,2,18849,4,5,104509,104509,3832,34635,26407,34408.3098
0.75,2,2,3,2,261,129,90,8,555,2,5,2.4,6,1,7041,5,5,43622,43622,2275,15394,10745,16830.3082
0.75,2,1,7,3,262,162,77,6,517,1,5,3.2,7,1,7874,4,2,43772,43772,1633,15113,11384,14679.4348
1.75,2,2,5,3,768,320,161,15,1321,3,11,8.3,6,1,15833,6,4,106538,106538,4017,34956,25363,35348.6466
