Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1.25,2,1,32,3,393,203,75,11,989,1,8,3,7,2,10210,5,2,69742,69742,365,325,3324,3357.442
1.5,1,1,42,1,483,204,70,12,1158,2,10,3.1,6,2,12243,3,4,80623,80623,391,371,4307,3877.9886
3,2,1,89,2,1047,436,123,30,2352,1,16,7.2,7,2,21957,5,3,158302,158302,870,779,8724,8337.5914
2,2,1,61,2,702,275,73,18,1533,2,13,4.2,5,2,16161,7,4,110786,110786,574,516,5403,5561.1122
0.5,2,1,18,2,138,80,21,7,351,3,3,1.3,6,1,4097,7,2,27169,27169,146,131,1258,1262.8794
1,1,1,30,3,322,148,49,12,732,3,5,2.1,7,2,7219,3,4,56946,56946,308,241,2367,2735.9838
2.5,2,2,75,2,703,359,123,31,1943,2,16,5.4,6,1,21424,5,2,138663,138663,692,635,6675,6119.3248
2.5,2,1,83,1,705,397,145,21,1782,2,13,5.6,7,1,17917,6,3,134079,134079,714,576,6582,6176.4634
1.25,1,2,43,1,412,160,47,18,901,3,7,2.8,5,1,10714,3,2,65223,65223,359,333,3633,3364.5628
3,2,1,89,3,961,429,129,38,2238,2,17,5.6,7,1,24727,6,3,169157,169157,829,793,8995,7830.0454
3,2,2,84,3,1035,448,140,36,2298,3,17,7.3,6,1,23031,3,2,161660,161660,841,691,8912,8173.8062
1.25,1,2,32,2,382,212,53,11,983,1,7,2.5,6,1,9618,7,2,65383,65383,352,308,3676,3208.6036
1.75,2,1,59,2,476,231,76,23,1266,2,12,4.3,7,1,14932,6,2,94843,94843,542,456,4052,4411.1064
1.75,1,2,48,2,624,271,65,18,1308,2,10,4.1,7,2,14878,7,3,98571,98571,537,444,4077,5025.4356
1,1,2,29,1,337,146,48,10,739,3,6,1.9,5,1,8509,3,4,56022,56022,279,264,2778,2719.9818
2.5,2,1,87,3,813,320,122,27,1808,1,13,5.6,7,2,21205,4,4,138304,138304,670,672,6999,6542.861
0.5,1,1,16,2,140,84,28,4,386,2,3,1.1,7,1,3572,6,2,26816,26816,148,127,1274,1289.5944
1.25,2,1,40,1,379,171,67,17,991,2,7,2.8,6,2,9597,5,4,65430,65430,364,304,2878,3248.7994
1.75,2,1,49,1,591,245,73,25,1338,3,10,3.6,7,2,13159,7,4,98839,98839,483,414,5050,4694.8918
1,1,2,25,1,312,121,49,13,732,1,7,2.1,5,1,7677,3,4,55737,55737,294,230,2563,2646.0954
1,2,1,25,3,292,149,49,11,792,3,6,1.8,6,1,7070,3,2,55344,55344,294,259,2574,2566.974
0.75,2,1,24,1,263,114,32,8,541,3,4,1.4,6,2,6176,3,2,41147,41147,232,200,1964,2161.8352
1.5,1,2,53,3,431,249,56,18,1190,2,9,3.4,6,2,10742,6,2,84810,84810,410,384,3627,3687.2884
1.5,1,2,42,2,429,245,85,17,1153,2,10,2.8,7,1,11586,5,4,78262,78262,437,385,4028,3811.2372
2.5,1,2,61,2,805,314,104,35,1807,2,14,6.1,5,1,19762,4,3,132803,132803,692,590,6635,6508.6724
0.75,2,1,22,1,230,93,45,11,594,1,4,1.5,6,1,6053,6,4,39914,39914,198,195,2008,1920.6106
1.5,1,2,50,1,530,217,85,15,1088,3,8,3.2,5,2,12482,5,4,85482,85482,430,355,4421,4200.6564
1.5,2,2,40,2,469,246,81,18,1092,1,8,3.5,6,2,10636,4,2,79351,79351,453,349,3912,3999.0472
0.5,2,1,13,1,149,78,23,6,381,2,3,1,7,1,4237,5,3,27527,27527,142,123,1358,1301.3474
3,2,2,91,2,998,435,112,39,2395,3,17,5.9,7,2,22011,4,2,169547,169547,888,747,7466,8136.6822
2.5,2,2,80,1,687,423,126,29,1893,1,15,4.9,7,1,20798,3,2,131583,131583,686,622,6269,6021.7796
1.25,2,2,36,3,341,202,48,16,919,3,8,2.4,5,1,10062,4,2,66989,66989,354,319,3574,3030.5524
0.75,2,2,25,3,269,92,40,10,542,2,4,1.7,5,1,5518,6,3,41991,41991,213,173,1894,2120.9236
2.5,1,1,73,3,728,326,96,22,1756,3,14,5.3,7,1,20543,5,2,135554,135554,720,636,5980,6267.2286
1.25,1,1,38,1,371,182,48,14,939,2,9,3.2,5,1,9661,6,2,70356,70356,356,301,3247,3178.4922
1.75,2,2,60,1,538,256,94,24,1331,2,10,3.9,7,2,13537,6,3,95288,95288,538,425,5161,4664.9674
1.75,2,1,51,2,548,264,95,25,1233,3,11,3.3,6,2,14075,3,2,98925,98925,479,449,4132,4538.635
3,1,2,100,2,918,413,122,26,2309,1,18,5.6,6,2,24624,7,4,156119,156119,870,734,8074,7724.5648
1,1,1,33,3,287,160,48,12,724,2,6,2,5,2,8194,7,4,54406,54406,262,232,2571,2425.7188
1.75,2,1,44,1,493,214,84,21,1254,3,11,4,6,2,12308,3,3,91824,91824,473,455,4330,4262.4616
1,1,1,30,2,322,123,46,10,729,2,6,2.2,6,1,7285,5,4,55129,55129,278,253,2741,2647.357
2,1,1,57,2,537,287,103,26,1463,3,13,4.8,5,2,14759,6,2,108889,108889,567,515,5750,4839.8118
2,2,1,64,1,682,303,76,18,1441,2,13,5.1,7,1,14209,5,3,112799,112799,522,475,5762,5313.2018
1,2,2,31,1,304,133,36,13,766,2,7,2,6,2,7522,5,3,53995,53995,307,260,2966,2655.2044
1.5,1,1,45,1,463,228,68,17,1192,1,8,3.1,5,1,10800,4,4,83734,83734,458,365,3581,3967.34
2.5,1,2,62,1,800,316,114,36,1804,3,16,6,6,1,19248,7,2,139548,139548,657,597,6386,6418.1096
1.25,2,1,35,1,428,173,49,17,964,3,7,2.7,7,2,9058,7,3,69604,69604,367,317,3513,3467.5916
1.5,1,1,45,2,456,226,66,13,1076,3,9,3.8,5,2,11366,5,4,80864,80864,453,402,3749,3953.8532
3,1,1,103,1,980,504,157,36,2175,3,16,6.6,5,2,24073,7,4,158037,158037,912,777,7807,8198.1346
2.5,2,1,75,3,809,398,121,35,1950,1,15,6.1,5,1,19362,3,2,136668,136668,689,585,6941,6553.6124
1.5,2,1,51,3,419,218,80,19,1188,2,10,2.8,5,2,11369,7,3,81917,81917,427,381,4240,3711.7738
1.25,2,2,44,3,357,155,59,15,948,1,8,2.6,5,1,10672,6,3,66726,66726,358,307,3654,3121.9744
2,1,2,55,2,532,297,77,23,1510,3,13,5,6,2,15448,5,2,105523,105523,547,526,4674,4734.8496
0.75,1,2,25,1,196,97,41,6,599,2,5,1.4,7,1,5928,6,3,40271,40271,231,183,1763,1872.8456
3,2,1,88,1,807,471,121,37,2225,1,15,5.9,6,1,24901,6,2,161195,161195,850,719,7189,7130.2002
3,2,2,93,2,872,411,178,33,2208,3,19,5.6,6,1,24537,6,4,168640,168640,812,708,7243,7406.0074
0.75,2,2,20,3,221,106,35,10,554,3,4,1.4,7,2,5752,5,2,40691,40691,230,179,1953,1963.7104
1.75,2,1,62,2,481,216,98,25,1359,2,9,3.9,7,1,14505,3,4,95423,95423,470,471,4533,4212.861
0.75,2,1,23,1,195,109,35,10,595,1,5,1.9,6,1,6302,6,2,39065,39065,212,195,2166,1807.5204
2.5,1,2,87,2,721,314,113,25,1938,2,15,5.6,5,2,17567,3,3,130731,130731,681,581,7252,6105.9334
1.5,1,2,44,2,523,252,77,18,1127,1,9,3.3,7,1,11327,5,3,78729,78729,453,355,4093,4255.1254
1,2,2,35,3,274,143,53,15,759,3,6,2.1,7,2,8124,3,3,53143,53143,309,232,2707,2531.9248
1.75,2,1,50,3,577,268,63,16,1328,1,11,3.2,6,2,14116,3,3,93004,93004,514,410,5249,4714.3032
1.25,2,1,35,1,444,161,56,18,979,2,8,3,5,1,10306,4,2,70987,70987,327,295,3307,3412.4012
0.5,2,1,17,2,157,71,28,5,388,3,3,1.2,6,1,3518,6,2,26282,26282,154,127,1210,1379.1036
1.5,2,2,39,1,488,212,71,14,1164,1,10,3.7,6,2,12171,6,4,80836,80836,402,352,3570,3932.6142
1.5,1,2,39,1,413,185,76,17,1106,1,10,2.8,7,2,10693,4,3,82875,82875,418,394,3719,3667.4586
1.25,2,1,41,1,351,169,44,11,974,2,7,2.8,7,1,9456,5,4,67613,67613,329,335,3532,3004.7712
2,2,2,69,1,661,245,104,25,1435,2,11,4.9,6,1,17169,5,3,106425,106425,562,499,5552,5362.5138
3,1,2,92,3,844,420,122,27,2147,3,15,5.9,5,2,24632,6,3,169756,169756,872,747,8603,7372.4064
2,1,2,67,1,578,316,108,22,1514,3,12,5.1,7,2,15302,4,3,106720,106720,578,527,5277,5080.5604
2.5,2,2,75,2,867,329,133,36,1930,1,13,4.7,6,2,18052,7,2,136652,136652,704,646,6329,6878.8104
1.5,2,2,48,2,433,246,85,18,1180,1,10,3,7,1,11943,7,3,82266,82266,446,377,4140,3855.2286
1.5,2,2,41,2,440,254,75,17,1196,2,9,3.6,6,1,11341,7,2,84781,84781,418,358,4109,3766.8682
1,2,2,30,1,292,136,38,9,776,3,5,2.4,7,1,7751,4,3,53069,53069,294,239,2959,2543.0302
3,2,2,85,3,860,459,136,40,2341,3,19,6.7,6,2,21040,5,4,164512,164512,918,705,7053,7638.728
1.75,2,1,51,1,608,274,97,17,1269,1,10,4.3,7,2,12452,6,2,98491,98491,524,433,4313,4951.2504
2,2,1,57,3,565,307,95,24,1559,2,12,4.1,6,1,15485,4,4,104713,104713,608,477,5807,5054.297
3,2,1,103,2,1046,466,152,42,2249,1,17,5.9,6,1,21678,5,2,156813,156813,866,718,7070,8319.3556
2.5,2,2,65,1,749,377,104,26,1966,2,13,6.5,5,2,19714,4,3,136490,136490,718,664,7157,6376.1628
0.75,2,2,24,3,208,123,44,9,556,3,5,1.9,7,1,6063,3,2,41351,41351,210,193,2236,1878.0926
0.75,2,2,27,2,224,123,42,10,525,2,5,1.9,5,1,5266,7,4,39061,39061,196,200,2018,1895.6732
2,1,2,55,3,660,261,86,25,1447,2,11,3.9,6,1,14448,5,3,107297,107297,595,491,4808,5423.2496
0.75,1,1,22,1,265,110,39,6,542,2,4,1.9,5,1,5660,6,3,39770,39770,210,175,2197,2096.692
3,2,2,74,2,858,405,157,29,2206,3,16,5.8,6,2,21233,4,3,158999,158999,927,756,7029,7671.6666
0.5,2,1,15,2,176,71,22,5,375,3,3,1.1,5,2,3532,5,2,27805,27805,131,126,1464,1377.6464
0.5,1,1,16,3,141,79,18,7,357,2,3,0.9,5,1,4231,3,2,27680,27680,144,124,1231,1252.3462
2.5,2,2,84,1,746,363,100,30,1836,2,14,5.3,5,2,19235,7,2,140926,140926,733,613,6729,6372.787
2,2,2,71,2,718,328,97,17,1587,3,11,4.6,6,2,15984,4,2,112116,112116,559,528,5786,5620.4768
1.25,1,1,34,3,390,176,60,12,969,3,8,2.7,6,1,9635,3,3,69864,69864,373,318,3481,3333.687
2.5,2,2,63,2,738,307,130,28,1856,1,17,6,7,1,18166,5,2,137957,137957,734,633,6342,6433.5532
0.75,2,1,19,3,225,97,33,8,597,1,4,1.8,7,2,6439,4,4,41702,41702,204,175,1986,1899.2478
1.25,2,1,45,2,362,185,50,11,967,2,7,2.8,5,1,9755,5,3,66797,66797,368,330,3077,3170.851
1,2,1,31,2,305,146,59,11,732,2,6,2.1,6,2,7723,4,4,55833,55833,275,235,2389,2569.7846
0.5,2,2,16,1,139,70,30,5,367,1,3,0.9,5,1,3591,4,2,27593,27593,153,124,1409,1286.6182
1.25,2,1,34,1,331,199,66,13,958,3,8,2.9,5,1,10612,5,2,67496,67496,333,316,3025,2947.2024
1,1,2,24,2,322,129,54,9,762,2,5,2.1,5,1,8304,6,2,54988,54988,261,251,2381,2588.1408
2,1,1,65,2,545,301,93,18,1506,3,10,4.4,6,1,15994,3,4,107510,107510,565,466,5184,4804.7388
0.75,2,1,24,3,258,119,36,11,580,2,4,1.7,6,1,6022,6,2,42434,42434,229,186,1933,2131.0444
0.5,1,1,15,2,169,62,25,6,377,2,3,1.2,7,2,3778,4,3,28215,28215,133,129,1254,1370.2156
1,2,1,32,2,328,141,54,11,744,1,7,2.1,7,2,7866,4,2,55613,55613,291,234,2736,2731.5532
1,1,2,36,2,348,131,37,9,716,3,6,1.9,6,1,8323,3,3,52209,52209,280,233,2608,2746.1046
1.5,1,2,52,1,470,243,63,19,1174,1,10,2.9,6,2,11080,6,3,82838,82838,427,389,4413,3932.776
2,1,2,68,1,647,276,116,21,1531,1,13,4.8,5,2,15106,6,2,112774,112774,561,507,5357,5330.5812
3,1,1,88,3,965,443,162,26,2249,3,17,5.6,5,2,23421,4,4,162375,162375,890,791,8384,8070.4442
1.25,2,2,44,1,442,170,66,11,888,2,7,2.9,5,2,10077,4,2,69956,69956,341,332,3393,3470.5954
1.5,1,2,39,2,393,196,71,17,1064,3,9,3.1,6,1,12090,7,4,84348,84348,464,392,4109,3701.458
0.75,2,2,26,1,264,100,26,9,576,2,5,1.4,7,2,5927,7,4,40770,40770,217,185,1857,2117.7454
2,2,2,50,1,604,246,74,23,1593,2,13,4.8,7,2,15597,5,3,113079,113079,589,498,5862,5172.1394
1.5,2,1,41,1,394,214,59,15,1107,2,10,3.1,5,1,11378,4,3,78876,78876,408,346,3692,3495.1356
1.5,2,1,49,1,445,218,61,16,1092,2,9,3.7,5,2,11071,7,3,83622,83622,405,403,3465,3746.5142
3,1,2,79,3,789,416,133,27,2132,2,15,6.9,5,2,23183,4,2,164440,164440,798,700,7981,6891.6766
1.5,1,1,38,3,427,237,65,21,1139,2,10,2.7,7,1,12156,4,3,84623,84623,411,358,4269,3678.1712
1.25,2,2,37,1,391,192,66,11,885,2,7,2.7,6,2,10562,5,4,68266,68266,337,309,2979,3221.0324
1.5,2,2,46,1,443,181,77,17,1052,1,10,3.4,6,1,10833,5,4,84109,84109,432,374,3580,3836.9866
0.75,1,1,22,3,219,111,32,10,573,1,5,1.5,5,2,5495,7,4,41528,41528,206,174,2083,1871.919
2,2,1,65,1,572,247,113,20,1596,3,13,4.8,7,1,15796,3,2,113838,113838,581,495,4744,5053.2992
2,2,1,57,3,648,323,90,18,1502,3,12,4.1,6,2,16359,7,4,113169,113169,558,490,5371,5275.2318
3,1,2,84,2,795,482,138,30,2154,3,20,7.8,5,1,21120,4,4,157284,157284,880,780,7566,7285.904
0.5,2,2,15,2,176,64,27,4,397,3,3,1.2,7,1,3990,7,3,28007,28007,133,115,1384,1397.178
0.5,1,1,13,3,176,73,26,4,358,3,3,1.2,6,2,3883,6,2,27666,27666,148,123,1392,1441.6566
1.5,2,2,47,1,443,229,74,18,1180,2,10,3.7,5,2,12346,5,3,81763,81763,446,373,3884,3877.2492
2.5,1,2,70,1,754,416,115,29,1753,1,14,5.6,5,1,18819,5,3,131721,131721,715,581,6925,6362.7638
1,2,1,32,3,260,141,42,15,769,3,6,2.1,6,1,7978,6,4,52553,52553,307,255,2652,2453.8956
3,2,1,84,2,810,375,150,39,2127,1,17,7.5,7,1,25787,4,4,166580,166580,789,735,8035,7034.4374
2.5,1,2,70,1,815,346,121,36,1872,1,13,6.3,5,1,17906,6,3,135794,135794,666,627,6575,6510.2012
1.25,1,1,41,2,403,179,57,17,926,3,6,2.5,7,1,10044,4,3,65663,65663,381,325,3320,3402.4888
2.5,2,1,73,1,679,420,117,27,1923,2,17,4.5,7,2,20723,5,2,132453,132453,751,620,6864,6190.0246
0.75,1,1,26,1,256,112,37,8,540,1,4,1.6,6,2,5996,3,3,40183,40183,206,200,1846,2057.5792
1,1,1,34,1,291,149,56,10,790,2,7,2.1,5,1,7025,3,2,55520,55520,299,263,2782,2596.085
1.75,1,2,53,1,502,261,64,21,1278,3,11,4.4,7,1,13004,7,2,97111,97111,469,439,4241,4269.1208
2.5,2,1,64,1,867,411,122,25,1761,3,14,6.1,6,1,19819,3,3,138681,138681,655,667,6783,6752.9438
1.5,1,1,47,1,520,213,65,13,1179,1,10,3.3,6,2,11163,5,2,78371,78371,435,377,4336,4181.5526
0.75,2,2,26,2,213,91,36,7,560,1,4,1.5,6,2,5984,6,4,41349,41349,232,189,2061,1934.3768
0.75,2,2,26,2,219,127,41,9,599,1,5,1.9,7,2,6067,3,3,42126,42126,223,177,1839,1956.0334
1.75,1,2,43,1,517,247,63,24,1258,2,9,4.3,5,2,12640,3,2,96763,96763,514,438,5168,4442.248
2.5,1,1,70,1,746,313,130,21,1894,1,14,5.8,5,1,20694,4,4,130150,130150,747,632,6489,6468.2188
1.75,2,2,52,2,563,270,81,16,1332,1,12,4.1,5,2,13895,6,2,98290,98290,491,452,4547,4638.679
1,1,1,25,2,312,158,36,9,733,2,6,2.2,7,1,8001,6,2,52505,52505,260,259,2597,2544.7802
1.75,1,2,44,3,619,278,90,22,1373,2,11,4,7,1,12680,5,4,96365,96365,525,415,5022,4991.856
2,2,2,67,2,575,291,85,21,1465,1,11,4.1,6,2,17108,4,2,104841,104841,579,511,5038,5003.5216
3,2,2,95,2,902,503,131,28,2361,3,15,6.3,6,1,22154,5,4,167584,167584,911,785,8792,7804.9708
1.5,1,1,36,3,435,227,60,12,1088,3,10,3.9,7,2,11725,7,2,79442,79442,449,374,4350,3845.945
1.75,2,2,50,2,620,254,90,26,1240,2,9,3.5,7,2,13885,3,3,95781,95781,533,407,4380,4991.337
1.25,2,1,33,2,408,152,55,16,959,3,7,2.3,5,2,9646,6,4,69542,69542,331,328,3407,3261.2892
0.75,1,1,21,1,249,119,33,8,579,2,4,1.5,7,1,6328,5,4,42732,42732,207,174,1952,2015.2856
2,1,1,53,3,529,302,108,26,1540,1,12,5,5,1,17081,3,3,111906,111906,592,494,5833,4871.1762
1.5,2,1,41,3,460,184,90,16,1196,3,8,3.6,6,1,12448,4,4,79049,79049,397,377,3745,3807.2296
1.5,2,2,42,3,476,250,69,16,1089,2,8,2.9,5,2,12051,7,4,84467,84467,441,399,3833,3992.7702
0.5,1,2,17,3,162,70,25,7,369,3,3,1.3,7,2,3989,3,2,27565,27565,141,117,1155,1358.7378
3,2,1,87,1,901,478,142,29,2167,2,19,6.6,5,1,24363,6,3,167346,167346,824,699,6997,7530.7526
0.5,1,2,16,3,175,79,20,6,359,2,3,1.1,7,1,4222,7,3,28039,28039,144,118,1474,1419.4644
2.5,1,1,82,2,861,393,130,35,1929,3,13,6.2,6,2,20637,5,2,139455,139455,771,609,6362,7057.3674
2.5,1,2,61,1,875,381,100,21,1870,3,16,4.8,7,1,19208,4,2,141414,141414,687,633,6818,6850.5816
2,1,1,71,2,638,338,119,19,1566,2,13,4,7,1,15908,4,4,111416,111416,561,516,5675,5307.9016
3,1,1,75,2,871,488,131,27,2287,2,19,6.5,6,1,22651,3,4,164501,164501,816,742,7762,7384.1302
3,1,2,84,3,828,422,110,29,2136,3,17,7.5,7,1,22793,7,3,156129,156129,892,729,7043,7383.4786
0.75,2,1,20,1,209,112,28,9,590,3,5,1.8,6,2,6230,7,2,40975,40975,198,199,2095,1819.126
0.5,2,2,13,3,151,72,18,7,358,3,3,1.1,5,2,3893,3,2,27658,27658,136,124,1486,1273.9586
2,1,1,54,2,673,242,82,18,1410,3,12,4.3,6,2,15738,6,4,111593,111593,547,484,5992,5335.3476
1,1,2,30,2,273,135,52,12,774,3,5,1.9,6,1,8220,6,4,53994,53994,299,239,2620,2480.524
0.5,2,2,17,2,178,76,21,7,358,3,3,1.1,5,2,4219,3,4,26155,26155,137,121,1364,1401.9038
