Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
0.75,2,1,731,1,332,133,60,8,4720,2,6,1.9,6,9,6652,4,3,48966,48966,13,7280,1474,
1.75,2,2,1885,2,761,218,184,18,10967,1,13,3.9,5,9,14900,5,1,113240,113240,28,16624,3742,
0.5,1,2,444,3,177,88,57,4,3573,3,4,1.3,4,11,4743,6,3,30839,30839,8,4746,1060,
0.5,2,2,386,3,214,89,54,6,3103,2,4,1,7,9,4028,2,2,29456,29456,8,4833,944,
2,2,2,1570,1,768,264,230,19,13770,1,15,5.5,4,10,19662,2,4,122841,122841,25,19371,4272,
1.75,1,2,1493,1,732,249,156,21,10600,1,14,2.4,5,10,17325,4,4,107446,107446,23,16554,3614,
2,1,1,1715,2,766,319,223,17,14172,2,14,3.9,6,9,16043,2,1,124162,124162,34,19115,4207,
1.25,1,1,1344,3,495,157,152,13,8204,2,9,2.2,6,10,10032,3,2,74645,74645,19,12297,2608,
1.5,1,1,1469,3,559,181,161,14,9696,2,11,3.7,7,10,12077,4,3,87226,87226,19,14829,2920,
1,1,1,1079,1,353,149,100,9,6906,2,8,1.5,6,12,9578,4,1,63217,63217,13,9223,1939,
1.25,2,1,894,1,488,167,116,12,9041,1,10,3.2,7,10,11430,6,4,82377,82377,18,11782,2525,
1,2,2,1189,3,351,135,97,9,5920,2,8,2.1,7,12,8187,5,3,61486,61486,16,9459,2155,
2.5,2,2,2168,3,907,339,256,27,16225,2,18,6.4,5,12,23469,2,3,144860,144860,44,24284,4835,
2.5,2,1,2101,2,1015,318,216,32,16194,3,19,4.9,7,12,24249,6,2,151007,151007,28,23181,4757,
2,2,2,1967,2,760,311,202,25,11464,1,15,5.7,6,10,17811,5,1,116429,116429,25,19696,4227,
0.75,1,2,626,3,285,116,69,8,4247,1,6,1.6,4,11,6396,3,3,46949,46949,12,7254,1416,
1.25,1,2,902,2,525,209,146,10,7056,1,10,2.5,4,10,10213,2,3,79242,79242,22,12202,2693,
2.5,2,1,2988,1,888,358,226,21,14729,1,19,4.8,4,9,22101,2,4,162275,162275,38,23003,5016,
1.5,2,1,1094,1,562,246,179,13,9375,3,11,2.1,5,11,12535,5,3,84126,84126,17,13973,3043,
1.5,2,1,1478,3,673,253,134,15,10164,3,11,3.7,6,10,12331,2,4,98854,98854,24,14432,3297,
1.25,2,1,1321,2,499,164,101,13,7677,1,9,1.7,7,11,12475,3,1,71165,71165,16,11813,2543,
2,2,1,2395,1,853,331,248,24,11694,2,14,2.7,7,12,19258,4,1,130606,130606,35,18457,4346,
0.75,2,2,660,2,304,121,87,8,5104,3,5,1,7,12,6230,5,3,48193,48193,11,7115,1449,
2,2,2,2063,3,787,263,234,23,11421,3,15,5.3,5,12,16823,6,4,117768,117768,29,18957,3893,
1,1,1,810,3,430,143,89,13,6040,2,7,2,7,10,9670,5,4,65680,65680,18,9594,2173,
1.75,1,1,1912,1,657,282,154,15,10560,3,13,2.6,7,10,14416,4,2,103403,103403,25,16251,3411,
2.5,1,2,1944,3,964,424,305,25,15163,3,18,5,5,9,22773,4,2,145484,145484,40,23002,5324,
1,2,2,1028,2,439,142,81,12,6253,3,7,2.1,5,9,8801,6,4,59970,59970,15,9277,2016,
0.75,1,2,548,2,283,110,58,9,4951,1,5,1.5,4,10,6808,5,1,44915,44915,11,7083,1434,
2,1,2,1451,2,882,334,184,16,13843,2,15,2.7,4,9,19914,6,2,122168,122168,31,19750,4221,
2.5,1,2,2632,2,1090,395,286,30,17553,1,19,4.6,4,9,22732,2,4,151795,151795,37,24639,5451,
1.75,1,1,1707,3,735,235,219,15,12369,1,14,3.4,4,11,15503,5,2,114192,114192,28,17088,3782,
2,1,1,1896,2,769,359,238,17,11216,2,16,5.6,4,11,19359,5,2,114734,114734,26,18802,4375,
1,2,1,904,2,380,139,89,9,6745,2,8,2.3,5,9,9394,5,4,61742,61742,12,9548,2152,
1.25,2,2,1126,1,485,196,110,14,8066,1,9,3.1,6,12,12345,6,4,70034,70034,19,12182,2651,
1.5,1,2,1523,2,612,200,157,12,9775,2,11,2,4,12,12320,4,4,94357,94357,19,14177,2841,
1.25,2,2,1447,1,458,160,150,13,8211,1,9,2.1,5,9,12352,4,2,80973,80973,16,11563,2655,
1.75,2,2,1964,2,710,297,197,17,10395,2,12,3,4,12,17403,2,1,100375,100375,31,16792,3578,
2,1,1,1449,2,725,249,232,24,12742,1,15,3.4,6,9,16455,6,1,120230,120230,35,19337,4116,
2,2,1,1694,3,802,255,176,18,12393,1,15,3.4,6,10,19680,2,1,116249,116249,24,19054,3852,
2.5,2,1,2200,2,879,321,314,20,18138,2,19,3.7,6,11,21394,3,4,154057,154057,40,23814,5053,
3,2,2,2157,2,1312,518,316,38,19355,1,22,6.8,5,11,28682,3,3,169224,169224,40,28233,6126,
2.5,2,1,1936,1,1108,354,308,26,15469,1,19,3.9,6,10,21900,4,3,155776,155776,28,23161,4704,
0.75,1,2,777,3,316,93,64,8,4637,3,6,1.9,6,9,6359,6,1,42848,42848,8,7319,1496,
0.75,1,1,737,1,305,97,90,6,4501,3,5,1.7,5,12,6352,5,4,46242,46242,9,6903,1495,
1,1,1,1178,2,417,178,123,10,5829,3,8,2.6,4,12,8985,2,4,56471,56471,13,9885,1905,
3,1,2,2524,2,1219,495,269,38,19631,1,23,8.2,4,11,29696,2,3,177448,177448,39,29580,6021,
0.75,1,1,723,3,297,90,90,7,4205,3,6,1.5,4,12,7319,6,2,45628,45628,9,7178,1601,
1.5,1,1,1549,1,580,232,160,17,9785,1,11,4.1,6,9,14154,6,3,87651,87651,21,13984,3228,
2.5,1,1,2591,1,1021,303,235,25,15496,2,19,6.3,5,10,20363,2,4,164004,164004,39,24307,5074,
1.5,2,2,1148,1,587,243,158,13,9049,2,11,3.7,4,11,12418,2,1,89754,89754,17,14534,2967,
1.25,1,1,1249,3,528,157,144,12,8374,1,9,1.9,4,12,10091,6,2,74127,74127,14,11729,2592,
1.5,2,1,1412,3,549,208,142,16,10325,2,11,3.4,5,9,12088,2,3,90801,90801,24,14816,2907,
1.75,1,1,1885,1,624,313,191,19,10909,1,12,4,5,10,16630,2,2,112674,112674,22,16312,3618,
2.5,1,2,2457,3,1040,320,218,24,15113,3,20,4.3,4,12,20983,6,3,163569,163569,44,23851,5151,
1.25,2,2,1025,3,483,176,111,16,8198,2,10,3.4,5,9,10051,3,4,78164,78164,15,12207,2665,
1.5,1,2,1319,3,612,211,156,17,8667,3,12,2.5,4,11,13558,5,2,87996,87996,19,14691,2997,
2,1,2,1769,3,892,270,218,21,13374,2,16,2.6,4,10,17053,3,3,121228,121228,26,19152,4048,
3,2,1,3027,1,1238,400,229,37,17812,3,24,3.9,4,9,27570,2,3,177713,177713,50,27612,6570,
0.5,1,2,357,3,183,78,42,5,3156,1,4,1.4,4,12,4923,2,3,29978,29978,7,4921,987,
0.75,2,2,751,3,265,126,85,8,5125,2,6,1.3,5,10,6736,4,1,47706,47706,11,7099,1580,
1.5,1,2,1762,3,643,243,119,16,9541,2,12,3.5,7,12,12100,6,1,94026,94026,22,14100,3125,
2,2,2,2038,2,836,329,168,21,13688,2,16,2.9,6,9,19822,4,2,117260,117260,24,18944,4353,
2,1,2,2163,1,733,252,188,18,14599,2,14,4.8,5,12,18564,3,1,123896,123896,23,19026,3863,
1.5,1,2,1441,1,570,224,121,13,9261,2,11,2.1,5,10,14800,5,1,92652,92652,23,14811,2962,
2,1,1,1848,1,779,316,219,17,13690,1,16,3.3,6,12,19992,3,1,118393,118393,27,18425,3909,
2,2,1,1807,3,867,349,165,20,14462,3,16,4.3,7,11,18761,6,3,127751,127751,35,19377,3797,
2,2,1,1440,2,869,353,226,16,13749,3,15,5.3,7,9,19710,5,1,129208,129208,30,18729,4131,
1,2,2,848,1,370,160,111,12,5918,3,7,2.9,4,11,9296,6,3,62186,62186,13,9425,1961,
2.5,1,2,1892,2,1016,358,215,23,15157,3,19,7,5,10,22688,3,2,163024,163024,30,23109,5446,
1,2,1,1021,1,424,168,116,12,6019,1,8,1.8,6,11,8991,6,4,58593,58593,17,9629,1881,
1.25,2,2,1295,3,444,217,154,14,7730,1,10,2.8,4,9,11004,4,2,75119,75119,16,11880,2701,
2,2,2,1452,2,723,275,247,25,14196,3,15,4.7,6,10,18092,5,3,117538,117538,27,18970,4376,
0.75,2,1,710,3,290,103,59,6,5009,3,5,2.1,7,10,6425,5,4,46531,46531,10,7142,1581,
1.75,1,2,1709,3,621,211,179,20,12010,2,13,3.5,5,10,14491,3,4,101474,101474,27,16375,3360,
3,1,2,2517,2,1298,529,254,35,19233,3,24,6.4,4,9,28241,4,2,183698,183698,45,29488,6396,
3,1,1,2351,1,1174,412,245,32,19714,2,23,5.3,7,9,26935,4,1,171652,171652,39,28514,6247,
1.5,1,2,1701,2,669,251,115,16,10811,3,12,2.1,6,10,14377,4,3,85581,85581,21,14048,2941,
2.5,1,2,2907,3,959,406,206,29,14913,1,20,6.7,5,10,23254,4,2,150843,150843,39,23592,5096,
3,1,2,3417,3,1292,386,242,31,20820,1,23,8.6,7,11,29672,5,3,187646,187646,38,28245,5731,
1.25,2,2,892,3,516,189,99,12,9020,1,10,1.8,6,11,10391,2,2,76425,76425,22,11549,2436,
3,2,2,2806,3,1055,396,377,31,19152,2,22,5.8,7,12,25938,5,2,190652,190652,46,28358,5934,
1.25,2,2,1227,2,497,162,102,15,8128,1,9,2.4,6,9,12213,2,1,76263,76263,18,12204,2377,
0.5,1,1,370,3,193,70,58,5,3540,1,4,0.7,4,12,4958,5,2,30819,30819,9,4872,1096,
1.5,2,2,1725,3,674,259,128,12,9714,2,12,3.5,7,10,12518,3,1,84163,84163,20,14147,3143,
2,1,2,2061,2,830,245,232,16,14590,2,15,2.9,4,10,17722,3,4,124155,124155,32,18963,4154,
1.5,2,2,1466,3,667,263,153,17,10141,1,12,2.5,4,9,12753,4,4,92450,92450,23,14175,2928,
0.75,1,2,551,2,263,102,78,9,4463,2,6,1.2,5,9,7196,2,3,49485,49485,11,7133,1469,
2.5,1,2,2558,2,916,328,304,24,16926,1,18,6.9,7,10,22194,5,4,152985,152985,41,23728,4774,
1.5,1,2,1326,2,629,234,117,16,10129,1,11,3.3,7,10,14978,5,2,91262,91262,27,14481,2946,
0.5,2,1,361,3,191,86,55,5,3521,2,4,1.1,7,9,4799,6,4,30446,30446,6,4657,1063,
1.25,1,2,954,3,522,220,133,11,7898,3,9,2.6,5,9,10007,3,3,71448,71448,22,12090,2460,
2.5,1,1,1912,3,945,336,256,23,14250,3,18,4.4,4,11,23781,3,3,142790,142790,40,23527,5038,
1.75,2,2,1583,3,687,263,208,21,10395,1,13,4.2,7,12,14879,4,2,103394,103394,28,17053,3744,
1,2,1,743,1,426,139,103,13,7194,2,7,2.2,6,10,9140,4,3,60237,60237,14,9660,2034,
1,2,2,855,3,399,163,96,9,6552,1,8,1.6,7,10,8026,4,4,60869,60869,17,9782,1964,
0.5,1,1,379,2,186,76,48,6,3630,3,4,0.9,7,12,4584,3,2,32323,32323,8,4922,1002,
0.75,2,1,711,1,303,116,93,7,4446,3,6,1.1,5,10,7275,3,3,45585,45585,10,7258,1424,
0.5,2,1,513,2,189,78,60,6,3191,2,4,1,5,11,4580,4,1,32297,32297,8,4892,944,
1.5,2,1,1124,3,579,206,114,14,9216,1,11,2.5,4,12,14174,3,3,97893,97893,24,14703,2837,
1.75,1,2,1918,2,617,290,158,22,10836,3,13,3.2,5,10,16356,5,4,104478,104478,31,16722,3679,
0.5,2,2,409,3,177,65,40,5,2807,1,4,1.1,5,9,4844,3,1,31243,31243,7,4912,1065,
2,1,2,1575,3,746,274,213,22,11825,3,15,5.3,5,11,19837,4,3,124581,124581,28,18867,3860,
1.25,2,1,935,1,440,209,144,15,8364,3,9,1.7,7,12,10221,6,3,70139,70139,18,12296,2638,
2.5,2,1,2062,1,1124,401,223,32,18025,1,19,5.2,6,10,20319,6,3,163914,163914,38,24294,4778,
1.5,1,2,1781,3,642,204,156,15,8878,2,12,3.1,4,11,13283,4,4,91362,91362,17,14271,3272,
1,1,2,855,2,395,145,120,9,7034,3,8,1.4,5,10,9649,6,1,58638,58638,18,9755,1886,
1.5,2,2,1461,1,538,183,174,16,8706,2,11,4.3,7,11,12565,3,3,97622,97622,17,14340,2908,
3,2,2,2572,3,1156,407,292,38,17554,2,21,5.3,4,11,29161,5,3,175904,175904,50,29030,6073,
0.75,1,2,643,2,281,121,58,8,5412,2,6,1.1,5,12,6614,2,1,48448,48448,11,7341,1582,
1.5,1,2,1331,3,618,255,188,19,10906,2,11,4.1,4,12,13427,5,3,97276,97276,19,14815,2929,
2.5,2,2,2256,2,1113,406,243,29,14226,2,20,6.1,6,9,21562,6,3,156553,156553,42,23067,5387,
1.25,2,1,1331,3,553,151,106,12,8513,2,10,1.7,6,11,12460,4,2,75295,75295,17,11708,2502,
0.5,2,1,362,2,190,70,43,5,3077,3,4,1.2,6,9,4206,6,3,30916,30916,6,4610,1038,
3,2,2,2324,2,1335,393,274,34,20807,3,23,5.8,7,10,26724,5,4,182439,182439,51,28478,6364,
1,2,1,905,3,360,154,104,12,5957,3,8,2.8,7,11,9683,3,1,58835,58835,12,9360,2189,
2,2,2,2108,3,878,288,187,22,13458,1,15,2.8,4,9,19745,2,1,125800,125800,35,19499,3853,
2,1,1,1938,1,777,256,184,22,13702,3,15,3,6,11,16571,3,4,125670,125670,28,19427,4360,
1.75,1,2,1457,1,725,275,187,22,12086,2,13,4.6,5,10,14661,6,4,107965,107965,20,16889,3437,
1.5,2,2,1394,3,561,221,121,12,8873,2,11,2.2,6,10,12665,3,1,98298,98298,26,14218,2912,
1.25,2,1,1333,3,526,175,111,16,7712,3,10,3.4,7,11,12100,3,4,80068,80068,14,11901,2489,
0.5,2,1,446,2,192,62,62,4,3567,3,4,1.1,5,9,4147,6,3,31388,31388,9,4738,1077,
1.75,1,1,1300,3,720,306,174,17,12273,3,13,3.7,6,11,15397,5,2,103256,103256,29,17023,3746,
1,2,1,701,1,381,124,77,8,6641,3,7,1.7,5,12,9739,2,4,64695,64695,13,9381,2050,
2,2,2,2207,1,875,319,206,17,13180,2,15,5.7,7,9,17049,4,4,130114,130114,26,19297,4141,
1,1,2,713,3,370,149,101,11,5793,3,7,1.7,6,12,9421,4,4,61634,61634,11,9787,1929,
3,1,1,3109,2,1242,485,229,27,16876,1,22,4.3,4,12,28210,3,2,190402,190402,50,27742,5803,
2.5,2,2,2710,2,931,389,218,25,17300,1,18,4.9,5,11,24295,4,3,158121,158121,31,23180,5017,
1.5,1,1,1229,2,570,221,176,13,9036,2,12,4,5,10,14174,5,3,86209,86209,27,14353,3244,
1.5,1,2,1550,1,606,195,133,18,8605,1,12,4.1,5,12,14858,6,1,84996,84996,24,14396,3001,
1.75,2,1,1259,1,674,216,207,14,12372,3,12,5,7,11,17345,3,1,104086,104086,28,16954,3671,
0.75,1,2,724,2,332,125,73,7,4250,2,6,1.2,7,10,7315,2,2,49174,49174,10,7234,1637,
1,2,1,796,3,368,169,100,10,7119,2,8,2,7,10,9981,6,2,64546,64546,15,9637,2177,
1.75,1,1,1999,3,742,274,146,14,10255,1,14,4,4,9,16686,2,2,107955,107955,23,16975,3534,
1,2,1,702,1,355,172,77,12,6225,3,7,2.7,6,10,8618,4,2,65723,65723,11,9282,1919,
2,1,2,2276,1,871,347,206,18,14245,2,16,2.9,7,9,18457,2,3,127530,127530,28,19620,3934,
1.5,1,1,1680,2,633,222,115,12,10006,3,11,3.7,6,12,12759,5,1,98287,98287,20,14379,3017,
1,2,1,756,1,383,156,98,8,6738,3,8,1.9,6,9,8887,4,1,57882,57882,17,9353,2171,
0.5,1,2,466,3,188,61,58,4,3480,1,4,1.2,6,11,4210,5,1,31217,31217,8,4616,1003,
1.75,2,1,1753,2,625,216,199,22,9871,3,13,3.7,6,10,15132,6,2,106399,106399,25,17289,3804,
0.5,1,1,485,1,213,78,55,6,3315,1,4,0.7,7,12,4917,6,3,28594,28594,7,4650,1082,
1,2,1,1014,3,423,138,82,10,5749,3,7,1.8,4,11,8689,4,4,62647,62647,17,9557,2057,
1,2,2,1125,1,395,120,121,11,6299,1,8,1.7,6,12,9073,2,2,61001,61001,17,9713,1943,
1.75,1,1,1934,2,762,296,138,22,11396,2,13,3.7,4,9,16021,6,2,102058,102058,24,16322,3694,
0.5,1,2,413,2,194,81,61,4,2892,1,4,1.2,4,9,4020,3,4,29928,29928,7,4635,995,
1.75,2,1,1325,3,613,280,177,18,10761,3,14,3.5,7,11,15921,4,2,109358,109358,27,16794,3703,
2.5,2,1,2262,2,925,332,252,31,16373,1,18,4.6,4,11,23121,3,3,155025,155025,31,24318,5136,
2,2,2,2318,2,802,297,221,20,14519,1,16,4.7,6,12,19446,4,1,131371,131371,27,18422,4395,
1.5,1,1,1262,3,595,205,170,14,8986,3,11,3.6,4,10,12043,2,1,97368,97368,21,14816,3083,
0.5,1,1,562,3,222,67,45,5,3143,2,4,0.7,4,9,4256,3,2,29816,29816,6,4894,1041,
1,2,2,947,2,417,152,108,9,6563,3,8,1.5,5,12,8359,6,4,65660,65660,12,9552,2076,
1.5,2,2,1399,3,630,265,131,19,9436,2,12,3.6,5,9,12957,5,4,86481,86481,25,14647,3048,
2,1,2,1473,1,817,278,173,19,13766,2,16,5.3,7,9,19605,4,3,112213,112213,25,19678,4183,
2,2,2,1435,3,822,309,205,26,14078,1,15,5.7,5,12,17428,5,3,112380,112380,26,19047,3886,
1.75,1,1,1441,2,666,220,135,22,12487,2,13,3.7,4,9,16329,3,1,115205,115205,22,17217,3718,
2.5,2,1,2963,3,883,338,206,31,17430,3,19,5.2,6,12,20487,5,4,144542,144542,39,23811,4901,
1.75,1,1,2053,3,760,233,157,18,12419,2,13,4,4,9,14642,6,4,106282,106282,26,16729,3538,
0.75,1,2,892,3,268,123,76,8,4602,3,6,1.1,5,12,7058,2,1,47921,47921,9,6908,1584,
2,1,1,2315,3,751,294,184,24,11832,3,15,3.2,5,9,16870,3,2,120259,120259,25,19271,4146,
1.75,1,2,1889,1,686,216,179,22,10617,3,14,4,5,11,14880,2,2,112276,112276,24,16992,3576,
1,1,1,1020,2,360,141,88,11,7026,2,7,2.7,7,10,8891,4,3,58828,58828,13,9255,1886,
1.5,1,2,1359,3,551,255,117,14,10841,3,12,4.2,5,11,14266,2,4,91190,91190,26,14244,2965,
3,1,1,3010,3,1121,503,274,30,18018,3,22,6.3,5,12,29083,6,4,181995,181995,44,28348,5689,
3,2,1,2374,1,1101,443,253,37,19218,1,23,5.7,5,9,25892,5,1,184808,184808,39,28745,5798,
0.5,2,1,376,3,195,78,42,6,2894,1,4,1.4,7,10,4200,2,4,29533,29533,6,4714,1094,
3,2,2,3360,2,1237,505,373,35,18629,1,22,8.4,4,12,27272,5,3,192572,192572,46,29414,5966,
0.5,1,2,443,3,183,71,53,6,3110,1,4,1.2,4,10,4012,5,4,31360,31360,8,4793,1012,
1.5,2,2,1589,2,619,226,130,17,8434,3,12,3,5,10,13002,2,2,87792,87792,25,14609,2893,
0.5,2,2,497,2,188,67,42,5,3446,3,4,1.2,6,9,4483,5,2,29577,29577,8,4698,986,
2,1,1,1606,2,752,340,236,18,12849,2,15,3,4,11,19140,4,3,131856,131856,33,19356,3782,
1.5,2,2,1527,3,595,190,141,14,10089,3,11,3.9,5,9,12402,3,2,97865,97865,26,14575,3080,
1.25,1,1,1105,2,502,171,113,15,8117,1,9,3.4,4,12,10985,3,3,75128,75128,21,11635,2739,
2.5,1,1,1897,3,1106,363,193,29,16320,2,20,7,7,11,21554,5,2,144457,144457,33,23575,5109,
1,1,1,851,3,392,124,108,9,6228,1,8,1.5,4,12,9286,5,2,60570,60570,18,9811,1931,
3,2,2,3302,1,1068,450,230,27,16936,1,22,4.6,6,10,29233,5,1,176054,176054,41,28532,6342,
0.5,2,2,413,2,187,90,56,6,2826,1,4,1.1,5,12,4773,2,2,30228,30228,8,4856,999,
3,2,1,2272,1,1288,366,232,33,17553,3,22,5.5,4,11,25821,2,4,184649,184649,48,28777,6359,
1.25,1,1,1244,2,459,204,148,16,7152,3,10,1.7,7,11,10809,5,1,76916,76916,14,11871,2468,
3,2,1,3178,2,1167,410,343,34,17626,2,21,8.7,4,12,25532,3,3,197206,197206,42,28535,5934,
1.25,1,1,1451,2,439,151,150,12,7563,2,10,2.6,5,10,11864,5,3,72309,72309,17,11689,2647,
1.75,1,1,1623,2,756,271,145,16,10088,3,13,2.4,5,10,14425,3,1,99661,99661,21,16845,3390,
2,1,1,1921,3,845,306,201,23,11490,2,15,2.8,7,11,16516,2,2,112078,112078,26,18807,4390,
0.5,1,1,538,3,180,72,60,4,2924,1,4,0.7,7,11,4964,2,1,32405,32405,7,4760,996,
0.75,2,2,738,3,271,108,92,9,5155,1,6,1,6,10,6161,4,2,46297,46297,9,7122,1447,
1.5,2,1,1074,2,560,223,132,14,9655,3,11,2.8,7,10,14133,4,4,92221,92221,17,14843,3273,
0.5,1,2,416,3,216,67,59,6,3474,2,4,1.4,4,10,4392,4,4,31770,31770,8,4884,1082,
1.75,1,1,1361,1,777,293,184,22,10410,3,13,4.5,6,11,17237,4,2,98208,98208,31,17286,3711,
1.75,2,2,1365,1,726,213,203,20,10289,1,14,3.1,7,10,16954,2,1,115023,115023,28,16629,3462,
1.25,1,2,1274,1,522,158,99,15,7513,2,9,2.9,7,9,11274,5,2,82030,82030,20,11834,2581,
1,2,2,1051,1,359,162,109,12,5962,2,7,2.4,5,11,8985,2,2,57239,57239,18,9658,1883,
1,1,2,909,1,404,167,96,13,6398,1,8,1.9,7,9,8730,5,4,63834,63834,15,9489,1955,
1.75,2,2,1443,1,651,269,148,15,10739,1,13,3.1,6,12,16800,6,4,114184,114184,25,16459,3324,
1,1,1,788,1,397,180,97,11,6675,2,7,2.4,4,9,8306,6,4,64614,64614,15,9335,2144,
1.5,2,2,1574,3,566,237,147,15,9701,2,12,2.7,4,12,14104,4,1,98117,98117,17,14386,3249,
1.25,2,1,1144,3,461,221,97,12,7905,1,9,1.7,4,10,11691,5,4,74773,74773,16,11990,2432,
1.25,1,1,1237,1,550,219,142,13,8571,3,9,3.3,6,9,11502,2,4,72288,72288,19,12190,2714,
0.75,1,1,719,3,316,105,58,10,4333,1,6,1.5,4,10,6578,5,2,43927,43927,10,7203,1561,
1.75,1,2,1417,2,781,233,179,21,12313,1,13,4.3,7,10,17054,2,3,110623,110623,29,16802,3828,
1.5,1,1,1340,3,674,262,154,15,8805,2,11,4.3,5,9,14926,2,3,90699,90699,23,14381,3063,
1.5,2,1,1278,1,597,192,121,13,10791,1,12,3.8,4,9,14088,3,1,85641,85641,20,14625,2927,
1.5,2,2,1688,2,557,256,133,16,8778,2,12,3.7,4,11,14555,4,1,85425,85425,25,13807,2905,
2.5,2,2,2736,2,1062,381,218,22,14236,3,19,5.3,4,12,22422,4,3,143470,143470,42,23066,5270,
1.25,1,1,954,2,488,180,120,13,7503,1,10,2.1,5,10,12316,6,4,76258,76258,21,12240,2527,
0.5,1,2,600,1,204,71,40,6,3135,2,4,1.3,4,11,4437,4,4,32716,32716,6,4781,1013,
1.25,1,2,952,2,468,174,115,12,7593,3,10,3.2,6,9,10109,2,4,75797,75797,18,11967,2670,
2.5,1,1,2704,3,883,387,297,21,17253,1,20,5.3,4,12,22055,5,2,145347,145347,34,24271,4920,
3,2,1,2748,2,1137,387,316,37,20888,1,22,8.5,7,10,29717,5,3,196265,196265,47,29440,6532,
0.75,2,2,660,1,288,91,69,6,4350,2,6,1.5,6,10,6194,5,2,42044,42044,9,6972,1591,
2.5,2,1,1880,1,959,394,307,25,15229,3,20,6,7,9,24870,5,3,150378,150378,42,23139,4791,
2.5,2,1,1930,3,1069,380,213,22,17227,3,19,6.8,7,10,22693,3,1,144534,144534,40,23219,5052,
1,1,1,832,3,393,150,107,11,6157,3,8,1.4,6,12,8488,2,1,58222,58222,16,9433,2018,
2,1,1,2072,2,790,287,246,26,13489,1,16,2.9,5,10,18322,4,4,115617,115617,26,19539,3914,
2,2,1,1596,2,879,339,169,16,13910,2,15,4.6,5,12,16788,4,3,130467,130467,23,19273,4002,
0.75,1,2,825,1,291,112,84,8,4821,1,5,2,7,12,6856,5,4,46793,46793,10,7199,1427,
2,1,1,1662,2,781,318,235,18,13677,2,15,3,4,11,16384,5,4,120212,120212,32,18747,3919,
1.5,1,2,1054,1,541,211,171,16,9046,2,11,2.7,4,12,13756,6,4,89710,89710,17,13916,3050,
2.5,1,2,2007,1,886,450,261,21,16074,1,18,5.7,6,10,22596,2,4,159454,159454,28,24649,4740,
1,2,2,1143,1,439,155,116,12,6008,3,7,2,6,10,9772,5,1,60050,60050,13,9283,1934,
2.5,1,1,1949,1,970,309,192,24,14448,1,19,6.9,7,9,23915,5,2,157126,157126,33,23367,4971,
0.75,2,2,819,2,316,132,73,7,5317,1,6,1.5,6,9,6113,2,4,46181,46181,9,7054,1605,
1,1,1,1052,2,362,167,97,13,5747,3,7,2.4,6,11,8559,2,1,57085,57085,14,9764,1969,
