Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1.75,1,1,6.6,2,245,159,97,18,671,2,3.5,0.3,2,4,6283,4,21,90678,90678,70,1479,10282,2194.2266
1,1,2,2.8,1,175,85,49,8,362,2,2.1,0.8,2,4,4060,4,21,50670,50670,37,2171,5650,2129.092
3,2,1,11.5,2,418,296,130,30,1122,1,5.8,1,4,3,11273,4,20,155789,155789,109,2684,17503,3801.9346
0.5,2,1,0.8,1,61,47,30,5,217,3,1.3,0.2,2,5,2180,4,18,25085,25085,19,949,2583,873.256
1,2,2,1.1,1,150,110,59,11,445,1,1.9,0.9,3,4,4627,7,18,49835,49835,36,491,5892,1108.4354
3,2,1,11,1,419,255,186,40,1155,1,6.6,2.8,4,5,11075,5,20,157435,157435,119,5040,15410,5152.075
1.25,1,2,2.8,1,155,137,73,11,525,2,2.8,1.6,3,4,4576,5,18,62494,62494,48,1516,7092,1747.5552
1.5,2,1,5.7,2,185,122,80,15,549,1,3.2,0.3,3,3,5150,5,18,74243,74243,57,3238,7222,2823.88
2.5,2,1,5.9,2,440,247,111,33,928,3,6.1,1.6,3,4,9624,4,18,118301,118301,92,3645,12478,4374.4648
1,1,2,3.8,2,147,80,41,14,445,1,2.9,1.4,2,6,4623,6,18,52947,52947,40,768,5489,1272.1446
0.75,2,1,0.8,3,100,61,43,7,308,1,1.9,0.3,2,5,3375,4,18,36547,36547,29,584,3696,894.965
1.75,1,1,3,2,301,152,97,24,670,3,4.3,0.4,4,3,5965,6,19,89440,89440,61,1968,9682,2693.813
1.75,1,2,2.6,2,279,146,111,20,633,3,3.6,0.3,2,6,6085,4,18,88665,88665,66,2071,10053,2656.947
0.75,2,1,2.9,3,113,73,41,9,328,1,2,0.3,3,3,3250,6,18,37176,37176,27,1706,4352,1555.26
2,1,2,5.3,3,256,171,109,18,841,3,4.4,0.6,4,4,8892,7,20,102679,102679,72,822,11702,1913.6784
2,2,2,2.6,3,314,162,129,27,748,1,5,0.4,4,3,7160,6,19,98424,98424,74,2838,9767,3275.672
1.75,1,2,3.1,1,291,165,106,20,776,2,3.6,0.9,2,5,7346,6,21,90909,90909,62,713,9210,1976.5392
1.5,2,2,1.5,2,244,149,74,19,561,1,3.6,1,2,5,6995,4,17,78534,78534,56,2364,8570,2633.499
3,1,2,7.6,2,431,272,156,31,1140,1,8.2,4.2,3,6,13012,7,18,142145,142145,113,4138,17127,4740.4424
1.5,1,2,3.3,1,256,123,97,17,591,1,4.3,0.9,3,3,5346,7,18,73129,73129,58,1076,7462,2005.2392
2.5,2,1,5.8,3,394,213,137,33,1041,1,6.3,1.5,3,6,8643,7,21,123304,123304,96,2919,14237,3787.7786
2.5,1,2,7.9,2,309,243,122,32,966,3,7.2,1.3,4,6,9132,6,20,123476,123476,95,2244,14652,3043.8164
0.75,1,2,1.8,3,93,66,38,8,297,2,1.8,0.3,4,5,3276,7,20,39227,39227,27,1157,3675,1165.1652
1.25,1,1,4.4,1,196,125,51,16,458,3,2.6,1.1,4,4,5745,5,18,62264,62264,45,643,7198,1438.219
2.5,1,1,9.6,2,450,281,159,26,1069,2,5.7,3.3,4,5,9897,5,19,124466,124466,94,4688,13008,5021.0294
2,2,1,3.1,3,273,183,86,24,884,1,5.6,0.6,3,4,7642,5,21,105146,105146,73,2525,9814,2925.1084
1.25,1,1,1.7,2,150,100,64,10,501,1,3.3,1.4,2,6,4738,7,19,65661,65661,46,2318,6376,2150.3276
3,1,1,9.2,2,473,243,190,25,1168,2,8.2,2.9,2,4,11436,4,20,151381,151381,116,5679,16574,5751.7172
0.5,2,1,1,2,81,51,24,5,205,2,1.1,0,3,6,1709,7,17,24021,24021,19,339,2939,628.1418
2.5,2,2,5.2,3,358,216,123,23,922,1,6.4,2.3,4,5,11351,7,18,122051,122051,95,3642,13651,4025.8402
1,2,1,2.5,2,135,98,63,8,371,3,2,0.3,3,5,4097,6,19,50883,50883,37,2284,5823,2002.6294
2.5,1,2,7.8,3,316,281,126,22,1003,2,7.1,1.3,4,6,11542,4,17,123592,123592,92,1460,14024,2645.6384
1,1,2,1.2,1,157,91,64,13,404,3,2.8,1.1,2,5,3735,6,20,48530,48530,35,1222,5635,1544.357
1.5,1,1,1.9,2,247,148,69,19,569,3,4.3,1.3,4,5,7039,7,18,72699,72699,55,2168,7712,2550.5178
1.75,1,2,6.2,2,240,177,76,18,692,3,4.8,2,4,3,6326,5,17,84206,84206,66,3227,9381,3145.2052
1.75,1,2,3.4,3,294,157,103,22,650,2,4.3,1.9,2,6,6779,7,18,87034,87034,61,2060,10263,2737.8858
2.5,1,2,9.1,1,314,243,155,24,924,2,5.8,0.4,4,6,10860,6,17,125525,125525,99,1024,13614,2393.232
1.25,2,1,1.5,3,201,133,65,17,547,2,2.7,1.6,2,5,5593,5,19,62404,62404,47,1344,6113,1857.2586
1.75,1,2,4.3,2,230,193,96,13,665,2,3.4,1.4,2,3,6757,6,18,90995,90995,65,3754,9931,3359.1114
1.25,2,2,4.4,1,201,143,66,9,523,1,3.6,1.6,4,5,5016,6,20,64882,64882,48,1300,6516,1847.8432
1.5,1,1,5.1,2,249,144,70,12,633,1,3.3,1.6,3,5,5791,6,19,76111,76111,54,1160,8236,2005.0382
2,1,2,3.4,2,240,187,91,16,752,2,3.9,0.5,3,5,7643,7,17,105194,105194,78,1032,11790,1964.7786
0.5,2,1,0.9,2,72,42,30,5,190,2,1.2,0.2,3,3,2001,6,21,25615,25615,19,418,2574,634.6402
3,2,2,10.5,3,413,301,162,33,1175,1,8.3,1.1,2,6,13814,7,21,147301,147301,109,1900,16916,3391.3728
2,2,1,2.4,3,257,170,100,15,779,2,5.3,2.8,2,3,8841,6,17,97306,97306,75,3017,9736,3158.3682
0.75,2,2,0.8,1,106,80,35,10,328,1,1.8,0.2,4,5,3473,4,17,36583,36583,28,301,4304,763.9346
1.5,2,2,3.2,2,190,137,63,20,581,2,4.1,1.3,4,4,5834,6,21,71666,71666,55,2064,8147,2232.5568
0.75,1,2,1.2,3,110,83,47,10,330,3,1.7,0.9,4,5,3390,5,21,35574,35574,29,1335,4254,1355.528
1,2,1,1.3,1,131,100,63,7,408,2,2.4,0.2,3,3,3545,4,18,50515,50515,36,403,5064,968.749
1,2,2,2.9,1,163,87,64,11,450,2,2.8,1.2,2,4,4008,6,20,47324,47324,40,1979,5240,1997.1416
1.5,1,1,4.5,3,210,135,90,20,618,3,3.9,1.2,4,4,6731,4,20,75462,75462,56,2957,8370,2807.5662
0.75,1,2,1.5,1,133,71,38,9,321,1,1.6,0.7,3,4,3306,7,18,35880,35880,29,1112,4351,1332.5512
1.75,2,2,5.6,3,215,166,113,13,659,3,4,1.1,2,4,7754,6,17,83163,83163,65,2634,9216,2688.6008
3,1,1,3.5,2,447,260,149,29,1247,3,8.7,3.7,2,3,13381,4,20,154578,154578,117,5197,16561,5392.8462
1.25,2,1,3.5,2,187,122,66,15,467,3,2.9,0.1,4,4,5657,7,18,60792,60792,45,792,7219,1466.5214
1.25,2,1,3.1,2,201,120,80,11,536,3,2.4,0.6,4,5,4777,4,17,59429,59429,47,2435,6392,2427.0154
3,2,1,7.4,3,513,335,192,26,1186,3,6.7,2.3,3,5,10502,6,20,151271,151271,119,1082,14495,3439.5504
3,1,1,8.2,1,400,243,180,42,1243,3,8.7,2.3,2,4,10770,7,21,147255,147255,114,2612,16507,3753.944
1.25,1,1,4.5,3,183,143,56,16,539,2,2.6,0.9,4,4,4623,6,20,64641,64641,45,2522,6294,2392.6346
0.5,2,2,0.9,3,68,44,26,7,198,3,1.3,0.4,4,4,2242,4,20,24909,24909,19,480,2830,654.2284
3,1,2,9,3,486,284,146,22,1231,2,5.7,3,2,6,13017,5,17,156082,156082,111,3938,16086,4825.8034
1.25,2,2,3.6,3,167,119,57,15,562,3,3.4,0.6,2,3,5487,6,21,64706,64706,45,1288,6585,1656.6574
2,1,2,5.5,2,304,197,86,14,745,1,5.6,1.6,3,5,7942,7,19,104806,104806,76,2214,9735,2924.2684
1,2,2,1.6,3,165,99,42,8,393,2,2.8,0.8,3,3,3902,7,19,50647,50647,38,1425,4936,1692.5204
0.75,1,1,1.9,3,110,83,46,6,290,3,1.6,0.5,3,5,3021,7,17,38716,38716,28,626,3607,961.6142
0.75,2,2,2.8,2,125,85,37,9,290,3,1.5,1,4,4,2925,6,18,38624,38624,27,1652,4269,1586.505
0.5,2,1,1.2,3,63,49,26,6,219,2,1,0.2,4,3,2028,5,18,23891,23891,18,307,2431,528.6856
1.5,1,2,5.9,2,189,135,85,12,612,1,3,1.5,2,3,6677,7,20,76998,76998,53,1139,8815,1715.5254
1.75,2,1,2.9,2,268,182,79,15,668,1,4.3,1.4,4,4,6183,7,18,82340,82340,66,2036,9679,2613.6566
1.25,2,1,1.6,1,160,131,59,17,467,1,3.6,1.1,4,3,4774,6,21,62917,62917,49,2600,6582,2357.5248
1.75,1,2,5.7,2,260,160,88,22,681,1,4.6,1.5,3,4,8143,5,17,86923,86923,67,3869,10274,3575.2586
0.5,1,2,0.8,2,61,47,24,7,197,2,1.3,0.2,2,3,2333,5,19,24476,24476,18,1083,2679,941.8266
3,1,1,7.1,1,471,248,136,40,1329,2,7.2,0.6,3,4,12998,6,20,157645,157645,110,1742,16423,3542.7796
1.75,1,1,1.8,2,284,162,110,22,763,1,4.8,1.1,4,5,6492,6,20,86630,86630,63,590,9740,1898.8684
1.75,2,2,2,2,272,172,109,23,652,1,4.4,1.8,4,6,6576,6,18,91862,91862,62,2441,9838,2848.6752
0.5,2,1,1.5,3,85,42,27,5,223,1,1.1,0.1,3,3,2026,4,21,25236,25236,19,768,2862,879.2352
1,2,2,2.9,2,137,108,46,12,364,1,2.7,0.3,4,6,3812,7,18,47376,47376,38,1265,5216,1471.3324
1.75,1,2,6.2,2,251,178,114,24,762,1,4.7,0.8,3,5,7559,4,17,84000,84000,68,1746,9288,2385.3118
1.25,1,1,3.7,2,214,137,53,11,482,3,2.9,0.1,3,3,4974,5,20,59450,59450,44,2133,7079,2309.1048
2.5,2,2,8.7,2,391,261,147,35,1013,2,5.2,0.4,2,4,9988,7,21,127975,127975,95,843,12132,2624.4776
1.75,2,2,4.3,1,276,175,80,18,645,2,4.2,2.2,2,4,7195,5,17,84110,84110,66,2966,8970,3163.819
0.5,2,1,1.5,1,61,56,31,4,180,3,1.3,0,3,3,2172,7,21,24921,24921,19,613,2502,689.3544
1.75,1,1,3.2,3,274,157,110,24,786,2,4.2,2.2,4,6,6509,7,20,90441,90441,68,1564,9489,2405.9218
0.5,1,1,2,2,63,45,20,5,186,1,1.1,0.6,2,6,2048,5,20,26434,26434,19,634,2613,715.0896
2.5,1,2,9.6,3,306,257,147,19,934,3,5.7,3.2,4,6,10339,4,17,126758,126758,99,4859,12102,4473.0678
1.5,1,2,4.2,3,195,148,74,17,609,1,4,0.9,2,6,5378,4,21,71169,71169,59,2540,7335,2518.9456
1.25,1,1,3.1,2,195,100,73,13,555,2,3.5,1.7,4,5,5152,4,20,60081,60081,49,950,6845,1632.7404
1.75,2,1,1.8,1,272,145,71,23,635,3,4.1,0.4,2,5,6453,4,19,85666,85666,65,2530,9789,2872.7106
1.75,2,1,1.9,1,231,168,100,16,741,1,4.7,1.7,3,6,6842,5,21,83744,83744,68,1312,8411,2072.7784
2.5,2,2,4.2,1,446,259,146,21,1097,2,7,2.8,3,3,10317,5,18,130517,130517,98,3023,12715,4119.8434
1,2,2,3.1,1,155,103,53,7,423,2,2.2,0.6,3,6,3586,6,20,49030,49030,36,1653,5803,1755.5572
1.25,1,2,4.8,1,186,132,57,10,457,2,2.4,0.3,2,5,4912,5,19,63818,63818,44,1626,6401,1906.3324
1,2,1,3.5,3,124,100,60,10,422,1,2.1,0.7,4,6,4505,5,18,51352,51352,36,1033,5236,1281.911
1.5,2,1,4.1,1,242,129,67,11,672,1,3,1.7,3,5,5301,5,20,74200,74200,54,1416,7269,2108.1502
2,1,1,4.5,2,254,199,92,26,770,2,4.3,2.6,2,3,8024,7,17,103524,103524,71,1887,11733,2508.5048
2.5,2,2,6.7,2,340,265,121,28,1058,1,7.5,1.3,3,6,11071,7,18,131442,131442,93,4859,12200,4595.3442
1.25,2,1,3.3,3,152,107,51,14,496,2,3.4,0.1,3,3,5462,6,17,59146,59146,45,2792,6705,2391.0824
0.75,2,1,1.4,2,93,66,44,6,328,1,2.1,0.3,3,4,2620,7,21,37230,37230,28,792,4379,975.234
2,2,1,3.2,2,320,191,110,15,839,2,4.5,1.6,4,3,8718,6,20,97733,97733,78,2734,10422,3273.3836
0.5,2,2,0.7,2,84,54,27,5,192,3,1,0.7,2,6,2281,4,20,25294,25294,20,919,2433,969.1062
1.25,2,2,2.7,1,217,125,79,15,478,3,2.9,1.5,2,6,5753,6,17,66082,66082,49,1562,6977,2055.2406
2.5,2,2,2.6,1,397,204,146,28,974,1,6.8,3,3,6,8659,5,18,123595,123595,91,3602,12434,4185.5718
1.5,2,1,5.5,1,201,142,97,12,661,1,3.8,0.4,2,6,6587,4,17,74872,74872,57,1217,8156,1817.3974
0.5,1,2,1.2,3,79,45,23,5,181,1,1.3,0.3,3,6,2333,6,19,26162,26162,19,186,2937,543.2766
1.25,2,1,3.7,2,154,130,70,10,454,2,3.5,0.8,2,3,5470,4,19,64297,64297,45,872,6142,1380.154
1,1,1,1.5,2,123,86,63,14,397,1,2.2,0.5,4,6,4518,7,17,50742,50742,39,1140,5575,1341.5736
2.5,1,2,6.6,3,444,241,118,30,1086,3,6.1,3.1,2,4,8520,5,17,123024,123024,92,4686,14189,4979.574
0.5,1,1,1.8,1,84,56,25,5,188,3,1.1,0.5,2,4,1830,4,19,25721,25721,19,1119,2480,1071.696
2.5,1,2,4,2,338,219,149,34,1123,1,5.8,0.3,4,6,8709,5,18,129445,129445,100,4801,13230,4539.6718
1.25,2,2,3.2,2,214,108,72,17,528,2,2.5,1.3,4,3,5487,6,20,61196,61196,46,1945,7229,2229.0074
0.75,2,2,1.6,1,122,71,34,7,316,1,1.8,1,2,3,3206,5,19,36042,36042,28,869,4014,1155.2812
1.75,2,1,4,2,305,174,112,19,759,2,4.8,1.8,3,3,7892,4,19,85501,85501,70,3883,8524,3806.7384
0.5,1,1,0.9,3,62,54,26,6,219,3,1.2,0.4,2,5,2112,6,20,25024,25024,19,505,2693,640.2224
0.5,2,1,1,3,85,47,28,4,194,1,1.2,0.6,2,5,2119,7,18,24779,24779,19,990,2726,1009.0638
1.25,1,1,3.9,2,155,129,62,14,482,1,3.5,0.5,3,6,4270,6,19,59708,59708,45,1442,6401,1686.244
1.25,1,1,4.3,1,220,112,55,11,500,3,3.4,0.1,4,5,4605,4,21,61163,61163,49,2608,7231,2612.191
0.75,2,2,0.8,2,128,74,48,8,306,3,1.8,0.6,4,3,2692,5,20,36994,36994,27,811,3663,1143.1984
1,1,1,3.6,1,169,99,55,14,381,2,2.8,1.2,3,5,3875,6,21,49467,49467,40,521,4920,1236.795
0.75,2,2,0.8,2,120,72,39,7,286,3,2,0.6,2,4,2887,7,18,36511,36511,26,944,4002,1176.8774
2.5,2,2,9.2,2,338,273,108,20,954,2,5.4,1.2,2,3,11295,4,19,118219,118219,93,970,14444,2459.359
2.5,1,1,6.1,3,306,248,144,31,978,3,5.8,2.5,2,4,9085,6,19,120909,120909,90,1766,12540,2763.227
3,1,2,11.6,1,374,304,163,38,1159,2,7.2,3.1,4,5,12237,6,18,150940,150940,109,5397,14613,5123.7574
1.5,1,2,4.7,2,220,131,85,14,666,3,3.1,0.3,4,3,5306,4,21,73406,73406,60,2653,7426,2675.6712
2.5,2,1,9.1,3,345,239,144,22,1022,2,5.9,0.9,3,6,8558,7,18,130084,130084,98,1460,12274,2773.0016
0.75,1,2,1.7,2,117,72,40,10,270,1,1.6,0.1,2,6,2806,5,17,37992,37992,30,1631,3872,1533.9112
3,2,2,5.5,2,503,342,141,37,1105,1,6.8,3.4,2,3,13265,4,18,154086,154086,107,2926,17275,4367.213
1.5,1,1,2.5,3,184,160,72,11,614,3,3.4,1.8,3,5,6434,7,17,74297,74297,60,1615,7917,1981.6468
2.5,1,1,8.7,1,440,224,147,34,923,3,6,1.7,4,5,10154,4,20,118649,118649,96,1889,13164,3441.7008
1.75,1,1,3.3,2,251,164,84,22,661,2,4.1,0.5,4,3,7327,6,17,87908,87908,69,2888,8802,2988.4154
2.5,1,1,4.9,3,336,261,101,28,906,3,5.6,2.6,2,4,11155,6,21,128264,128264,88,3118,12430,3618.331
2,1,1,2.2,1,241,226,128,19,843,3,5.7,1.6,2,5,8340,5,20,96564,96564,76,4441,11767,3850.688
1.5,1,2,5.4,1,192,159,64,15,658,1,3.6,0.2,4,6,5525,4,17,75730,75730,54,1743,8785,2043.025
0.75,1,2,0.9,3,114,78,34,10,287,2,2.2,1,3,4,3244,4,20,37586,37586,29,749,4404,1062.6288
3,2,1,11.1,3,453,342,160,27,1162,3,8.2,2.5,4,4,13346,6,21,158647,158647,111,3316,16795,4367.8992
2,1,1,4.5,2,307,199,113,19,798,2,3.9,1.3,4,6,6992,5,19,100642,100642,71,2852,10432,3245.3884
2.5,2,1,3.3,3,337,214,107,33,985,3,6.6,1,2,4,8889,7,17,119715,119715,88,5209,12697,4733.6978
2.5,1,2,5.6,2,363,275,112,19,1012,3,7,0.6,2,6,9725,5,17,131690,131690,91,5474,13617,5007.305
1.75,2,1,6.9,1,277,195,85,22,716,2,4.4,1.3,4,3,8111,6,21,84506,84506,68,738,9805,1961.2722
0.5,1,1,0.8,2,83,51,27,4,223,2,1.5,0.5,3,5,2277,6,18,23703,23703,20,1030,2599,1026.7854
2,2,1,2.2,3,348,218,123,27,857,3,4.2,1.3,4,4,7460,6,17,105856,105856,71,1707,10433,2818.702
1,1,1,3.6,1,158,93,52,9,381,3,2.2,0.4,3,4,3682,7,17,47196,47196,38,859,5052,1342.3564
0.75,2,1,2.1,3,118,75,32,7,329,2,1.6,1,4,6,3068,5,19,36025,36025,30,1664,4054,1570.4336
1,1,1,2.8,3,152,114,60,13,434,2,2.7,0.9,4,4,4525,4,20,52489,52489,38,1058,4800,1439.555
1,2,2,3.2,1,131,97,55,8,437,1,2.5,1.1,4,6,4494,5,17,48521,48521,40,2203,5069,1968.1488
2.5,2,2,8.5,1,424,278,107,31,907,3,5.6,2.5,4,4,8540,4,19,122378,122378,93,3728,12635,4360.898
0.75,1,1,1.4,2,94,64,47,6,327,3,1.6,0.7,4,6,2902,5,19,37175,37175,27,941,3995,1058.1704
3,1,1,11.7,2,463,300,129,39,1336,3,7.4,4.1,4,6,13549,6,18,145439,145439,114,3753,14735,4668.4598
2.5,1,2,7.3,3,384,263,107,26,995,3,5.4,1,2,5,10367,5,17,118061,118061,92,4558,12123,4597.2934
1.25,2,1,1.9,2,208,128,66,17,477,2,3.6,1.2,2,4,5392,4,19,65981,65981,50,2291,6236,2413.0984
2,1,2,3.4,3,320,207,90,18,746,1,5.8,1.2,2,3,8158,5,18,98653,98653,73,2673,10763,3232.1916
0.5,1,1,1.4,2,85,53,29,5,183,3,1,0.1,3,3,2101,7,20,25543,25543,18,634,2918,803.7502
1.5,1,2,2.7,3,227,134,93,21,613,2,4.2,2,4,6,5765,6,21,77935,77935,53,2690,7858,2747.693
1.75,2,2,5.1,2,238,167,92,14,734,1,4.7,0.4,4,6,6763,7,20,88343,88343,62,516,10002,1633.4726
0.75,2,2,1.5,3,109,82,34,7,333,2,1.7,0.9,3,3,2947,5,19,37178,37178,28,604,3881,951.4394
1.25,2,2,4.9,1,210,120,60,17,518,2,2.5,0.6,4,6,5236,4,20,62248,62248,46,1205,6355,1799.2472
1.5,2,2,1.5,2,235,143,70,15,553,3,3.4,2.1,3,4,6710,6,21,75861,75861,58,1603,7575,2202.892
3,2,1,7.1,3,498,257,184,21,1344,2,6.3,1,2,3,12235,4,18,148774,148774,119,1610,17519,3623.927
2,1,1,2.3,3,299,201,82,16,813,2,5.4,1,2,3,7771,6,17,103162,103162,79,2724,10698,3173.9542
3,2,2,11,1,478,282,159,35,1306,3,8.5,0.4,3,4,12751,4,19,148532,148532,112,6030,16249,5913.3502
1.5,1,1,3.8,3,239,157,87,21,552,1,4.2,0,3,6,5267,7,17,79310,79310,56,2371,8423,2606.9934
3,1,1,3.4,3,387,281,174,41,1115,2,7.9,1.4,2,5,10482,5,19,143996,143996,110,948,16604,2762.3564
0.75,1,1,2.7,2,106,71,35,10,295,3,1.7,0.5,4,6,2866,6,17,36436,36436,26,1715,4402,1524.2432
3,1,1,3.9,1,513,296,160,37,1290,2,5.8,0.9,4,4,14025,5,20,158296,158296,120,3488,14419,4702.095
1.25,2,2,3.7,1,205,129,80,17,540,2,2.7,0.6,2,4,5122,7,17,62059,62059,46,1470,6635,1925.1644
2,1,1,3.9,2,273,175,84,19,856,1,4.9,1.5,3,6,8948,7,19,103323,103323,71,2079,11178,2684.1796
1.25,2,1,3.6,3,192,121,78,12,512,2,2.6,0.9,2,3,5609,7,17,65571,65571,44,1640,6446,1955.0118
2,1,1,2.8,2,251,203,83,21,774,1,3.8,0.9,2,3,9023,7,19,97299,97299,75,2155,10587,2617.6546
0.75,2,1,0.8,1,98,65,30,10,280,2,1.7,0.4,2,3,3282,5,17,36816,36816,28,576,3815,876.5764
0.75,2,2,2.6,3,128,67,37,8,287,3,1.5,0.4,3,4,3137,5,21,37966,37966,28,737,4315,1097.7674
1.5,1,2,4.9,3,247,140,61,11,637,1,4.2,1.2,4,5,5807,7,18,75349,75349,54,1852,7841,2372.1214
0.5,2,1,1,3,60,53,30,6,197,3,1.2,0.4,3,6,2007,6,18,25559,25559,18,394,2498,568.5214
1.5,1,2,2.6,2,211,148,95,20,607,3,3.6,0.3,4,5,6262,7,21,73179,73179,57,3128,7757,2890.7424
1.25,2,1,2.9,2,204,123,51,15,477,3,3.6,0.7,3,4,4492,4,20,65583,65583,47,1768,6748,2092.6684
0.5,1,1,0.7,3,63,55,26,6,190,2,1,0.3,2,3,1890,4,21,24124,24124,20,848,2838,829.128
0.5,2,2,1.8,3,65,50,28,4,208,3,1.4,0.2,2,3,2347,6,17,25773,25773,18,415,2454,601.0694
1,2,1,2,1,132,91,62,7,391,3,2.6,0.3,2,4,3666,5,17,51126,51126,40,1155,5396,1394.9032
1.25,2,2,3.1,1,178,142,61,16,500,1,3.7,1.6,4,4,4624,4,19,63519,63519,47,2405,6583,2337.8848
0.5,2,2,1,2,86,42,29,5,203,1,1,0.5,4,4,2176,4,17,23741,23741,18,189,2633,573.7052
2.5,1,2,5.7,2,389,222,162,18,1118,3,4.9,2,3,4,9650,6,18,128626,128626,89,2016,12200,3251.79
3,1,1,4.9,2,444,335,131,28,1176,1,6.3,1.2,4,5,12368,5,18,142499,142499,117,6609,15095,6076.3136
1.5,2,2,5.6,3,244,137,75,18,618,3,3.2,0.8,3,5,5686,6,18,78823,78823,55,839,7943,1797.8572
1.75,1,1,4.1,1,249,172,98,16,724,1,3.8,1.4,2,4,7483,6,21,87327,87327,62,2174,9499,2585.8366
1.75,1,2,5.3,2,241,155,91,15,766,2,3.6,0,4,3,7703,7,18,88719,88719,68,630,8541,1706.9406
0.5,2,2,1.9,1,66,52,23,6,213,1,1.1,0.1,3,4,1907,6,20,26367,26367,19,312,2452,547.4114
0.75,1,1,2,2,112,81,45,5,271,1,1.9,0.7,4,6,3395,7,18,37761,37761,29,1446,3807,1423.129
1.75,2,2,2.7,3,212,176,93,20,750,1,3.9,0.2,4,3,7173,4,19,87559,87559,67,3609,8873,3190.0146
1,2,2,1.5,2,166,109,52,13,369,1,2.8,0.8,2,4,3769,5,19,48826,48826,38,1776,4943,1888.5538
2.5,1,2,3.3,3,316,281,119,23,1013,3,5.3,2.7,4,5,9529,7,19,124485,124485,92,4793,12794,4446.4358
2.5,1,1,7.2,3,384,248,139,18,1120,1,5,1.9,2,4,9638,5,18,125004,125004,91,1713,14088,3070.5976
